,X1,pros_page1,pros_page_rating_value,
223,26,"Growing company, people are young/fun/energetic, travel perks, immediate responsibilities, not micro managed, non-monotonous work flow, location of offices, lunch paid for, performance based pay increases, recognition for hard work, great benefits package",4,#N/A
224,26,"Health Insurance, Lunch covered 4/5 days of the week, some interesting tech, mostly nice enough people. Can work from home if needed, managers are average.",4,#N/A
225,26,"-competitive salary for fresh grad 
-environment is great
-provides non-monetary yet highly valued perks/activities
-Corporate Social Responsibility is well-supported by the management
-HMO is comprehensive and includes dependents 
-no  pension ",4,#N/A
226,26,"Young staff, lot's of happy hours, great snacks, very chill environment",4,#N/A
227,26,"good office location, reasonably good pay, free lunch offer",4,#N/A
228,26,"Great people, lots of problems to solve, and easy to take control of the design of a project.
They hire in waves of people so you get to know a small group of people very well there.",4,#N/A
229,26,"Flexibility, Work pressure is less",2,#N/A
230,26,"Company Values
Salary
Benefits - private medical and dental care, free lunch, gym membership, holiday
Culture
Location",4,#N/A
231,27,"Great culture, everyone is always learning more. People here are very smart and good at what they do. Compensated lunch M-Th and free snacks throughout the day make coming to work less stressful.",3,#N/A
232,27,"Work life balance, oppurtunity to work with smart people, culture",3,#N/A
233,27,"Management is good, best work-life balance",4,#N/A
234,27,"Great Work Life Balance, your ideas being considered, employee friendly, flexible",4,#N/A
235,27,#NAME?,4,#NAME?
236,27,Good company for work life balance.,4,#N/A
237,27,FactSet allows many opportunities to travel and work with many different types of clients in the financial community. Most days are never the same and a growing company with small-company agility.,4,#N/A
238,27,"Great People, good lunch and health benefits.",4,#N/A
239,27,A lot of personal responsibility early on. Relatively flat management structure and a great work environment. The organisation is growing fast and makes way for fast promotions for people with the right mindset.,2,#N/A
240,27,"very good, in terms of everything.",4,#N/A
241,28,"Work and Life Balance is great, Work environment is not too toxic",3,#N/A
242,28,Exposure to C-level executives and high level investment managers,3,#N/A
243,28,"Work/life balance, snacks, free lunch.
Some very smart people work here.",4,#N/A
244,28,"Responsibility Early on
Lots of after work events
Great social atmosphere",4,#N/A
245,28,"Coworkers, Good Hours, Industry Exposure, Competitive Pay",4,#N/A
246,28,"-Young ,energetic group of people.
-Free Lunch/Snacks/Drinks
-If you can stick it out for 2-3 years, you'll probably get promoted...Likely into Sales.
-Develop technical skills to move out of the support/software side and into the research/investmen",4,#N/A
247,28,"-Strong commitment to recognizing individual excellence. If you do something worth being proud of, the higher ups will be aware of it, and you will be rewarded.

-Healthy work-life balance. Working 8-hour days is the norm and your career will not suff",4,#N/A
248,28,"food, work, take initiative, management",4,#N/A
249,28,Corporate culture Training free food and benefits,2,#N/A
250,28,"Free lunch, you barely have to do any real work , great if you can't bear giving up the frat house atmosphere of college, no drug testing",4,#N/A
251,29,"Free lunch Mon-Thur
Great work life balance
Great people to work with
Pay for CFA
Travel breaks up the work week and time just flies",3,#N/A
252,29,"Travel, client interaction, responsibility, technical skill-set",3,#N/A
253,29,Free lunch and ability to do some certifications.,4,#N/A
254,29,"Good people, good training, not too stressful",4,#N/A
255,29,Good opportunities for employees that want challenging assignments,4,#N/A
256,29,"Good Growth Opportunities.
Chance to work with the latest technologies.
Smart colleagues.
Good Work Life Balance",4,#N/A
257,29,flexibility in work timing and there  is no restriction for in time and out time.,4,#N/A
258,29,Great environment and a great place to start your career,4,#N/A
259,29,"*Good first job -- ability to acquire some technical skills
*Friendly people -- easy to work with, generally",2,#N/A
260,29,"Factset offers Flexible working hours
Lunch included",4,#N/A
261,30,Some of the best reasons of working at Factset are that you may have a good salary and you may have your ideas considered from day one,3,#N/A
262,30,"- Relaxed work environment
- Good exposure to the industry
- Solid initial  training

Good benefits:
 - Health Care
 - Lunch
 - Coffee 
 - Paid CFA study",3,#N/A
263,30,"Good benefits.  Free lunch M-Th.
Previously had great Engineering Conferences.",4,#N/A
264,30,"For the most part great people. Some very very technically talented, experienced, smart people. They take care of their employees (excellent health care package, free lunch, stocked pantries, excellent work-life balance).",4,#N/A
265,30,excellent work life balance; nice people; friendly coworkers;free lunch;good insurance;good training;,4,#N/A
266,30,"Good employee perks and atmosphere, at least in the HQ.  There was a very engineering-friendly atmosphere for a long time.  Management was nimble and open-minded.",4,#N/A
267,30,"I will say that the bulk of time spent at FactSet has been really good, up until a couple of years ago.  It's far from being a torture chamber, and there is a lot camaraderie among mid-level folks and between diverse teams.  I am a good observer and will say that some departments have been favored over others, insofar as layoff proceedings and business needs go.  Free lunches and snacks are really nice, but watch... your waistline.  Outstanding health plan - the very best thing about the company.",4,#VALUE!
268,30,Dont have to work very hard -- it wont effect your compensation anyway.,4,#N/A
269,30,Transperancy of work for all Level of Employee,2,#N/A
270,30,"I have made many good friends here at Factset. At a personal level, people are friendly, everybody is laid back. We get a free lunch from Monday to Thursday. Flexible hours for software engineer as long as we can get our work done before a deadline. There are many good in-house software tools to speed up development. I didn't get much pressure from my manager. The pay is average in an exchange of the best... work-life-balance. I can call vacation anytime because there is no such a crunch time at this place.",4,#VALUE!
271,31,"good environment, performance oriented promotion(Transparent), snacks and beverages available free of cost.",3,#N/A
272,31,"*The company is proud of its free drinks(duh! just imagine the budget for that drinks... come to think of it, at a certain point many employees get saturated to the soft drinks/unhealthy free drinks it provides) It's better to just give the budget as an additional allowance since many employees don't consume the drinks.  
*Free Shuttle Service going home",3,#VALUE!
273,31,"(1) Good view from window.  
(2) Work is interesting. 
(3) Internal IT staff is excellent.
(4) OK place for a recent grad to get started.",4,#N/A
274,31,"employees are pampered with unlimited drinks like coca cola products, coffee, milk,etc. free shuttle services and other health benefits.  bonuses are performance base.",4,#N/A
275,31,"no OT, free drinks, health benefits, work is not stressful, I had a good manager  (this may not be true for some teams), vacation leave, sick leave, reimbursements etc...",4,#N/A
276,31,Just a good brand name in CV,4,#N/A
277,31,"Great first job - exposure to broad range of financial data and client types.
Fantastic people and very young culture.",4,#N/A
278,31,Cutting edge tech compared to many other companies. Everyone in the company knows technology and development.,4,#N/A
279,31,"Free food and lunch reimbursement 
Perfect work-life balance for example you will get mentor when you are on boarding.
Personal space is wide and enough.",2,#N/A
280,31,"High responsibility, good learning experiences, autonomy.",4,#N/A
281,32,very good work life balance; nice coworkers; no pushing; soft deadline; free lunch,3,#N/A
282,32,"Good work life balance. 
Can learn a bit of development as long as you are a ""yes"" man.",3,#N/A
283,32,"Interesting work, free lunch, nice offices with strong employees",4,#N/A
284,32,"Awesome employee friendly culture, Nice perks like mobile phones, transport facility and data connections, Smart People to work with, Good work-life balance, no politics, Flexible working hours, Direct client interaction at times",4,#N/A
285,32,Great work experience and environment,4,#N/A
286,32,"Great work/life balance.  Office clears out at 530.  Company tends to hire people out of college (pro if you're out of college).  Lots of heavy drinking with peers.  Do not have to work hard/ stay late/ think outside of the box.  Compensation is very tight, and recognition does not sync with intellectual capital, or contribution.  Will look great on a resume for a few years of experience, or while you find another... role with a client.  After you've been there for a bit, many come in late, lie about appointments in calendar, or work from home.  If you can get through the interview process, and seem to fit in with the culture, very easy to make a few key contacts, pretend you are an asset, and never have to really work.  Especially when you can choose the people who peer review you.",4,#VALUE!
287,32,"Work life balance, work culture",4,#N/A
288,32,"Young office, very laid back, everyone is pretty much right out of college. They give you a good amount of responsibility fairly quickly.",4,#N/A
289,32,FactSet has a great business model,2,#N/A
290,32,"1. Best place to work.
2. Good corporate culture.
3. employ satisfaction is well and good.",4,#N/A
291,33,"Perks
People
Work Life Balance
Free Lunch Mon-Thu
Interesting Work",3,#N/A
292,33,Good work environment...cafeteria..cab facility...friendly people..,3,#N/A
293,33,Good corporate exposure for the new aspirants to start their career.,4,#N/A
294,33,"FactSet generally values its employees.  People are treated with respect, managers are flexible, and you are given great opportunities right from the start.  For a recent college grad, the Consultant role teaches a lot and helps one develop important professional skills.",4,#VALUE!
295,33,We can speak with at any level management directly. Work culture is Excellent and employee recreation programs are also very good.,4,#N/A
296,33,"Organisation have good work culture, better facilities like transport, food,etc.",4,#N/A
297,33,"* Good benefits: 401k, healthcare, free lunch four days a week.
* Good location in Midtown.
* Quiet office.  You get your own cubicle with lots of space.
* The technology stack, while antiquated in some areas, is very well organized.",4,#N/A
298,33,"Great work-life balance.
Great opportunities for professional grow if you are in the right team/product.
Good medical and dental insurance.
Good corporate culture.
Good perks, free lunch in cafeteria on Mon-Thur, snacks, sodas and so on.",4,#N/A
299,33,"Culture is overall strong and positive but varies by office. The people are extremely nice, rather smart and collaborative. Like everywhere, if you are really good you can kill it here over the long haul. Middle pack performers probably lag industry peers and the bottom gets flushed maybe a little too slow. Benefits are very good, cash pay is OK, but stock options are the key driver of wealth creation here. And that... takes time.
Senior Management is very capable and aided by a solid revenue model.
Overall, great risk/reward career opportunity.",2,#VALUE!
300,33,"Challenges, Compensation, and Community.  I really loved working with the people there and overcoming tough technical challenges.",4,#N/A
301,34,Great people to work with. All fun loving humble engineers.,3,#N/A
302,34,Opportunities to learn all about finance and the financial world,3,#N/A
303,34,one of fortune's best 100 company to work for,4,#N/A
304,34,Ability to work well with people in a stable environment.,4,#N/A
305,34,"1. No micromanagement
2. Varied project assignments
3. Treated like an adult",4,#N/A
306,34,Flexible work environment where hard work is rewarded,4,#N/A
307,34,"good work life balance,perks,free lunch,good to start career here.",4,#N/A
308,34,Value to the improvement ideas and encouraging the innovative thoughts of the employee,4,#N/A
309,34,Free lunch in the cafeteria. Indoor parking. Norwalk is a pretty cool city.,2,#N/A
310,34,"Great Work Culture
Perfect place to start a career
Good Work Life balance",4,#N/A
311,35,"-Company values its employees 
-good work/life balance 
-free lunch and snacks",3,#N/A
312,35,"take great care of employees, full-stocked pantry, good salary",3,#N/A
313,35,Good Management. Best benefits to employees. Better Work/Life balance.,4,#N/A
314,35,"1. Old company with new values and willingness to innovate
2. Employee friendly management
3. Transparency
4. Strong financials & a Great Outlook
6. Stability and focus
7, Equal opportunity employer
8. Benefits are great",4,#N/A
315,35,"Decent salary, good internship program, employee stock purchase plan, free lunch, Norwalk is a decent and small town with accessible shops and food but more importantly NYC is easy to get to by the metro north.  In general the people are very friendly and intelligent -- the HR department is good at weeding troublesome employees out.",4,#VALUE!
316,35,"-A lot of freedom
-A lot of responsibility
-Great People
-Superb benefits
-Eligible for raises/bonuses every 6 months

FactSet hires creative, technical and sociable people, so be prepared to like your co-workers, minus a few rare exceptions. ",4,#N/A
317,35,Good work / family balance. Nice people.,4,#N/A
318,35,"After a year or two, you have a host of career growth opportunities if you're willing to work hard. Free lunch.",4,#N/A
319,35,The culture is very good. Working environment is A+,2,#N/A
320,35,"Flexible hours, great location, social coworkers, tough projects, free food",4,#N/A
321,36,"work & life balance, interesting projects",3,#N/A
322,36,lots of opportunity to learn,3,#N/A
323,36,"+ Pay is great
+ Benefits are top notch
+ Many projects can be interesting
+ OK work/life balance, but there may be times when you will have to pull all nighters
+ Could be on-call, which is always a bummer",4,#N/A
324,36,"FactSet compensates very well, especially those who exceed expectations.

Many of the other benefits are also very nice.
- Employees start with 3 weeks' paid vacation.
- Monday-Thursday you get a subsidy for the cafeteria that is enough to cover lunch.
- Parents of newborns enjoy paid maternity/paternity leave.

The projects are interesting and challenging. FactSet is very goal-oriented, so others are... motivated as much as you are.

The culture is healthy, and goals tend to be aligned from team to team.",4,#VALUE!
325,36,"Kostenloses Essen, nette Arbeitskultur, freundliche Angestellte",4,#N/A
326,36,"Very Good for freshres to join
Good Working Atmosphere.
Good Learning",4,#N/A
327,36,"Good co-workers, tons of young and energized employees.  Good technology and reinvestment into the company.",4,#N/A
328,36,"I absolutely love working for FactSet! My favorite part about the company, by far, is people. FactSetters are driven and passionate individuals working towards a common goal. The management provides multiple opportunities for upward mobility, which is encouraged and supported. By allowing its employees to find their own niche within the firm, the company ensures personal and professional satisfaction. This, in... return, becomes a decisive factor for people to build their long-term careers with FactSet.",4,#VALUE!
329,36,"work at home, part time. It is a publicly held company",2,#N/A
330,36,The working condition was good,4,#N/A
331,37,Company helps to obtain certificates,3,#N/A
332,37,"Free lunch, stock purchase program, CFA program, 401k, benefits, young employee base",3,#N/A
333,37,Work life balance. Friendly people. Ample physical cube/office space.,4,#N/A
334,37,"work life balance
opportunities to learn on both development level and product level",4,#N/A
335,37,"Own boss, interesting work, financial markets, client interaction, work life balance",4,#N/A
336,37,"- Lots of responsibility right from the start
- Work with great, highly motivated people in a great culture
- Management cares about your success.  Your success is their success
- Free lunch program
- Great benefits and perks (health, vision, dent",4,#N/A
337,37,people are really nice here,4,#N/A
338,37,"- Work and life balanced, Laid back
- Free snack and beverage",4,#N/A
339,37,Good benefit programs.  Stipend for lunch 4 days a week. Clean office spaces.,2,#N/A
340,37,"Competitive salary. EXCELLENT benefits package. Very accommodating hours (when appropriate). Many very skilled, intelligent and pleasant co-workers. Heavy emphasis on training and development; if you don't have a skill, but you wish to develop it, you can find resources at FactSet. If you are good at what you do you will succeed here.",4,#VALUE!
341,39,We get paid lunch 4 days a week,3,#N/A
342,39,"Good Work Environment!
Wonderful Managers(Atleast in my Case)
Every opinion matters and is addressed!
Half-yearly Hikes!",3,#N/A
343,39,"Good work culture, dynamic, youthful with a strong sense of ""everyone in it together"".  Lots of social interaction, both in the office and with evenings/lunches out",4,#N/A
344,39,"Excellent culture and benefits, great deal of responsibility early in career",4,#N/A
345,39,Training provided for us very good,4,#N/A
346,39,Very good exposure to financial domain and challenging tasks,4,#N/A
347,39,"young staff, laid back culture. good (perhaps too good) work life balance, training in london",4,#N/A
348,39,Zeer goede kennis van distributie kwaliteiten,4,#N/A
349,39,"FactSet used to be a company that people would stay at for years, but things have changed. It has grown and does not have the same small company feel or growth. Management is more concerned with satisfying the market and stockholders over investing in the long-term future. If you are out of school, it's a great place to get a job, learn, gain exposure to great clients, take your CFA and move on (don't stay more than... 3-5 years regardless of what you are promised).  Life/work balance is great as are benefits (lunch, insurance (keep in mind if you don't have a family the insurance isn't as valuable), CFA payment, vacation. People are also nice though you don't always get a sense of what is really going on, very hush hush and no one is direct.",2,#VALUE!
350,39,Gives a chance to learn something new,4,#N/A
351,40,"- Good work environment
- Half-yearly performance appraisal
- Very helpful peers",3,#N/A
352,40,"Pick n drop
subsidised food
free breakfast/snacks",3,#N/A
353,40,"good company location, friendly crew",4,#N/A
354,40,"The culture is great, you are treated like an adult and given plenty of leeway. If you do your work and meet your deadlines then you'll be very comfortable at FactSet.",4,#N/A
355,40,most of the people are great to work with,4,#N/A
356,40,"Good work-life balance, most people leave by 6:30",4,#N/A
357,40,"Work life, given a ton of freedom",4,#N/A
358,40,Low pressure environment that lets you work 9 to 5 if that's your only priority,4,#N/A
359,40,"Personal growth,
Office culture and environment(Good work-life balance)
Working in new technologies, specially open sources if needed.",2,#N/A
360,40,"good competitive atmosphere.
good snacks and lunch",4,#N/A
361,41,Excellent training and great colleagues. Given early responsibility.,3,#N/A
362,41,"Friendly environment. Lots of responsibility given early on in career. Good work-life . Plenty of training, support and development.",3,#N/A
363,41,Opportunity to gain experience and grow professionally. Excellent training,4,#N/A
364,41,"free lunch, community events, nice office park location",4,#N/A
365,41,It is pretty hard to get fired from FactSet which can be frustrating for top performing employees.,4,#N/A
366,41,"positive work environment, employee benefits, Non-accountable services to employee, corporate ethics...",4,#N/A
367,41,The people are great. Get to work with some of the very best in the fintech industry. One of the few vendors where sales work hand in hand with consultants and build strong teams. The starting salary is second to none and the kitchen is always stocked with goodies!,4,#VALUE!
368,41,Great place for the beginners. Nice and flexible management to support employees.,4,#N/A
369,41,"good work life balance
good culture",2,#N/A
370,41,"Good place to start a career as they make you feel like you're part of a team... very collegiate feeling. There are some very smart people that work at the company, but a number of them are on their way out fed-up with indecision in some areas of the company.",4,#VALUE!
371,42,"Good benefits, free lunch 4/5 days of the week, increased responsibilities given to you if you are able to prove abilities; work life balance was ideal as most of the work days was by and large 9-5.",3,#N/A
372,42,those interviewers are very friendly,3,#N/A
373,42,#NAME?,4,#NAME?
374,42,"Work-life balance
free lunch perks
great and nice people
a lot of stuff to learn",4,#N/A
375,42,Several career options. Guidance along the way.,4,#N/A
376,42,Excellent avenue for learning new things,4,#N/A
377,42,"Increasing number of vacation days
Free lunch 4/5 days a week (almost free stipend in $8, many meals go over)
Friendly co-workers
Great new e-learning modules
Decent salary increases year to year, above inflation rate, but at times use small bonus in place of salary increase.

It's a great first job. Consultants and Engineers get training before starting.",4,#VALUE!
378,42,"There are many pros to work at FactSet , the people are nice and Helpful.
There are no long working hours and there is ample time to spend on oneself.",4,#N/A
379,42,"Work-life balance, office culture, Benefits, People, HR, Infrastructure, Support",2,#N/A
380,42,"very good benefits package, competitive salary, responsive middle management, some strong leaders in upper management, quality was a primary focus in lots of areas",4,#N/A
381,44,Work life balance in the company,3,#N/A
382,44,"free lunch, young colleagues, happy hours, and decent atmosphere",3,#N/A
383,44,Free drinks forever and Free food monthly. Free shuttle service,4,#N/A
384,44,"Good scope for Learning, good work life balance.",4,#N/A
385,44,"FacSet is full of bright young, and somewhat upbeat recent college grads who are eager to learn and investigate new technology. Your experience here will be heavily dependant on your team and your manager and not the company as a whole. Some of the great things about FactSet include:

-loads of new things to learn
-Loads of Modern Front End Technologies 
-Work with multiple languages (Java, C#, python etc etc..... we use all of them in someway)
-Resume becomes extremely marketable very quickly (Thomson Reuters and Bloomberg will bombast your linkedin accounts)",4,#VALUE!
386,44,"good work life balance
good facilities
very little stress
good management",4,#N/A
387,44,"Great work environment, good work-life balance, decent pay, free lunches monday - thursday, casual fridays",4,#N/A
388,44,"Good pay, upward mobility, supporting leadership, flexible",4,#N/A
389,44,great company to work for,2,#N/A
390,44,"Great environment, sweet benefits, and enjoyable work. Everyone has a lot of respect for work-life balance and the company tries hard to make the happiest employees they can. Lots of room for upward growth; almost everyone upper management started out as an engineer or other entry level position. FactSet wants you to stay for a long time.",4,#VALUE!
391,45,"great work place if you are junior and eager to learn Fixed Income valuation and programming, life is easy here",3,#N/A
392,45,There is a great work/life balance and there is a general nice feel around the place. There is not too much pressure applied and the compensation is OK.,3,#N/A
393,45,"Love to promote from within. Systems is respected but not compensated as well as software.
Great work life balance. Good benes for single worker or 1 working parent in family.
Like to make our own vs buying software from external.",4,#N/A
394,45,Amazing work life balance,4,#N/A
395,45,I recommend this company for Fresh Grads for the reasons: 1.)Very light working environment (at least in Fundamentals Dept.) 2.) Managers are approachable. 3.) Free Shuttle Services (if you are in mid shift you will be brought home to your house and if in GY you will be fetched from home. 4.) Work Life balance. 5.)The company consists of young work force. 6.) Free drinks in the pantry,4,#VALUE!
396,45,"No work pressure , Some perks",4,#N/A
397,45,"Great people, and great corporate culture. Compensation is good if your work is recognized, which can depend on your manager. Great place to work right out of school if you are not sure what you want to do in finance.",4,#N/A
398,45,"Lunch, Less stress, Good team, parties",4,#N/A
399,45,"Work-life balance
Freebieees
Good working environment
Freedom
Care for employees
Good benefits",2,#N/A
400,45,"Lots of freedom. Free lunch, coffee, snacks and drinks. Social events. Good work environment.",4,#N/A
401,46,Flexible on the time schedule,3,#N/A
402,46,"Casual attitude where we can relax and focus of work,  can address issues openly with managers and HR, free breakfast and snacks. Good growth opportunities as hard work is recognized and compensated.",3,#N/A
403,46,To improve a knowledge on financiaal statements,4,#N/A
404,46,"Great place to start your career.  Good training and development during your onboarding.  People are great, and many are right out of college so if this is your first job out of school, it's nice to have most of your peers in the same situation.",4,#N/A
405,46,"FactSet has great benefits including 15 vacation days in your starting year, kitchens on every floor stocked with healthy foods and drinks, discounts on local gyms, great health care and they pay well too.",4,#N/A
406,46,"FactSet offets undergrads a great first job out of school.
- Interact with jr analysts all the way up to c level execs
- plan your own travel schedule as a consultant
- little to no micromanagement
- free lunch, collegiate atmosphere, free snacks and drinks
- Interesting work with smart clients - as long as you take the initiative to go above and beyond",4,#VALUE!
407,46,Gain experience using a software application widely used in the financial world,4,#N/A
408,46,"good working culture, subsidized food, beverages for refreshment to employes",4,#N/A
409,46,"Relaxed working environment (although will depend on the team and projects).  Pay is reasonable/good for roughly 2/3rds of employees, pay is poor for the rest.  Employees are adequately resourced to do their jobs.",2,#N/A
410,46,"Great training, nice people, very good culture, easy product to sell. Great opportunities to travel and can decide your own career path",4,#N/A
411,47,"Great work environment, good people, great client exposure, location and perks",3,#N/A
412,47,"Kind people to work with, great work/life balance, great benefit and free lunch.",3,#N/A
413,47,"Travel 
Great Exposure
Friendly Staff
Helpful people",4,#N/A
414,47,"Very strong and supportive, ability to work from home and weekend off",4,#N/A
415,47,"6months salary appraisal, flexible work timing, good people in india",4,#N/A
416,47,"work-life balance
challenging work
laid back culture
good health insurance and other benefits",4,#N/A
417,47,"Nice work culture,good support from management ,Good facilities",4,#N/A
418,47,Easy internal job promotion. Paid vacation leaves. Medical benefits. Mutual fund for employees. Regular career growth training programs.,4,#N/A
419,47,"-Good Employee facilities like free pickup and free drop,free food.
-Flexible working hours.
-Work Life balance.",2,#N/A
420,47,"- A very young culture in Software Engineering (most hires are straight out of undergrad)

- Great opportunities to develop yourself at the start of your career

- Talent at FactSet is actively recruited by companies like Google and Facebook.
",4,#N/A
421,48,Everyone here is so friendly and supporting. One can learn a lot from this company,3,#N/A
422,48,Work life balance is good,5,Work Life balance is good
423,48,"Best company I have ever worked for, they treat employees very well and value their work
Plenty of room to move upwards
Salary is on par with the street",4,#N/A
424,48,"- Responsibility to get on with your own work
- Smart young workforce with strong teamwork
- Opportunities to travel to work with clients
- Very good place to start a career",4,#N/A
425,48,"Can be part of all the software development stages from designing to testing , this will happen right from day 1.
Your ideas will be listened to .
Ever growing market share
Helpful teams .",4,#N/A
426,48,"It's fairly easy to get a job at FDS
Free lunch
Great life/work balance",4,#N/A
427,48,"Appraisal two times a year, Open door policy, Fun culture, Opportunity for growth, Subsidized lunch, 360 feedback, Training, Work life balance.",4,#N/A
428,48,great people...they encourage a good work life balance,4,#N/A
429,48,FactSet has a good corporate culture and they try to provide great benefits.  Starting your career here can be great and is a fun place to work.  You'll get free lunch 4 days of the week.,2,#N/A
430,48,"Some of the best people (both in terms of software engineering ability, and personality) that I've ever met work at FactSet. The work provided by most teams is generally fairly interesting, and while this definetly varies from team to team, engineers get a lot of autonomy in how they go about solving problems. Work life balance was insanely good - it was completly possible to work 35 hours a week on my team, though... I usually did 40-50 because I'm a motivated youngster. Free lunch helps make the company more social. Their new hire orientation makes it super easy to make new friends, which is awesome for someone straight out of college and living in a new place. Benifits are good, urban office locations are all superb.",4,#VALUE!
431,49,"culture is awesome, compensation is grand - they really take care of you, and values are fully shown in their actions, way they treat employees",3,#N/A
432,49,"Immense support from Teams, Lot of perks like Cab pick-up and drop. and lot more",3,#N/A
433,49,"Constantly learning, great opportunity for growth, and always challenging environment due to surrounding colleagues motivation.",4,#N/A
434,49,"- Free shuttle service
- Free drinks
- Generous benefits
- Managers actually listen to ideas
- Regular peer reviews/performance appraisals with performance-based bonuses
- Employees are regularly updated about the market performance of the compa",4,#N/A
435,49,"Great people, good work/life balance.",4,#N/A
436,49,Average salary. Good benefits. Friendly colleagues.,4,#N/A
437,49,"Pay: The pay, at first, when I joined FactSet was generous as a graduate.

People: The people on your level are the ones that make FactSet a great place to work. I can honestly say that in the time I have had here, it has been an excellent experience and I have never had tension with any of my co-workers. Many of whom, have become friends.

Environment: As a Software Engineer you are not client facing so are... able to feel comfortable in your working environment to get coding done. People are able to talk to one another and share ideas and have general discussions.

Technologies: FactSet, fundamentally built a lot of the tools creating in-house propriety technologies, however that is slowly changing and transitional tools and skills are being brought into the company.

Career: If you wish to have job security and a guarantee that you will be rewarded for loyalty - FactSet is ideal. Those who have been at the company a long time and moved into management are rather happy with their roles. I am unable to predict the future, but modern technologies are now being introduced to FactSet which may mean newer engineers have better opportunities.",4,#VALUE!
438,49,Great people and culture with a good work life balance. Positive environment of a successfully growing company. Growing internal opportunities.,4,#N/A
439,49,"- Good Benefits
- Work / Life Balance
- Friendly Environment",2,#N/A
440,49,Its a good company where people are willing to work,4,#N/A
441,50,"Overall good people and culture.  If you're able to find your way into the right group, it can be a great experience. Compensation is pretty good for the first few years given the work/life balance. Interesting clients and products. New president is a welcome change.",3,#VALUE!
442,50,"office culture, work life balance, flexible hours, working from home.",3,#N/A
443,50,"Great Benefits. Compensation is competitive. Employee stock purchase plan is great. Fringe benefits are nice to ok.
Work/life balance is great.
Usually feel like a valued employee.
Good opportunities to grow and learn right out of college.
Go, learn have fun at Factset. Then leave for something more interesting after a year or two.",4,#VALUE!
444,50,Great people.  Well paid.  Challenging and interesting work.,4,#N/A
445,50,"Great benefits package, free lunches, flexible working hours, relaxed atmosphere, great opportunities to grow within the company if you work hard.",4,#N/A
446,50,"-Good work-life balance
-NIce colleagues and working environment
-Health insurance benefits",4,#N/A
447,50,You can enhance your skill set by learning various technologies. Communication between the remote employees is very nice. You get full support when you are stuck at some point in accomplishing your project.,4,#N/A
448,50,"good work atmosphere, good lunch program, and flexible work schedule. Everyone was very friendly, and the software is a great product. The lunch program is a great benefit too.",4,#N/A
449,50,"flexible working hours, friendly team, free lunch four days a week, health insurance, etc",2,#N/A
450,50,"great benefits, strong company. It is growing versus bloomberg and its competitors. Great work/life balance.",4,#N/A
451,51,"Nothing worth to mark it as good aspects.
It looks good, and people looks friendly.
Yet, it isn't the fact",3,#N/A
452,51,"Good environment (friendly), good transportation",3,#N/A
453,51,"Relatively relaxed culture.
Not many hard deadlines.
Relatively good pay for software engineers.",4,#N/A
454,51,"- Young Work Environment
- Growth Opportunities
- Great Benefits
- Lunch Paid for 4 days a week
- Collegial Environment
-",4,#N/A
455,51,"Cab facility and food is provided, work environment is good",4,#N/A
456,51,Great people and great place to start your career.  Continued growth and progression of company and its products.,4,#N/A
457,51,"Friendly working environment, not too much pressure.",4,#N/A
458,51,"Good Infrastructure
Good colleagues
Better additional perks",4,#N/A
459,51,Lot of stress on quality,2,#N/A
460,51,"collaborative environment, good place to enhance soft skills",4,#N/A
461,53,Work life balance can always be maintained.,3,#N/A
462,53,Great entry level position with competitive salary,3,#N/A
463,53,"- Good benefits (e.g. medical reimbursements, increase of paid leaves the longer you stay with the company)
- Free shuttle service
- Relatively good pay for fresh graduates
- Performance-based bonuses
- Relatively good work-life balance
- Youthf",4,#N/A
464,53,"There are decent perks, the people are great.",4,#N/A
465,53,Some of the senior management is amazing. Lots of freedom and responsibility early into the job.,4,#N/A
466,53,"-it offers good benefits
-there is a flat structure
-people are very friendly and intellectually sharp
-easy to make an immediate impact",4,#N/A
467,53,Good place to meet smart and fun people,4,#N/A
468,53,"Great pay, great benefits, friendly environment, and challenging projects. FactSet doesn't really have a ""startup culture"", but it still hits a perfect point just between ""startup"" and ""corporation"". You feel like you're important, but with the backing of a company that is conservative and constantly growing incrementally. Work/life balance is really great, you're not expected at all to work over 40 hours.",4,#VALUE!
469,53,"Free lunch, good benefits- time off, young people",2,#N/A
470,53,"1.good place to work
2.for career starting i suggest it is the best company
3.if u work here for you can work anywhere easily.",4,#N/A
471,54,"good amenities,people likeminded,lots of oppurtunities for freshers",3,#N/A
472,54,There is an advantage in terms of Work-life balance.,3,#N/A
473,54,it was a good to work,4,#N/A
474,54,"1) Good benefits but can give more(More LTA, Sodexo coupons, Gym Reimbursements etc)
2) Some great leaders in the org you can really look up to
3) You can always find time to play
4) Work from home",4,#N/A
475,54,"Flexible working hours
Good health benefit
Free lunch",4,#N/A
476,54,Lots of opportunities to grow,4,#N/A
477,54,Extremely nice work environment. Helpful Managers. Platform to learn new Technologies. Place to implement your ideas with freedom. Easy promotions.,4,#N/A
478,54,"Pretty Flexible hours, client exposure, young staff, casual environment, very friendly people and overall pretty fun. Good entry level job.",4,#N/A
479,54,"Work culture, abundant learning opportunities, room for growth.",2,#N/A
480,54,"Great culture and benefits, relaxed atmosphere with good work/life balance",4,#N/A
481,55,"They provide a nice working environment, quite youthful and feels like college.
Also, facilities are decent and the middle management feels like some sort of third parent.",3,#N/A
482,55,#NAME?,3,#NAME?
