Employer.s.Name,Review.Link,Job.Title,Review.Date,Review.City.Town.Name,Review.State.Name,Review.Country.Name,Current.Job,Length.of.Employment,Employment.Status,Overall.Satisfaction,Career.Opportunities,Compensation...Benefits,Senior.Leadership,Work.Life.Balance,Culture...Values,Business.Outlook,Recommend.to.Friend,CEO.Approval,Pros,Cons,Advice.to.Sr..Management,Headline,Employer.Response
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW17819206.htm, ,11/9/2017,New York,New York State,US,No,More than 10 years, ,2,3,3,2,2,1,Staying the Same,No,Disapprove,At the time it was a great place to work for and there was pride in stating I worked for S&P.  There were many perks to being an S&P employee.,"After Leo O'Neil left the helm the company went down hill fast. Leo was a true leader and champion for the ""little people"" who he knew were the true reason for S&P's success.
Today, people walk around like zombies and are just waiting for their turn to be cut. I stay in touch with many that remain there and the consensus is the same; they don't feel the company has a heart anymore more are they confident that there is a clear direction.",There really isn't anything that can be said to management as they are most likely in the same boat and are working day to day in hopes they won't get cut.,A company lost,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW17660072.htm, ,10/31/2017,New York,New York State,US,No,More than a year,Full-time,3,1,3,2,3,1,Staying the Same,No,No Opinion,"Strong COO, strong business franchise",Too much deadwood; not open to change; technology backwater,Start walking the talk on culture and values,Director,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW17618194.htm,Director,10/29/2017,New York,New York State,US,Yes,More than 5 years,Full-time,3,3,3,3,4,3,Staying the Same,No,No Opinion,"Good work life bonus with reasonable hours
Decent salary and benefits
Opportunity to cover credits quickly
Mobility within the organization","Key IT systems are from the 1980s and 1990s
Processing and procedure occupy the vast majority of your time
Management changes key priorities every 6 months with leadership changes
Increasing focus by upper management to maintain margins and support the stock price","Pick a leadership team and stick with it
Best way to improve morale is through compensation",S&P Global Ratings,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW17145661.htm,Senior Manager,10/3/2017,New York,New York State,US,No,More than 5 years,Full-time,2,1,3,1,1,1,Getting Worse,No,Approve,"Great company, Historically. Great minds, analysts, leaders built this great company. Very powerful company on analytical world.   Great HR and  policies, with good benefits.","Recent Management changes brought this company values low, especially Ratings IT side.  Very bureaucratic atmosphere now.  Has no vision, goal on future plans.","Great talent leaving your company,  your competitors are treating your employees better than you.  S&P has great history,  Please open your eyes to save the talent.",I worked at S&P Global Ratings full-time (more than 11 Years),NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW17044489.htm,Senior Project Manager,9/27/2017,New York,New York State,US,No,More than 5 years,Full-time,2,2,3,3,1,2,Staying the Same,No,No Opinion,"This company used to have very talented people. Due to the changes that are ongoing for the last four years or so, the company is going through the ""growing pains"".","Now, the company is silently outsourcing as much as it possibly can to reach its ambition to raise the bottom line, at the expense of the quality, its people and everything that comes with management that only sees $$$.","Take care of the talent you have, you will see soon enough that moving all support to India is not worth it.",No future,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW16726157.htm,Associate,9/8/2017,New York,New York State,US,Yes,More than 3 years,Full-time,4,4,3,3,5,4,Getting Better,No,No Opinion,Good exposure to deals and you are encouraged to learn deals and start rating them quickly. Great work life balance but comes at the expense of compensation.,"Slow culture, bad IT systems that don't allow you to work efficiently, compensation is not great, managers don't have a focus on developing talent.",Invest in better IT systems.,S&P ratings is alright,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW16493521.htm,Project Manager,8/23/2017,New York,New York State,US,No,More than 10 years, ,4,3,4,3,4,3,Getting Better,Yes,No Opinion,"Some work life balance, good benefits & 401K plan",Too many reorganizations & frequent management changes,Reduce number of reorganizations. Promote from within.,Business Analyst / Project Manager,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW16472107.htm,Data Analyst,8/22/2017,New York,New York State,US,No,Less than a year,Contract,3,0,0,0,0,0, , ,No Rating,"Comfortable culture, fair treatment of people on a personal level","No review of ongoing work, poor communication, no oversight, management cut off from workers","Suggest regular review of work, and responsiveness to requests",Poor project management,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW16159065.htm,Developer,8/1/2017,New York,New York State,US,No,More than 10 years,Full-time,1,2,3,1,2,1,Getting Worse,No,Disapprove,"The pay is good, although the bonus is under 7% and shrinking all the time. Health coverage, pension, retirement contribution and vesting are all good.","Everything else besides the pay and benefits! The environment is totally stifling, ALL of the uppermost managers are brand new teams of ""club"" members who don't know either real people or the ratings business at all. STAY AWAY FROM S&P. You have been warned.","You want advice? You don't deserve advice! When I got stuck with a terrible manager, who would yell at me at my cubicle with dozens of peers in earshot (all confirmed by MANY peers under her as well), the ""proper channels"" did absolutely nothing about it, and it took me years to find our that ""HR partners"" for every department even exist!

Also, every 8 hour day is divided into 15 minutes real work and 7-3/4 hours justifying it via scrum stories, forms, test cases, etc., etc., all on the worker's own - absolutely no thought given to automating or streamlining anything. Focus on results more than process and protecting your butts!

Finally: your BS town halls full of inspirational philosophical crap are a complete waste of time and lies, and everyone knows it. Our cubicles are coffins squeezing ever tighter, even as you preach out-of-the-box and helping the company generally. It's totally laughable, you blithering idiots. Wake up by spending ""a day in the life of a developer"". No, a month!","Good years ago, but steadily, quickly and intolerably downhill",NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW15641877.htm,Ratings Support Specialist,6/26/2017,Dallas,Texas,US,Yes,More than a year,Full-time,5,5,5,5,5,5,Getting Better,Yes,No Opinion,"They have Great Management, easy hours, supportive environment with upward mobility. I see people moving and getting promoted frequently. They care to make sure you enjoy your work and have work life balance.",The work can be a little nuanced and redundant. That's really the only thing. Management could be a little more engaging.,Keep engagement high,"Great Management, easy hours, supportive environment with upward mobility.",NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW15387089.htm,Senior Director,6/8/2017,New York,New York State,US,Yes,More than 10 years,Full-time,2,2,3,2,2,2,Getting Worse,No,Disapprove,Fair salary; good location; long standing employees are very helpful and knowledgeable; strong business team; company name is known throughout the industry,"Diminished workplace diversity, heavily driven by India; diminished work-life balance, expecting you to be available 28/8; filling open positions in Denver, creating   in India, expects us to believe our jobs are not at risk; no longer promotes existing senior level staff to head departments instead hiring from outside; under value business acumen of long standing employees. 

Now because of these negative reviews and poor internal employee survey results they're attempting to put  bandaids on sores. In essence, throwing doggy treats so we can give good ratings on the next internal company survey, yet not really doing much. They need to reduce the risk of  losing too many employees before critical projects are completed and do knowledge transfer to the incoming Denver/India staff.  Well, what do you expect the CTO has to support his birthplace too. 

It's a  medicinal curry pie I guess","Stop underestimating and undermining your current employees. We understand the value of change and know the business. Maybe the new leadership should learn the people and the business a little better. 

Before hiring outsiders to lead consider putting 'acting' managers in place to see if your existing talent can do the job before disqualifying them, you may be surprised how many diamonds you passed off as lumps of coal. 

Stop trying to out do one another. The biggest failure at teamwork is you!!  Shame on you all!",What it once was it no longer is,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW15303586.htm, ,6/2/2017,New York,New York State,US,No,More than 3 years, ,2,2,4,1,4,1,Staying the Same,No,Disapprove,Work/life balance was good (while it lasted),"- No stability. Everyone is disposable. The more you make, the bigger target you represent.
- Management of Risk  function that is paranoid, trivial things blown out of proportion, scheming and politicking.", ,Not a place for those looking for a stable and secure environment,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW15174245.htm,Data Researcher,5/23/2017,Denver,Colorado,US,No,More than a year, ,2,2,4,1,4,1,Staying the Same,No,No Opinion,Good benefits. Decent pay. Good work life balance.,Extremely political. There were unnecessary roadblocks for internal transfers. There were no programs for developing professional skills. My team was very understaffed and they still didn't hire anyone when people quit. It's a large company and moves very slowly.,Allow more room for employee growth.,Former employee,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW14093612.htm,Director,3/8/2017,New York,New York State,US,Yes,More than 8 years,Full-time,4,3,3,2,4,3,Getting Better,Yes,No Opinion,There are many good opportunities to grow/ expand your skill if you look hard enough and take initiative.,Ceiling on the top. Difficult to pierce above director level.,Provide clear career path for the star analysts and take early action to correct nonperforming ones.,Control Your Own Destiny,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW13961498.htm,Financial Analyst,2/27/2017,New York,New York State,US,Yes,More than 8 years,Full-time,1,2,2,1,2,1,Getting Worse,No,Disapprove,There are some great people spread out through the organization,For every great person there's handfuls of those you would try and avoid.  The worst of them all is the HR dept.  They singlehandedly cause more harm than good. They have continually proven over and over again that they could not be more disconnected from the reality that morale continues to plummet while they blow smoke but even then only when pressed hard to get involved. This issue has been a constant for my entire eight year stay but somehow they always find a way to reach new lows.,Wake up. Your own leadership team causes more harm than good.,Stay Away,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW13650838.htm,Summer Intern,2/6/2017,New York,New York State,US,No,More than a year,Intern,5,3,3,4,4,4,Getting Better,Yes,No Opinion,Company really cares about helping the employees grow personally,They have their slow periods where work was scarce, ,Summer Intern,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW13633976.htm,Analyst,2/4/2017,Denver,Colorado,US,No,More than 5 years,Full-time,3,2,1,1,4,3,Getting Worse,No,No Opinion,"Quality Work
Greater accountability of your work
Just about a decent company to work
Global company
Good company to start your career","Process driven
Poor management
Company policies - Focuses on Expense rationalization rather than top line growing
Poor technology at work", ,Analyst,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW13399711.htm,Associate Director,1/19/2017,Westbury,New York State,US,Yes,More than 10 years,Full-time,4,2,4,3,3,2, , ,No Rating,Able to telecommute 3 days a week.,Very focused on processes,Need a good balance,AD,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW13018632.htm,Business Analyst II,12/15/2016,New York,New York State,US,No, , ,4,4,4,3,5,4,Getting Better,Yes,Approve,"Robust business, always new projects, company is going through changes",Changes can be difficult due  to folks leaving.   The hiring takes a long time as of they debate,Get the vision going,Confused,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12807865.htm, ,11/28/2016,New York,New York State,US,Yes,More than 5 years,Full-time,3,2,4,2,4,3, ,No,Disapprove,Smart people (those who are left) who care about what they are doing; good work location (NYC); reasonably competitive salary and benefits,"Lost the human touch - CEO and company cares only about stock price, now.  Becoming a shop of anonymous robots.  Far too many layoffs over past 2 years - even at executive level.  Both business and IT have suffered catastrophic losses.  The most brilliant folks are now gone.
NOTE:   Ratings are primarily for IT department only - Ratings analytical jobs are still good", ,IT positions going down-hill fast - used to be great place to work,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12664205.htm,Credit Ratings,11/14/2016,New York,New York State,US,Yes,Less than a year,Intern,4,5,4,5,5,4,Getting Better,Yes,Approve,"Decent hours, good pay relative to hours, and interesting work",Not the most glamorous gig in NYC., ,Great Work/Life Balance,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12601729.htm, ,11/8/2016,New York,New York State,US,No,More than 10 years,Full-time,3,2,4,1,3,2,Staying the Same,No,Disapprove,"> work-life balance
> compensation
> benefits","New management is still experimenting with how the business should be run; the organization became very political.   Promotions/appointments are not merit based; it is a mystery how people are appointed to senior positions with no subject matter experience.  In most cases,  leadership is managing by fear.",Establish and manage by measurable objectives.  The majority of the employees in the IT department have no idea what their deliverables are.,Restructured three times in last 5 years,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12286160.htm,Project Manager,10/12/2016,New York,New York State,US,Yes,More than 5 years,Full-time,3,3,4,1,4,3,Getting Better,No,No Rating,"Benefits are fine, pay is fine, healthcare is fine, some managers are flexible about occasional WFH. Location is very accessible. Steady outlook.","Constantly changing leadership at all levels leads ton inconsistency and chaos. Only some floors are renovated- those that are not are very glum. IT department is demonized and viewed very poorly, which leads to little/no support for training or career advancement and very low morale.",Pick a mission/goal and stick with it. Invest in employee's education and happiness. Mentor new/young employees to help them grow skills.,Boring and chaotic at the same time,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW12048309.htm,Senior Director,9/23/2016,New York,New York State,US,No,More than 8 years, ,2,1,4,1,1,1,Getting Better,No,Disapprove,The company was a great place to work when Terry McGraw was the chairman.  That is how corporate america operates in today' s world.,Management only interested in the bottom line.  They have created a culture of fear and control that has everyone concerned for their jobs as opposed to doing their job.,The strategy for the management team is to to run for short term profit and no concern for the people side of the equation.,Sr Director,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11691570.htm,Associate,8/25/2016,New York,New York State,US,No,More than 3 years,Full-time,2,2,2,3,4,3,Staying the Same,Yes,No Opinion,Good work-life balance. Interesting job for undergrads. Nice people. Nice office. Great building and neighborhood. I generally like the people I work with.,"Low pay for analyst and associates. They seem to lose lots of bright young people because of this, and sadly, they don't seem to care. A questionable (brand new) 3-yr rotation program for undergrads tries to emulate IB but doesn't pay nearly as much. Just a way to cut costs... It's lost much brain power and experience with the departure of many, many senior analysts. Sure - margins look better and investors are happy, but the last time I checked, a professional service company's key asset is its talents...  Slower promotion for junior level staff (compared to a few years ago). HR is rude and unprofessional - train your HR to be nicer because HR is your company's face to all future employees.",Show you care about people by giving the right incentive. Train your HR to treat all potential employees with basic respect. Don't be a bigot.,Alright,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11681728.htm, ,8/25/2016,New York,New York State,US,No, , ,1,1,1,1,4,1,Getting Worse,No,No Opinion,The company has a good work like balance culture,No support from management. Analyst role is a series a check the boxes. Analytical rigor is put in the back burner. Not mentally stimulating. Pay is low. The financial systems are outdated., ,Rating S&P Gobal,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11493115.htm,Computer Programmer,8/8/2016,New York,New York State,US,No, , ,5,4,2,4,2,3,Getting Better,Yes,Approve,"Always learning something new 
Many opportunities to upgrade your skillsets
innovative culture
great benefitsand health plans/401k","Lots of work and responsibility.
Work/life balance
Average compensation",Keep up the good work,Great place to work for programmer,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11490038.htm,Data Research Analyst,8/8/2016,Centennial,Colorado,US,No,More than a year,Full-time,3,2,2,2,4,4,Getting Worse,No,Disapprove,Nice work life balance. Relaxed dress code. Ability to work from home.,This position has a very archaic training structure. Departments are very much separate and siloed.,This department needs a complete restructure. Training methods are obsolete and mentors are left to train incoming analysts without much help or guidance from management.,Data Research Analyst,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11261675.htm, ,7/16/2016,New York,New York State,US,No, , ,3,0,0,0,0,0, , ,No Rating,"People are generally nice, act professionally, and are not too aggressive.  Culture promotes a balance between work and personal life.","Politics and consensus rule, which fosters a lack of agility.  Way too many meetings. The combined effect is s stiffling of entrepreneurial spirit","The situation: S&P has a brand name which affords huge value, as well as an infrastructure and senior management built over several decades.  Consequently,  senior management needs to to shake things up just the right amount--enough to thrive going forward without disrupting existing business.",It's a living,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11175838.htm,Ratings Support Specialist,7/8/2016,Denver,Colorado,US,Yes,Less than a year,Full-time,5,5,5,5,5,5,Getting Better,Yes,Approve,"Good team members, positive attitude. Great benefits and a really interesting industry with growth potential.","Multi-national corporation makes communication difficult when teams are spread throughout different offices in different timezones. But they utilize e-mail, instant messaging, skype-like systems, etc. to manage these roadblocks very effectively.", ,"Good employees, tight operation, good benefits!",NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11154627.htm,Public Finance Associate,7/6/2016,Santa Monica,California,US,No,More than a year, ,3,3,3,2,3,3,Getting Better,Yes,Approve,"Stable, Great Benefits, Friendly environment","Difficult to change group or departments
Promotional opportunities are limited
Lack of mentorship",Allow employers to advance or change in departments that make them more productive and happier.,Decent place to start your career,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11140066.htm, ,7/5/2016,New York,New York State,US,No,Less than a year, ,4,4,4,3,5,3, , ,No Rating,People there are very nice.,I can not think of any problems. Just keep what you are doing., ,Good place to start your career,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW11018177.htm,Director,6/23/2016,New York,New York State,US,No,Less than a year,Full-time,1,1,3,1,2,1,Getting Worse,No,Disapprove,Some people are very nice to work with.,"Lots of moody people. Management micromanages you and you have to report, document and record everything you do. One-third of your time is spent i Zoom meeting and many are useless.",Stop micromanaging your employees.,Director,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10874079.htm,Credit Analyst,6/9/2016,New York,New York State,US,Yes,Less than a year,Part-time,5,5,5,5,5,5,Getting Better,Yes,Approve,"Easy work environment, good pay.",Challenging work -- not necessarily a bad thing., ,Credit Analyst,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10827059.htm,Associate,6/5/2016,New York,New York State,US,No, , ,3,1,4,1,5,3,Getting Worse,Yes,Disapprove,"1.  Good work-life balance.  Generally a 9:30 to 5:30 job.  Easy to work remotely.  
2.  Compensation is good given the low stress.  Good benefits too (6% matching)
3.  People are very nice 
4.  Good exposure to the capital markets; possible to leave to higher paying but more stressful jobs.
5.  Less likely to fire staff in downturns.","(I worked in Structured Finance) 

1.  The business can be described as a ""factory"" that produces ratings.  As an employee, your job is to follow a set process to produce a rating, and then repeat the process over and over again.  There is little room for independent thought or creativity.  Anyone can do the job, so there is not much value for being smart or ambitious.  
2.  There's limited career advancement.  Expect to do the same thing over and over again until you find a new job.  No idea how promotions are made.  Some competent people sky rocket and other competent people float around in limbo. The organizational structure is also very top heavy, so not much room for younger employees to rise.  
3.  Upper level management is not competent.  We have high turnover (often to much smaller ratings agencies like Kroll, which has taken more than a few RMBS analysts) and declining market share.  Classic symptoms of poor management.  
4.  Management keeps creating new processes and organizational changes that make doing my job much harder.  Everything requires more approval and more forms to fill out.  It seems the problem is that there are too many managers, so many of them are creating solutions to imaginary problems.","Give employees a path to grow, or they will find growth elsewhere.  Get rid of a couple layers of management.",This is a good corporate job,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10792081.htm,Ratings Analyst,6/1/2016,Denver,Colorado,US,Yes,More than 3 years,Full-time,4,4,1,1,3,5,Getting Worse,Yes,Approve,"Really like the work, and the projects.","Constant changing management, and don't get paid enough to stick around","Value your employees, you are losing top talent every day.",Interesting work with low pay,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10629835.htm, ,5/17/2016,New York,New York State,US,Yes, , ,4,5,3,3,4,3,Staying the Same,Yes,No Opinion,good advance opportunities; big name,pay check is not good,raise compensation,RA,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10545852.htm,Senior Research Assistant,5/9/2016,Denver,Colorado,US,Yes,More than a year, ,1,1,1,1,4,1,Staying the Same,No,No Opinion,"internationally known company, good work life balance","uncompetent  upper management, unstable job roles, inconsistent pay", ,Researcher,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10357126.htm,Vice President,4/22/2016,New York,New York State,US,Yes,More than a year,Full-time,1,2,1,1,1,1,Getting Worse,No,Disapprove,"Interesting work, global interactions with colleagues. Work from home as much as you want because no one seems to notice.","Disorganized, poorly managed, constant change in management and company direction, negative work environment, management is not in touch with issues employees face and don't seem to care. Pay is far below market. Benefits stink. Wastes money.","Stop making constant changes, meet and support your employees. Emails about ACE awards is not enough. Make it a nicer place to work.",Disfunctional,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10259056.htm,Associate,4/13/2016,New York,New York State,US,Yes,More than 3 years,Full-time,3,3,3,1,4,1, , ,No Opinion,"- Good level of responsibility 
- Good work life balance","- Poor strategy
- Misguided management",Focus on efficiency and cultivating the best analyst on Wall Street rather than expense mgmt,Associate,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10206854.htm,Director,4/8/2016,New York,New York State,US,Yes,More than 8 years, ,4,3,2,2,4,4,Staying the Same,No,No Opinion,"work life balance
deep industry knowledge","limited upward mobility
Very Low bonuses", ,pros and cons,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10160083.htm,Data Analyst,4/5/2016,Englewood,Colorado,US,Yes,More than a year,Full-time,3,3,4,3,4,3,Getting Better,Yes,No Opinion,The benefits are pretty good. The company tries to  promote work/balance.   They also try to engage employees in activities and groups. The company seems stable.,The support of management is lacking.  Some discontentment among employees. It's difficult to move to new positions.  VERY strong discrepancies in treatment of different teams and departments.,More accessibility and support for staff,Data group,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10075364.htm,Senior Project Manager,3/29/2016,New York,New York State,US,Yes,More than 8 years,Full-time,4,4,4,4,4,4,Staying the Same,Yes,No Rating,"Great environment, location, position on the market and reputation","Compensation and career growth, management style f some managers is being overlooked", ,Good Co,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW10007933.htm, ,3/22/2016,Denver,Colorado,US,Yes,More than 3 years, ,2,2,2,2,4,2,Getting Worse,No,Disapprove,"Well recognized brand, good benefits","High turnover of senior management, lack of transparency, poor performance incentives, low employee morale","Give proper incentives to your employees outside of the analytical community, do a better job of linking skills to positions",Good For Short Term,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW9999983.htm, ,3/22/2016,New York,New York State,US,No,More than 10 years,Full-time,3,3,3,2,5,4,Staying the Same,Yes,No Opinion,There is a striving for analytic excellence throughout the rating part of the organization.  The people are collegial and supportive of each other.  Great place to cut your teeth and learn basic credit analysis and focus on learning a market sector.,The company is struggling with the mechanics of becoming a regulated entity and a public company at the same time. The spirit is more than willing but management's lack of practical experience in both areas is painfully distracting to the rank and file.,"Focus on profits and not just costs or revenues, ROI analysis is a real thing that for-profit companies find helpful.  Protect the core franchise by listening to and supporting your rating analysts.  On regulation, emulate the banks and open serious dialogues with the regulators and be prepared to teach them about the rating business and learn from them about risk management at the same time.",Company is changing,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW9978068.htm,Data/ETL Architect,3/20/2016,New York,New York State,US,Yes,More than a year, ,3,4,3,4,5,4, , ,No Rating,"Flexible work culture, very supportive managers",Very slow in decision process..., ,Great company to work,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW9858157.htm,Director,3/9/2016,New York,New York State,US,Yes,More than 8 years,Full-time,3,2,3,3,5,4, , ,No Rating,Most people are easy to get along with. S&P provides great exposure to the capital markets broadly and the work is intellectually interesting and challenging.,"S&P is not a growth company and is top-heavy at the director and above levels. There have been layoffs in many areas. As a result, there are very few promotion opportunities and morale has suffered.",Invest in IT (data and workflow management). Simplify processes and methodologies. Work on improving employee morale.,Director,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW9855155.htm,Associate Director,3/9/2016,Chicago,Illinois,US,Yes,More than 3 years,Full-time,3,3,3,2,4,3,Staying the Same,Yes,No Opinion,"Lots of flexibility, somewhat interesting work",Don't reward people who excel appropriately which leads to too much mediocrity,Focus on identifying and retaining top talent,Mediocre place to work,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW9848351.htm,Ratings Analyst,3/8/2016,Dallas,Texas,US,Yes, , ,5,5,5,5,5,5, ,Yes,Approve,Good job. Good atmosphere. Great experience.,The office is due for an expansion., ,Great place to be,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW9834332.htm,Senior Research Assistant,3/7/2016,New York,New York State,US,Yes, , ,1,2,1,1,4,1,Getting Worse,No,Disapprove,"Good work life balance if you are in a well-staffed department, Decent benefits","Terrible culture; managers turn a blind eye to junior analysts being overworked and underpaid, no effort is made to encourage well-being and retention, senior management only cares about bottom line. ""Collegiate"" culture leads to uncomfortable, confrontational atmosphere where good behavior goes unnoticed and a terrible attitude gets rewarded.",Take care of your people or they will run to the next decently paying opportunity out there,Horrible Culture and People,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW9523950.htm,Consultant,2/10/2016,New York,New York State,US,No, , ,4,0,0,0,0,0, ,Yes,No Rating,Good company to work for as a consultant.,Some confusion due to downsizing., ,Consultant,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW9461815.htm,Manhager,2/4/2016,New York,New York State,US,Yes,More than 3 years, ,3,4,3,3,3,3,Getting Better,Yes,No Rating,room to grow in company,long hours and difficult to communicate to others,none,manager,NA
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Ratings-RVW9253612.htm,"Associate, Ratings",1/19/2016,New York,New York State,US,Yes, , ,5,5,4,5,4,5,Getting Better,Yes,Approve,"Great company, very good team, good managers",No Cons for me right now., ,Associate,NA
