Employer's Name,Review Date,Pros,Cons,Advice to Sr. Management,Headline
S&P Global,5/19/2014,Great people - loved the atmosphere,Division sold out - Publishing future unknown, ,Great place to work
S&P Global,5/14/2014,The company paid a good salary,Many jobs have been eliminated as a result of outsourcing, ,It was a good place to work
S&P Global,5/8/2014,Company is considerate of their employees and is always striving to better themselves.,Sometimes communication is an issue as with most corporate companies.,"Start listening more to your employees, especially staff positions such as assistants vs. management all the time.  They would learn a great deal because what most consider lower level staff positions, in my opinion, is the foundation for any successful organization.",Great company to work for with better than average benefits.
S&P Global,5/7/2014,"Highly intelligent colleagues, great brands that are excellently positioned.",The company is still figuring out what it wants to be when it grows up.  Lots of change for change's sake with lack of clear vision of what needs to be done in what order.,Pick and path and execute.  Empower the ranks to drive positive change forward and reduce bottlenecks.,Massive transformation from traditional publishing entity to financial services data provider.
S&P Global,5/2/2014,"Welcoming environment.
Not difficult to learn working material and programs used. 
Very spacious.","Not very interesting in terms of tasks and assignments.
Very little room for growth.",Allow more benefits outside and within the office for employees.,A decent start-up job to your career in Finance.
S&P Global,4/10/2014,Well established Process and Procedures,"As would be expected in a large company, there is too much bureaucracy", ,Enterprise Data Architect
S&P Global,4/4/2014,"Salary OK, depending on which business unit but you will never see a bonus. Co-workers are intelligent, creative and capable; however those that are really good at their job leave for better opportunities. Benefits are good.","While S&P maybe innovative the rest of MH Financial is not, maybe because there is little budget for new technology and innovation outside of the S&P brand. Too much movement of personnel for better opportunities somewhere else, why stay when there is no place to move up to? Two weeks vacation and that is the rule for 7 years!","Find a way to keep the capable people, let them know they are valued. Provide opportunities for employees, don't just depend on the same people and assign them to every project; invest in technology and don't continually 'make-do' and work around the old technology. Make a decision to be innovative and find the budget for it. Move into this century with a better vacation package for your employees, it provide a better work/life balance.","No place to move up and little opportunity to prove your worth, very conservative"
S&P Global,4/3/2014,"Good work life balance
Advancement opportunities
Friendly and challenging work environment","Location of some opportunities
Can be a little bureaucratic and political", ,Great company to work for.
S&P Global,4/2/2014,"Flexibility, family-friendly hours. Lack of micro-management.",Lack of management direction / vision (despite the internal communications). Easy to get lost in the corporate life., ,A good place to work for the long-haul
S&P Global,3/29/2014,The work hours are generally favorable to a family oriented employee,"Bonuses are on the low end and promotions could
be slow or nonexistent","Better communication about outlook and possible restructurings, and technology a bit behind other peer companies",Balance of life/work
S&P Global,3/29/2014,"Excellent friendly staff, very helpful managers, work is very smooth once you learn it. Good company overall. Very professional.","Outsourcing jobs to Manila, Phillapines.",Keep doing your thing.,Great Company
S&P Global,3/23/2014,"Great experience in gaining information, very laid back environment and flexible schedule . Overall cool place to work for contract position.",Not a permanent position and your usually hired through a temp agency., ,Nice place to work!
S&P Global,3/21/2014,Good pay. Collegial environment. Very smart people.,Vision not well understood by employees.,Further increase internal communication to align their work with corporate priorities.,A good place to work
S&P Global,3/19/2014,I loved everything about McGraw Hill,there were no cons about this company, ,it was great working here
S&P Global,3/17/2014,"Great people, good ideas, learning opportunities",welfare and payment is not quite satisfactory,pay more attention to employee's growth,Generally satisfied
S&P Global,3/11/2014,Friendly atmosphere nice vacation package,"Not enough career opportunites, nice 401K.", ,Satified employee
S&P Global,3/10/2014,"great team, young environment, lots of opportunities to learn from execs, interns given lots of responsilibilty in the right departments",intern program needs more conversion to full time, ,Fantastic Internship
S&P Global,3/5/2014,"Great people, great ideas
Nice location","Very corporate culture
Change can be slow", ,MHFI a good place to work
S&P Global,3/3/2014,"Provides a good package, however no pension or stock.",Expect a lot and no advancement opportunities.,Give staff an opportunity to move up.,Could be better.
S&P Global,2/24/2014,Plentiful freelance opportunities. Good communication. Diligent to keep up with latest technology. Try to make processes as easy as possible for the vendor/freelancer.,"Very little to no variability in pay based on performance or longevity for freelancers; no opportunities for receiving any benefits of any kind, including reduced prices on merchandise, complimentary copies of books; no point system or other system to grant special consideration to most loyal freelancers when they are looking for in-house work.","Put into place some system of rewards to loyal and quality freelancers. Include at least three benefits in the system and make it formal by spelling out the requirements. Freelancers need incentives to keep them keen rather than becoming complacent. Complacency will lead to a very significant loss in quality of your product.  Financial is now Education, but this review is directed toward what was in place when it was part of Financial (McGraw-Hill Companies). The fact that you never heard a freelancer voice these viewpoints before tells you that you have been ignoring this.",Solid company; reliable; but freelancers don't receive benefits such as extra consideration when applying for jobs.
S&P Global,2/19/2014,Room for growth. Help with continuing education. Management is supportive.,"Some employees have a ""pass the buck"" mind set.", ,Great company to work for and advance in.
S&P Global,2/17/2014,"Top notch areas of expertise, Many opportunities,  Resources available to grow in your career",Bureaucracy typical of a large company gets in the way.,Streamline and flatten Management,Strong Company
S&P Global,2/11/2014,The company has always been a leader in the services and products it represents,Perhaps not too much growth potential in niche jobs, ,Been with the same company for many. It has been exciting!
S&P Global,1/23/2014,People are friendly and you are close with the team you are working with. There's a lot of internal training available and you get sponsorship for professional exams,"As an intern there weren't that many fellow interns to connect with, so most people were a lot older than me. That being said, you do play a real role in the business.", ,Good opportunities for development
S&P Global,12/19/2013,"Well respected company, great people to work with.",Currently going through reorganization changes due to change in corporate structure., ,Great
S&P Global,12/15/2013,Great career oportunities; exceptional life/ work balance; competitive benefits,Bureacratic and slow in implementing change; outsourcing of back office functions has resulted in intermediate glitches and quite a frustration,Keep empowerng employees; increase transparency of all actions; enhance communication,"Having been here for over a year, I can attest that the expectations have been met and exceeded."
S&P Global,12/11/2013,Focus on innovation and growth and being a good corporate citizen.,Public company; lay-offs are common when company is falling short of meeting shareholder expectations.,Can do a better job in career development opportunities for mid-level employees. Should open mentoring opportunities to mid levels rather than only to senior managers. Also they could encourage/promote engagement between different business units as well as opportunities for lateral movement. Silo thinking prevails.,Pretty good place to to work although still a bit conservative. Company offers good benefits.
S&P Global,12/9/2013,9-5 shop with little pressure,"nothing interesting in technology,
tremendous resistance to any change
they do not know what they represent anymore with a young CTO left after staying for just 2 years.
Strong presence of one culture with corresponding values of no critical thinking and been afraid of looking outside the box.

Here is the advice to tech people:
 if you not from India and if you value your hard acquired skills - RUN!","They should balance the boat with american values that mix of cultures brings. You are not outsourced yet, so stop behaving like you are back home already.
Such should clean their ranks first of all these smiling faces with no values. Get people who have a desire to create and ideas how to do it. Not all these ""don't bark on me i won't bark on you"" personalities.
Second, figure out what do they want to do - now they are just running the wave out with nothing new in the pipe.",so-so
S&P Global,11/22/2013,"Good benefits, nice location, people are nice",Tough envirement to get things accomplished,Listen to the people you hire to do the job.,"Must be part of the ""group"""
S&P Global,11/18/2013,"Good benefits, hours, location, and good management","after Apex takeover bad benefits, bad management, terrible hours, too heavy of a work load", ,Sr Sales Representative
S&P Global,11/14/2013,There was a lot of good medical benefits . The management was very helpful.,The pay scale was not that great.,Needed more communications with the employees.,It was a very good place to work with lots of benefits .I leaned some computer skills while I was a employee there.
S&P Global,11/4/2013,Opportunities to advance career were available,Company has undergone a reorg,no comment,When I worked there
S&P Global,10/31/2013,Friendly people and pleaseant work place,downside was working as a temporay employee instead of a permanent employee, ,I learned a lot in the Human Resources Department.
S&P Global,10/3/2013,A strong culture of growth. Values quality journalism. Benefits are very good.,It's a big company and can be overly bureaucratic.,"Streamline and improve the back office functions. Real estate, IT costs, etc. are too big a burden on operating units and are not responsive enough.",A solid company with a good reputation and values.
S&P Global,9/23/2013,Just bought Frank Shaffer and did not get to know McGraw Hill as a company very well.,Did not get a chance to know the company very well., ,Manager
S&P Global,9/21/2013,"Very good work Life Balance
Good culture
Decent work & Pay
Career Growth
Good growth for the company

I am working here for last two years and very much satisfied with my job..",I didn't face anything to point out, ,S&P Capital IQ Awesome!!
S&P Global,9/20/2013,"The salary is very decent, taking into account 401K match which is 6%, cash and RSU bonus. Some new managers are very smart and hands-on. Some new engineers are very smart and motivated. The compensation is decent, but it seems everyone is getting averaged.","Others sat there for 20 years and lack basic expertise to do the work, the only reason their opinion counts is - seniority. Not enough freedom for engineers, this makes your projects sink and postpone forever. New engineers and their ideas are getting slashed by MHF management old timers for no good reasons, just because they worked for the company for too long and know their way around.",Compensate better to motivate employees to stay and fight with old timers to bring the change to company. Do better and more detailed review of old timers: there are a lot of people who have senior titles and not doing much and not knowing much - completely out of touch with technology advancements.,"Good pay and benefits, good work/life balance, not challenging enough, too corporate"
S&P Global,9/18/2013,various departments & possibility of growth,several changes over the years,Continue to communicate with empolyees,Very nice place to work
S&P Global,9/18/2013,"Great company, focused on their mission","wide spread physically, hard to feel part of larger team","Keep up the focus, you are on the right track",Loved it
S&P Global,9/14/2013,Great process for on boarding new employees and helping them to start being as productive as possible as soon as possible.  The peer mentor that you are assigned your first day on the job is very helpful.,Trying to meet people on other floors or departments it not easily done since there is no cafeteria or central place to meet other employees.,Continue the great on boarding process for all new employees and reinforce the value of the peer mentor role.,Corporate Culture
S&P Global,9/9/2013,great mobility if you are willing to work hard,risk adverse with regard to big acquistions,more transparency........reach down in the ranks more,positive experience.  it is a tier 1 org
S&P Global,9/6/2013,Flexibility to move within company,Too much red-tape in the decision making process, ,Good opportunity to learn the industry
S&P Global,9/3/2013,Good health benefits. Work life balance is very good.,"Like many companies, especially in IT your position may be outsourced.",None.,"Great beginning, bad ending."
S&P Global,8/31/2013,"The announcement of new CEO seems promising
Great employees","The company has been in a constant state of change since I arrived 4 years ago and is losing top talent to competitors 
Not so great executing or establishing strategy 
Bureaucratic, takes forever for decisions to get made","Encourage collaboration 
Develop green talent, there is a major focus on retaining top level employees when more junior employees do the grunt work",Constant Change
S&P Global,8/28/2013,An overall great place to work.,There are no downsides to this corporation, ,Working at McGraw Hill has been a wonderful experience
S&P Global,8/24/2013,"Great staff, intelligent colleague, and great benefits","Sometimes the group can be understaff, which puts a burden on the group",Keep up the good work,Great Company
S&P Global,8/12/2013,Will need to think about this more,"Hum, will need to come back to this one","Develop a career path for employees, hire qualified executives with people management expertise that manage using motivation techniques not fear tactics.",Interesting place to work
S&P Global,8/3/2013,"Work life balance, friendly work environment","Career development, so so benefit package", ,Associate
S&P Global,7/30/2013,"Reasonable hours. Everyone is courteous. mhfi is a staple, like bread.  someone's gotta do it and they have cornered the market.","Too many managers trying to fill the ESL gap.  Work is not challenging, unless you are a nitpicker, and there is a lot of that type of work which upper management is too ""busy"" to deal with.",Cut out the paperwork and old boys club networking and get your hands dirty with real work.  Find ways to minimize red tape and maintain product quality.,Nice and boring if that's what you like for lunch
S&P Global,7/29/2013,"-Good benefits but this is changing
-1220 is a nice location","-Dress code is not keeping up with the times
-Senior manager not listening to employees
-Bad management rewarded
-Changes to when 401K $ goes in...gone from next day to up to 3 weeks after it is deducted as well as T&E reimbursements taking a month ",Start caring about your greatest asset again...EMPLOYEES,Employees no longer important
S&P Global,6/23/2013,"Good company, name value, global opportunities","Strong politics, SG dominant office cuture, no integrity, less power balance","More multi-cultural environment needed, fair rewarding system, cross-checking system of managers",Good company but strong office politics
S&P Global,6/12/2013,Deep resources across the business units; strong long range vision; long-term commitment to customers and employees,Slow decision making; finance-driven thinking. Lacks strong marketing culture., ,Solid ethical company; slow to innovate
S&P Global,5/27/2013,"There are Flexible work arrangements, overall Good work environment, Internal mobility and promotions, and Cultures and values are good.",Downside is Competitive salaries versus market and Sometimes executive management is out of touch with middle management and all employees., ,Financial Analyst
S&P Global,5/24/2013,"Historically, good pay, pretty life-friendly, lots of security in its various businesses. Pension, good benefits. Individual component companies have own cultures within the corporation, some more innovative than others. Generally a conservative company, which can be good and bad today.","Slow-moving on technology. Individual businesses have distinct cultures, so it's hard to characterize corporation as a whole in many respects, but excitement and innovation historically not big qualities. Right now, a lot of uncertainty after big restructure; S&P business model still under scrutiny though MH has fended off big challenges so far. Platts strong, though it has challenges.", ,Good solid company in big transition
S&P Global,4/7/2013,"Great Benefits, supreme salaries and great holiday incentives","Long hours, need better work environment",Enhance Family Friendly work environment,Executive Director
S&P Global,4/5/2013,Was a great place to work,Outsourcing many areas instead of maintaining knowledge., ,Accountant
S&P Global,4/1/2013,"Talented people, great benefits, good products",Morale was low at times,Work to improve employee morale,Good experience
S&P Global,3/26/2013,"Benefits are good. 
Great history.
SOME Good people
Flexible - good work life balance
Advice to Senior Management – Disrupt yourself or you'll be gone in a few years anyway.","Management can be too political and not make adequate judgements on situations. 
Seems as if management has their own secret society.
Managers are better at managing their bosses than their employees. 
Very bureaucratic organization.",Kill the politics and communicate to your employees,Politics as usual
S&P Global,3/17/2013,"Strong company, good pay and benefits. Some parts of the organization are run well and there can be opportunities for advancement.",Many areas are being outsourced or off shored. Morale is low as employees are expected to support the work that will replace their jobs.  Senior management is mostly out of touch and concerned only with the bottom line.,Recognize the value of the your employees,Constant threat of outsourcing
S&P Global,3/15/2013,"Our division has a great atmosphere, great colleagues. Hard working, very rewarding.","It is no longer the same company.  Upper management attitude is ""you are with us or you are against us.""   There is no work/life balance and little respect for employees, especially those who were not hired by current upper management",Pay attention to how unhappy your current employees are and why so many are leaving.,It was a terrific company to work for.
S&P Global,3/6/2013,Benefits are good. Great history and back catalog of products.,"Sales force has entirely too much political capital for what they contribute. Executives are too afraid to kill the cash cows, so the company is dying from 1,000 paper cuts. Director-level managers are better at managing their bosses than their employees. Very bureaucratic organization.",Disrupt yourself or you'll be gone in a few years anyway.,"Great potential, but politics gets in the way"
S&P Global,3/4/2013,"Your peers
Work environment
Helping customers sometimes","Not a lot of promoting at this company they instead train you to assist in other areas, no pay raise, with extra work at a flat rate leaves little incentive to remain an employee.
Programming/Engineer support is extremely limited, you disappoint a lot of paying customers
Management
Scheduling
Training

All of the above are handled in a very unprofessional manner.",I know the company has been bought so they will purge you.,Good but not Great.
S&P Global,2/14/2013,No clue what they're doing so many folks don't do much.,Lost in the face of technological change in education.,"Sell the education division, recognizing your upper mgmt is out of its depth. Ah, you did.",They deserve to go under.
S&P Global,2/13/2013,"Great benefits, surroundings, and people. Products are moving forward to align with current and future educational needs. Talented people who like what they do. Always improving products and looking for new opportunities. Very respected company.",Being sold and doing employee cutbacks., ,Many years with the company
S&P Global,2/13/2013,"MHE provides a good benefits package for it's employees. The pension has been eliminated, but 401K match is 6%. Salaries are competitive. Work life balance is valued. MHE trains it's management and leaders. the company has recently made investments in learning partners, which is a positive sign .","MHE will be going private, so there will be no stock, so no chance for stock grants. Bonuses are limited and shouldn't be taken into account, they are far from a sure thing.", ,McGraw-Hill Education
S&P Global,1/20/2013,I have my salary on time,I have a lot of unpaid overtime, ,Regional Planner
S&P Global,1/16/2013,"McGraw Hill has high industry respect, socially responsible corporate approaches and great benefits and work/life balance options.","There is no clear employee growth track offered to employees. Many simply stay in their positions for over 5 years with no real room for promotion or growth. Although the company has won Working Mothers awards, there is very little diversity (both gender/racial)  in upper management.  Extremely slow to change business approaches.","HR Management should be challenged to pursue a clear career track initiatives for upwardly mobile employees, especially for women and people of color.",Unstable / No Clear Employee Growth Track
S&P Global,1/9/2013,McGraw-Hill is a respected company and has dedicated professionals who believe in the products and services.,A lot of transition due to outsourcing and sale of MH Education.,Your most valuable asset is your talent. Cultivate it and the business will thrive.,Good company with a strong reputation in its markets
S&P Global,1/9/2013,"Great people, flexible work arrangements, competitive benefits, decent salaries, and the ability to move into a sales position quickly if that's what you're looking for.","Only people who have been in sales can be promoted to management, so that severely limits your mobility upwards. You need to devote at least 3-5 years to sales before they will consider you for management.",Do a better job at recognizing unconventional talent,"Great company to work for, but upward mobility can be limited."
S&P Global,1/9/2013,"Large IT organization, so sufficient resources to have in-house expertise.",rapid and insufficiently planned and organized belt-tightening., ,Director IT
S&P Global,1/8/2013,Good place for gaining experience in entry level sales .position,"New leadership lacks vision and understanding and they've created a culture of distrust. They are replacing many experienced, high achieving employees.","Virtually all of senior management needs to be replaced, especially the president of McGraw-Hill Higher Education.",Once upon a time......
S&P Global,1/7/2013,"You can do very little and hide for a long time.
QuicksDraw McGraw could run a better company.","Layers, layers, layers of management that are clueless and clearly don't care..",Get a clue...,Headed in the wrong direction....down
S&P Global,1/7/2013,Security is a great benefit.,Pensions were taken away and opportunities for advancement are poor.,The grass is not always greener when considering outside hires.  Reward your loyal and productive employees with chances to advance.,Stable employer but opportunities for advancement within are meager.
S&P Global,1/4/2013,"good benefits, decent pay; but don't let the pay decieve you.   Forget any evening home life or weekend life.  I heard there were many employees who had not taken vacation in years.","sweat shop and you will have no life,  the culture is like high school.  if you are part of the in-crowd then you can do no wrong; but if not; beware.",n/a,McGraw-Hill raves about work life balance -- what a lie.
S&P Global,1/2/2013,"Hard working colleagues, long time employees, wide range of businesses","Inconsistant recognition/bonuses, favoritism, clueless upper management, no consistent work/life options",Get a better performance recognition program that has structure.  Upper management seems to only recognize their favorites and not the effort that was put into a project when handing out bonuses.  Look at the performance & skills of the shared services management.  None of them know the first thing about developing employees and they hide in their offices and are nowhere to be found.,Shared Service Employee
S&P Global,1/1/2013,good remote work opportunities and 401k 100 matching for first 6%,"overtasking to the max, miserable coworkers, 3% raises for exceptional achievers and lame discrete bonuses",staff appropriatley,i would rather work almost anywhere else
S&P Global,12/13/2012,Diverse company -- lots of lateral opportunity,A real mix of people -- lack of predictable career paths, ,A Mix....
S&P Global,11/15/2012,"Great benefits, wonderful work life balance.",Very frustrating senior leadership and org structure.,You must innovate and move faster.  Be less political.,A lot of bureaucracy
S&P Global,10/23/2012,Decent pay and benefits; considered a friendly environment for working women,"Worst kind of systemized performance reviews, very stodgy culture, no room for advancement, constant shifting of priorities","Favor substance over process, eliminate the computer-model driven reviews and quit marginalizing good workers, empower middle-management",Worked for the company 10 years but felt like the strategy direction was aimless
S&P Global,10/10/2012,Constant push for digital innovation in the sphere.,Laden with bureaucracy and red tape. Stuck in the 80's.,Need to give your UX team room to grow.,Hard to innovate. Great work/life balance.
S&P Global,9/29/2012,"competitive salary, reasonably good benefits",rampant politics. lots of bureaucracy.  poor work-life balance.  too much upper management.  little if any training or career advancement.,get a handle on the corporate politics.  get off the outsourcing/offshoring bandwagon.,not a good place to work right now
S&P Global,9/28/2012,Benefits; Flexible scheduling and Time Off; Great Pay if in the digital area,"Management is blind. If you offer ideas that are obvious to the company's success, you get pushed aside for another way, and this ""other way"" messes things up worse.
Very $$$$ driven. If it doesn't make the company money, or save it money, it gets passed over.","Listen to your PEONS. They know more than you think. WE are the ones talking to the customers, NOT YOU. You talk among yourselves about money and layoffs, we talk among each other about ways to improve processes. I just WISH I was in a position to make changes. The company would stop wasting time and money on stupid repetitive processes they pay us to do everyday, and these processes would be automated.","Started off great, but once inside, you get a real feel for how things go..."
S&P Global,9/27/2012,The work environment is good. People are nice and friendly. Sessions are organized from different segments of the company for interns to learn as much as possible and build up networks with different people. Salary is acceptable for interns.,The projects that are assigned to us are not specified in details. Sometime makes it ambiguous to understand. Otherwise everything is fine for me., ,It was rewarding experience
S&P Global,9/25/2012,"Work/Life balance
Varied opportunities
Suburban and city",Company is going through many changes right now., ,Good place to work
S&P Global,8/28/2012,Good place for mothers or parents to work.  Great benefits.,"After years of dependable employment, laid off long time full time  permanent staff. Keep lots of staff as project workers and don't promote.",Encourage staff more and recognize the efforts of all staff.,Good place for former teachers
S&P Global,8/18/2012,This is a great company to work for. The pay is excellent. You'll make more than your counterparts in the same city. Benefits are excellent. I no longer work for McGraw-Hill because this TVStation was bought out by another company and the benefits in comparison don't even come close.,The downside for working from McGraw-Hill in the broadcasting industry was that they were phasing this branch of the company out over the past several years and we felt it here. Equipment not being updated and the humdinger not being upgraded.,They were fine. No comments.,"Great company, excellent salary, exceptional benefits."
S&P Global,8/16/2012,"Decent benefits and many dedicated, hard-working employees.  Unfortunately those would be the only ""pros"".",Poor senior management and NO internal employee training or opportunity for advancement.  Tremendous amount of outsourcing and annual layoffs simply to benefit bottom line.,"Annual rounds of layoffs, declining benefits (recent elimination of company sponsored retirement plan), switching to an ineffective appraisal and goal setting process along with a corporate culture where employees are afraid to actually speak their minds - all need to be addressed.","Acceptable but Over-Rated.  No loyalty to employees - Simply ""bottom line"" focused."
S&P Global,8/14/2012,"Was able to learn a lot about the industry, was given a lot of real work as an intern","Limited in breadth of learning, I wish I was able to learn about other industries", ,Great place to learn
S&P Global,8/10/2012,"Friendly atmosphere, good work/life balance, flexible hours, good benefits, 401K","Poor management,  no advancement opportunities in recent years, positions being outsourced to handle spinoff.","Lean Six Sigma is broken, as some solutions are not implemented.",Business Shared Services analyst
S&P Global,8/7/2012,Ok benefits. Competitive industry with great potential to do good.,"Lack of professional leadership, the absolute poorest training for all levels & functions. Antiquated systems and emotion/favoritism driven management. Outwardly diverse/inwardly bigoted environment. Sweat-shop!!!  Illegal work hours vs. standard workday/work hours as required by law.  No compliance for handicap reasonable accommodation.","With so much influence in the world of finance, the S&P division of M-H is, in my opinion a disgrace. This firm should not be allowed to operate, let alone yield the power to determine the worthiness of ANY entity.","Very, very poor work experience"
S&P Global,8/2/2012,Exposure to multiple companies across the McGraw-Hill portfolio,Slow to change / adopt new methods; HR and Finance seem to have more control than in most companies.,Add metrics for 'speed' and customer perspective; establish a formal training and performance improvement organization; fill some senior exec roles from within,Very structured environment; great benefits.
S&P Global,7/17/2012,secure salary and nice people and good hours,too bureaucratic.  very political - low pay, ,moderate place to work as a young employee
S&P Global,7/16/2012,"Fairly good pay and benefits, lots of highly educated co-workers, widely recognized brands.",Little opportunity for advancement.  Its all about who you know rather that what you know.  Senior management is mostly out of touch with their markets.  New ideas are frowned upon.,Too much of a good-old boy network.  CEO needs to step down and take some of his cronies with him.  Doubtful that company will be able to succeed in an increasingly competitive global marketplace as long as it continues to rely on advice of same senior managers.,"Poor, out-of-touch management"
S&P Global,6/26/2012,A brand people have heard of,"Very conservative, very slow moving on digital",Give real P&L responsibility to executives with digital experience,Slow to change
S&P Global,6/19/2012,"strong brand recognition, great opportunities on the business side, good BU leadership, spinning of Education business will strengthen the Financial protfolio","No career track for HR or Finance, all decisions are made by 3-5 people, decision making takes years (this is being nice), All of HR does not understand what the business needs","New Corporate Leadership, commit to a pay for performance culture, walk the walk",HR needs to get a Clue (about itself)!
S&P Global,6/17/2012,"Growing subsidiaries, international, work-life balance opportunities, personable culture...","Salaries based on entry level, need to consider years of experience and certifications. Mgmt mostly promoted within, need to invest in developing leadership / professional mgmt skills.",Offer competitive salaries for experienced professionals. Invest in promoted leadership to develop mgmt skills.,McGraw-Hill Platts
S&P Global,5/23/2012,"Benefits are good. Healthcare coverage is not nearly as good as it used to be but still better than most other companies. 401K match is pretty standard but may be improving in the future. They do have a pension but it is now frozen so future employees won't benefit and current employees won't see their contributions change. Big company, definitely opportunities to be very visible if you are so inclined.","Lots of change going on now as corporation is splitting into 2 separate companies. The split has been difficult and created additional stress for employees who are already under significant stress levels. The split is not surprising in that the company is rooted in business that are stale and facing significant changes in the future (text books, advertising, financial ratings, etc.). The company has done a decent job of communicating as much as they can about the split but still, very stressful for most. 

On a day to day basis, each individual unit of the corporation is their own little company so it's hard to speak for what working at the corporation is like; I can only speak for my experience. In the Construction Group, where I work, new management is in place. Very ""rah rah"", but the reality on a day to day basis, it feels a bit like ""slave labor"" and you've never really done enough. Very high expectations, which is ok, but bordering on unreasonable at times. Instead of encouraging, senior management seems to thrive on ""humiliating"". Very few pats on the back and quite a few kicks in the butt. It's clear for most of the highest senior management in the group that work is their #1 life priority, but the reality is that for most of their employees, family is what comes first. I'll never forget hearing the CEO of the Construction Group in a town hall meeting saying ""I support the whole work/life concept, but...""; in other words, he doesn't support the work/life concept. If you're leaving at 5 pm it will definitely be noticed. You're expected to put in long hours.

I will say in the last year, all Construction employees received a nice bonus as the group achieved their financial objectives. I can't complain about this obviously but one thing that was odd was that this came as such a surprise. I would think that employees would have been encouraged as we reached the final quarter of the year that this bonus was a possibility as our goals were in reach, thereby motivating everyone to work harder. Instead, it came out of nowhere after the year was over and the communication about it just seemed lacking.","Just treat people with respect. We all want to succeed and we all are working hard. Many of us have gone from having full staffs to running entire departments by ourselves. Try and be encouraging. Encouragement doesn't come from yelling at people, talking down to people, humiliating people. Acknowledge what we are doing, if we aren't doing something you think we should then just try and understand why and what the issues are. Talk to us like adults, not children.",Reflecting back on 15 years with the company...
S&P Global,5/14/2012,"Good benefits, interesting talented colleagues","political, lack of consistent editorial standards, entrenched, siloed management",Take a hard look at favoritism dynamic.,good benefits fast paced good co-workers
S&P Global,5/1/2012,"-great benefits
-work/life balance
-good co-workers
-","-bad direct management - upper management has no idea what's going on
-no room for professional growth
-encouraged to have new ideas, only for those ideas to be never taken seriously or completely ignored
-","it doesn't take a lot to show appreciation to your staff or team members.  Appreciation does not always have to be a higher wage, but kind words, encouragements, little gifts or tokens, a nice note, etc.","Great benefits, not-so-great management"
S&P Global,4/21/2012,"Brand name, location, mission work","Senior management, politics, not people focused", ,Average
S&P Global,4/17/2012,The company was pretty supportive of trying to have a life outside of work. It was a high paced job but nothing that one could not handle.,The upper management seemed to be lacking in empathy for its' employees, ,Pretty good overall
S&P Global,4/16/2012,Great Diverse Company with a strong respecting culture,Sometimes a little beaurocratic but not a problem, ,Excellent
S&P Global,3/26/2012,Nationally recognized and competent co-workers.,constant layoffs. Not a stable place to work.,create a stable place to work,OK Place to Work
S&P Global,3/20/2012,"work-life balance
interesting colleagues
good benefits
good office locations","no career progression
weak middle management
no strategic answers to changing industry landscape", ,"Slow, good work-life balance"
S&P Global,3/10/2012,Some very smart people.  Few colleagues that were a pleasure to work with.  Great brand name around the world.  Some great companies as part of the portfolio.,Lack of leadership.  Significant amount of politics.  Virtually no diversity in leadership.,Walk the talk.,More brand than substance.
S&P Global,2/18/2012,Large corp culture with great training,Tough to move around and get promoted,Take care of your remployees,educational
S&P Global,2/17/2012,"McGraw-Hill has some excellent business units, and a few not so great units. I've been fortunate to work in one of the great units, and life has been pretty rewarding in the company as a result. The recent sale of underperforming units shows the corporation is shedding some of the deadweight, but that only started to happen when a serious activist shareholder got involved. Single best feature of mhp is its global reach. You can work anywhere the world in the business units. Of course you have to be good enough.","The corporate structure governing the business units has some real airheads working in it. It is just as well for mhp that the profitable units return great margins. But seriously, how long can we subsidize some of these folks before morale sags? If you meet a dimwit and they are on an ordinary salary, chances are 50/50 that they could work in a business unit or in the corporation. If you meet a highly paid dimwit, you know he or she is from the corporation. The corporation needs a shake-up to unleash the power of the bu's from the shackles of mediocre technology, strategy, finance and hr mandarins in corporate.","Shake up the corporate staff. They don't seem like they would make it in a world where they need to actually generate a margin. Unlike the business units, which have to work twice s hard to fund the largesse of corporate, getting little in return. Maybe force them into bu work rotations frequently.","Great experience, but you have to do it on your own steam"
S&P Global,1/17/2012,Benefits are great!  Looks good on your resume...,The construction division organization is irreparably broken by decades of poor upper management and ridiculous turnover and restructures.  Worked there for over 10 years and watched over 6 regimes of upper management take office/ shake everything up and then leave within a year.  This last regime is the worst by far.,"Just dissolve the division and sell it already, you can never fix the mistakes made by decades of terrible management.",Upper management turnover is incredible and detrimental to corp culture.
S&P Global,1/5/2012,"salary, co-workers, work environment, benefits","75% cut in sales support staff, failure to be a leader in the market",get on board with textbook rentals,The company is changing
S&P Global,12/26/2011,"Great benefits package. The management was very hands off, but then again they have no idea what you are doing whether it be leaving early or working twice as much as your coworker.","No advancement opportunities. Managers aren't ""working managers."" Pay is so sad. If you have a four year degree, you still get paid the same as the person who doesn't.",Pay attention to your employees. You let a lot of good people go for the sake of keeping those that have been there a long time picking their noses and depending on others to trouble shoot and work.,"Just a job, but keep looking"
S&P Global,12/26/2011,Very strong brand recognition. Strong financial position. Generally competent management.Strong education product lines. Solid benefits. Serves markets experiencing and or poised for global growth.,Spinoff of education unit creates uncertainty for future of that group. Changing culture not necessarily an improvement. Employment growth in education uncertain., ,It was a great place to work
S&P Global,12/20/2011,"Collaborative, good work-life balance, interesting",Slow. Too much middle management.,De-layer. Fund growth.,"Collaborative culture, dense middle management layer, slow growth"
S&P Global,12/15/2011,Location of London Office and breath of services offered,"for an International, decision making is too US centric", ,???
