"","Employer.s.Name","Review.Link","Job.Title","City.Town.Name","State.Name","Country.Name","Interview.Date","Interview.Difficulty","Interview.Length..no..of.days.","Process","Interview.Outcome","Overall.Experience","Why.Decline","Negotiation.Phase","Interview.Question.1","Interview.Question.2","Interview.Question.3","Interview.Question.4","Interview.Question.5","Employer.Response"
"121","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW2040708.htm","Database Engineer Intern","New York","New York State","US","10/11/2012","Easy",14,"Sent resume through college recuirting, and got an interview invitation on campus. First round was given 30 minutes to finish a test, and spent another 30 minutes to go through your answer with one of their employees. Second round was on-site. There were three 1:1 interviews, all technical questions about Database. Not too hard. Waited for another 3 or 4 weeks, got a call from HR telling me I didn't get the offer.","No Offer","Positive"," "," ","One weird question was about ""How to buy data""."," "," "," "," ",NA
"122","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW11309941.htm","Database Engineer I","New York","New York State","US","7/21/2016","Average",28,"The interview was help in campus. Interviewer was good and friendly. Questions were pretty basic. My experience was negative as they selected me for the final interview round to be held at S&P office but after months of follow up, they said I have been rejected (without even going through an interview). They never provided any reason explaining it.","No Offer","Negative"," "," ","Basic Database Question. Indexing, primary key, difference between all the keys, optimization"," "," "," "," ",NA
"123","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW3157967.htm","BSA Intern"," "," "," ","10/9/2013","Difficult",90,"I was recruited through an on-campus program. I met the recruit at a job, then was invited back for an on-campus interview. Then they flew me out for a superday where I had 4 back to back case interviews","No Offer","Positive"," "," ","One interview was just asking questions, I didn't need to answer anything I just had to know how to ask to right questions"," "," "," "," ",NA
"124","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW4363294.htm","Leveraged Loan Analyst","New York","New York State","US","6/7/2014","Average",1,"One phone interview. Pleasant woman although I felt the conversation was extremely formal and she wasn't particularly interested in talking about the position which I was interested in learning more about. I was told if the company was interested I'd be called in but I wasn't. I'm wondering what knocked me off in that screening call. I don't think she like my answer to ""What interests you in the position?""","No Offer","Neutral"," "," ","""What interests you in the position?"" "," "," "," "," ",NA
"125","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW21216440.htm","Tech Reporter"," "," "," ","6/26/2018","Average",NA,"I was asked for a phone screening a week after I applied online. Then I was asked to take a 1.5-hour writing test to finish a story, an M&A story based on several press releases, sell-side analyses, statistics, and media reports from mainstream media. But I was informed that my story was not good enough to move on to the next step.","No Offer","Neutral"," "," ","Tell me about your journalism experience"," "," "," "," ",NA
"126","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW8303974.htm","Research Associate, Mobile Media","Monterey","California","US","10/14/2015","Average",21,"Phone call interview with SNL's recruiter --> Phone call interview with hiring manager --> Onsite interview with four interviewers --> Writing assessment The interviews were very friendly, talked a lot about your previous experience. Be prepared for basic technical questions related to finance. Moved really fast, got timely feedback.","No Offer","Positive"," "," ","What's the difference between balance sheet and income statement?
How do you decide discount rate?"," "," "," "," ",NA
"127","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW9890386.htm","Client Development Associate-interviewed Over V Years Ago","New York","New York State","US","3/12/2016","Average",1,"-Rounds of 5 interviewers with a final presentation to the bosses in a sales environment. I interviewed with sales managers and the head of sales back then. Nothing out of the ordinary, not a difficult interview but they were looking for personality for s","Accepted Offer","Positive"," "," ","Why do you want to work here?
What do you know about our company?"," "," "," "," ",NA
"128","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW10699594.htm","Finally Research Analyst","Greenwood Village","Colorado","US","5/23/2016","Average",14,"In-depth review of cash flow, income statement, balance sheet, good will, diluted eps. With heavy emphasis on the cash flow. Included a phone interview then two group interviews. Must be able to work in a tedious environment reading large statement for majority of the day.","Accepted Offer","Negative"," "," ","Walk though each statement, explaining every item."," "," "," "," ",NA
"129","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW23510768.htm","Data Researcher I","New York","New York State","US","11/21/2018","Average",7,"The process took a week, I applied through campus 1st round was apptitute round and the sections were general awareness, comprehension, quantative apptitude, financial and technical, self intro, company awareness 2nd round was group discussion and topics were bullet train, cryptocurrency, #me too etc 3rd round was personal interview","No Offer","Neutral"," "," ","derivatives?","diff btw future and forward contracts?","cash flow and income statement?"," "," ",NA
"130","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW16148876.htm","Editorial/Analyst"," "," "," ","7/31/2017","Difficult",NA,"I have been through the entire interview process twice with SNL. On both occasions, after completing numerous interviews and lots of paperwork, I was just left hanging. Whatever happened to basic professional courtesy? This place has none. It's not like I filed off an email application and expected a response. I went through numerous phone interviews and discussions. They were very nice on the phone but just never contacting serious prospects again is insulting and amateurish. They pay scales are also abysmal. Want to go work as an ""analyst"" in Boulder for less than $60k/year? This is your place! I don't know what kind of analyst you will get for salaries that are equivalent to managing a McDonalds, but good luck with all that.","No Offer","Negative"," "," "," "," "," "," "," ",NA
"131","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW20259958.htm","Healthcare News Reporter","Charlottesville","Virginia","US","4/22/2018","Average",NA,"We had a phone interview and talked about basic qualifications of the job.There aren't many journalism jobs at where I live. She told me what do they expect from their healthcare reporter. Additionally asked me questions about my past experience as a journalist","No Offer","Positive"," "," ","The  human resource recruiter was really polite and kind. She asked me why I was interested in healthcare industry and news. "," "," "," "," ",NA
"132","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW23500520.htm","Client Services Associate Development Program"," "," "," ","11/20/2018","Easy",42,"Very Pleasant experience. Everyone was so nice and was truly looking to see if you are the right fit for the role. I went through 3 interviews and a 10 questions survey test.","Accepted Offer","Positive"," "," ","When was a time you failed (really failed) and how did you come back from that?"," "," "," "," ",NA
"133","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW24722370.htm","Associate Analyst","Boulder","Colorado","US","2/15/2019","Average",28,"Call with recruiter, followed up by call with hiring manager and then in-person interview with team - three separate conversations with multiple team members. While the initial interview process went smoothly, three separate deadlines came and went after the in-person interview without hearing any feedback, despite following up with multiple members of the process. Was really disappointed at the lack of communication after being considered a finalist and having a very cordial in-person interview. Not sure where the breakdown occurred, but I felt it was unprofessional to be left in the dark for so long.","No Offer","Negative"," "," ","Relevant questions related to previous experience and how skill set would translate to requirements of the role - describe experience working with Excel and other software programs and ability to maximize results within those.","What is your knowledge/background in analyzing energy markets? Do you have an understanding of how different utility markets function?"," "," "," ",NA
"134","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW24555634.htm","Summer","New York","New York State","US","2/5/2019","Average",1,"I interviewed at NYC office. The whole process was 2 interviews on site (they can also be conducted through skype). Both managers were very polite and interested in learning more about your background.","Accepted Offer","Positive"," "," ","What do you know about S&P?"," "," "," "," ",NA
"135","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW23954320.htm","Senior QA Engineer","Fort Worth","Texas","US","12/25/2018","Easy",5,"Applied online on the company career portal. Received an email invitation for an Initial phone screen in less than 5 days. The recruiter called as scheduled. Had a conversation for about 30 minutes. Then the recruiter asked the expected salary. I counter questioned about the range the position falls within. The recruiter told the range - I was unpleasantly surprised to find the range for a senior (mid-level) engineer. I withdrew my application without further wasting their time.","No Offer","Negative"," "," ","General initial screening questions followed by salary expectations."," "," "," "," ",NA
"136","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW23869101.htm","Risk Service","New York","New York State","US","12/17/2018","Average",30,"I applied online on Nov. 11 and got an on-site interview on Dec 11. I had interviews with two managers. There were technical as well as behavioral questions. They were really nice to me!","Accepted Offer","Positive"," "," ","They go through my resumes and asked my experiences with statistical learning. And then there were behavior questions."," "," "," "," ",NA
"137","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW4552803.htm","Associate"," "," "," ","7/10/2014"," ",NA,"Do keep in mind that the company reviews on all these sites are posted by individuals, including possibly disgruntled employees. So, use them as a tool to help gather more information about a company, but don't count on them as 100% accurate, because every employee's experience is different.","Accepted Offer"," "," "," ","Do keep in mind that the company reviews on all these sites are posted by individuals, including possibly disgruntled employees. So, use them as a tool to help gather more information about a company, but don't count on them as 100% accurate, because every employee's experience is different."," "," "," "," ",NA
"138","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW22110263.htm","Associate","Manila","Manila","Philippines","8/22/2018","Average",28,"I had three interviews: by someone from hr/ your recruiter, the hiring manager, and a manager from abroad. On the first level interview, theres a test along with the interview.","Accepted Offer","Positive"," "," ","#NAME?"," "," "," "," ",NA
"139","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW17332315.htm","Associate","London","England","UK","10/13/2017","Average",21,"The interview process was pretty good and had clear communication throughout. In my case I had one HR individual who communicated with me as I progressed through each stage which is useful rather than speaking to different people or just receiving automated emails. A few days after submitting my application I got an email for the first round interview which was just a pre-screening by HR to check your CV, KNOW your CV and be prepared to talk about it. Second step was another telephone interview with a member of the team for which I was applying for, the only off-putting thing about this call was that I could tell I was on loudspeaker as I couldn't hear the interviewer's questions very well. Then I got an email once again telling me I had progressed to the final round of interviews, which consisted of a 3 hour slot in their office in Canary Wharf although it finished after about 2 hours/2hrs30. This day consisted of 2 separate interviews, a typing test and a basic written test. Be prepared for all the basic interview questions and some more quirky ones in case. Try and enjoy it as much as you can, I think it makes a big difference. I heard two days later that I got the job.","Accepted Offer","Positive"," "," ","Tell me about a time you failed, what other roles are you looking at"," "," "," "," ",NA
"140","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW16828811.htm","Associate Director","Shanghai","Shanghai","China","9/14/2017","Easy",NA,"It's a 3 rounds interview in total, HR, line manager and head of business line respectively. The first two rounds were conducted via phone, and the last round with head of business was conducted via video call.","Accepted Offer","Positive"," "," ","All are behavior interview questions. They asked detailed questions about my former experience and my long term goal"," "," "," "," ",NA
"141","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW16381967.htm","Junior Research Analyst","Hyderabad","Telangana","India","8/16/2017","Very Easy",1,"The process was so easy. They called me directly,and scheduled my interview for next day. Interview was so easy. A half day process. A team of three offecial was there for interview. Everything was vocal questions. Before starting the interview they will clearly tell us about the company and job role. They asked me about my resume, technical knowledge, and personal questions. The smiling faces will give us confidence. And at the end of the interview they will tell you about the result of the interview,and the package. Luckily I got selected. :)","Accepted Offer","Positive"," "," ","They asked about all technical terms related to HTML CSS JavaScript,etc"," "," "," "," ",NA
"142","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW20673821.htm","Junior Research Associate","Kakinada","Andhra Pradesh","India","5/21/2018","Difficult",NA,"Written test followed by face to face technical interview 1 followed by face to face technical interview 2 followed by HR interview. FtoF 1 will be fundamental based and FtoF 2 will be advanced","Accepted Offer","Neutral"," "," ","tell me about youself"," "," "," "," ",NA
"143","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW13770063.htm","Junior Research Associate","Tirupati","Andhra Pradesh","India","2/13/2017","Difficult",2,"I was selected through campus placement. first round is written test which will is easy for the prepared one. followed by two technical rounds which they will squeez us. Indepth subject knowledge is required for clearing interview. But unfortunately this knowledge is not at all used while working in the company","Accepted Offer","Positive"," ","according to company norms, standard","more about accounting, share market, dividend and more practical questions"," "," "," "," ",NA
"144","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW13259269.htm","Junior Research Associate","Hyderabad","Telangana","India","1/10/2017","Difficult",14,"3 step process. first round is online written exam. tests your mathematical skills and knowledge in finance . then technical round depends on you performancem you have to have good english skills and they test you on knowledge on finance and wheteher you can work in the company.","Accepted Offer","Neutral"," "," ","why sould we select you"," "," "," "," ",NA
"145","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW14115648.htm","Junior Research Associate","Visakhapatnam","Andhra Pradesh","India","3/9/2017","Difficult",1,"For freshers they conduct written test,after that technical 1 and technical 2.every round is eliminating round.after that hr discussion.they qualify more candidates in written test,but in technical 1 maximum candidates will disqualify.","Accepted Offer","Positive"," ","I dont know about that,because i m fresher same package.","Majorly on finance and accounting
For ex: basics of finance and accounting,formulas,definitions."," "," "," "," ",NA
"146","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW12699488.htm","Junior Research Associate","Hyderabad","Telangana","India","11/16/2016","Difficult",NA,"Deals with full-length finance and accounts related issues, practical examples, long duration interview, 3 levels rounds, Core finance related,Must be prepared well in advance, English is minimum requirement for sometimes,","Accepted Offer","Neutral"," "," ","Ratios, Balance sheet items income statement items, cash flow related questions, Mergers and acquisitions,"," "," "," "," ",NA
"147","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW12624817.htm","Junior Research Associate","Tirupati","Andhra Pradesh","India","11/10/2016","Easy",1,"First round is Written test which consists of basic finance questions, aptitude and English. Second round is F2F there they will ask you basic questions with explanation.Final round is HR which is easy like tell about yourself etc.","Accepted Offer","Positive"," "," ","Where you will show the contingent liabilities in Balance sheet?"," "," "," "," ",NA
"148","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW12173433.htm","Junior Research Associate","Gurgaon","Haryana","India","10/3/2016","Very Easy",90,"There are three rounds First -HR Round Second- Team lead Third -Director General questions are asked in all the rounds, prepare all the terms like merger, acquisition, joint venture, Amalgamation,Business Cycle, EBITA, Consolidation,Conglomerate merger, Defensive merger, Demerger or corporate split or division, Holding company,Hostile Takeover, Friendly takeover","Accepted Offer","Negative"," "," ","Financial terms explanation, describe a time you solved a problem, all the general stuff."," "," "," "," ",NA
"149","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW11786787.htm","Junior Research Associate","Hyderabad","Telangana","India","9/3/2016","Easy",2,"Applied through my college. Online written test can be attempted from your place of comfort, which tests accounting fundamentals and english skills. Then F2F interviews. 1st round only concentrates on the basics.In 2nd round you have to answer in depth(not long).and finally HR round where you will be detailed about your offer. The interview process was smooth and easier than expected.","No Offer","Positive"," "," ","1) What is Holding Co. & Subsidiary co
2)  What is Minority Interest
3) accounting concepts... basic things ."," "," "," "," ",NA
"150","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW11924652.htm","Junior Research Associate","Hyderabad","Telangana","India","9/14/2016","Easy",30,"it takes 15 to 20 days if applied through website. Interview process involves in 3 stages 1 written test 2 technical rounds 3 HR round interview success or failure knowing is very time consuming. long time gap for results useful for freshers not for experianced ones. pressure. good environment for work.","Accepted Offer","Positive"," "," ","Introduce yourself"," "," "," "," ",NA
"151","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW9885413.htm","Junior Research Associate","Hyderabad","Telangana","India","3/11/2016","Difficult",NA,"First round - aptitude 110 minutes online test Second round - operational round basic accounting questions were asked- principles of accounting ,accrued income,depletion,capital budgeting ,share premium ,Debt- equity ratio asked me self intro plus about project too Derivatives, amalgamation ,absorption, acquisition, merger, Annual report Public and private company net assets fictitious assets","No Offer","Negative"," "," ","principles of accounting ,accrued income,depletion,capital budgeting ,share premium ,Debt- equity ratio
 asked me self intro plus about project too
Derivatives, amalgamation ,absorption, acquisition, merger,
 Annual report
 Public and private company
net assets fictitious assets"," "," "," "," ",NA
"152","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW9475707.htm","Junior Research Associate","Hyderabad","Telangana","India","2/6/2016","Average",21,"i applied in online... got through in online test.. and waitng for the date of interview in hyderabad.. 1st round is all about financial basics.. easily we can through this round..prepare the basics for 1st round and more concentrate on accounting standards and ratios for the second round","Accepted Offer","Positive"," "," ","mutual fund, gaap, and some basics"," "," "," "," ",NA
"153","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW6116853.htm","Junior Research Associate","Nagpur","Maharashtra","India","3/14/2015","Difficult",NA,"Aptitude test which include Three sections, Finance, Numerical reasoning and English knowledge HR Technical Offer Letter I am shortlisted for the HR Round. Lets see what happen tomorrow. Ill keep update you. The question that were asked was Forfeiture of Shares Debenture Capital Budgeting Return on net Worth operating Income Sales Article of Association Memorandum of Association","Accepted Offer","Positive"," "," ","Pari Passu, EPS, Depletion"," "," "," "," ",NA
"154","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW6826167.htm","Junior Research Associate","Tirupati","Andhra Pradesh","India","6/7/2015","Difficult",2,"1st round written exam: Accounts and finance English, arthimatic and reasoning 2nd round: Technical round they ask regarding the subject basic questions in accounts, finance and stock markets 3rd round : Technical round they ask depth questions regarding the subject 4th round: HR negotiations","Accepted Offer","Positive"," ","Its good company. They taken only subject worth guys","differed revenue expenditure","all types of ratios","derivatives","capital budgeting"," ",NA
"155","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW6438198.htm","Junior Research Associate","Hyderabad","Telangana","India","4/25/2015","Difficult",NA,"WRITTEN round followed by two technical rounds followed by director round followed by HR round. Director round was bit tricky because in depth analytical answers are expected but if one is through first and second technical round job, is half done.","Accepted Offer","Positive"," "," ","corporate finance topics like equity,share etc"," "," "," "," ",NA
"156","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW7937730.htm","Junior Research Associate","Hyderabad","Telangana","India","9/13/2015","Average",2,"It was 2 day process :- First day First Round was aptitude test. It contains financial aptitude question (90%).& Very basic English reasoning & maths question ( 10%). This was on the first day. Shortlisted candidates called on second day. Second Day Second Round Interview ( Finance Technical Interview) Third HR Round ( formality )","Accepted Offer","Positive"," "," ","Basic financial Questions on Capital Markets."," "," "," "," ",NA
"157","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW8311983.htm","Junior Research Associate","Hyderabad","Telangana","India","10/15/2015","Average",NA,"2 rounds of interview ,questions about college project and real time situations(to judge decision making), Financial knowledge, updates about economy and markets. overall personality check. First round was about details related to my education and the choice of career and how I can contribute. Second was totally technical.","Accepted Offer","Positive"," "," ","why I want to join the company"," "," "," "," ",NA
"158","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW4777017.htm","Junior Research Associate"," "," "," ","8/14/2014","Difficult",90,"Rounds of interview 1.Written test 2.Technical round 3.Technical round Written test was easy 40 questions of finance and others were general aptitude questions.In Technical round they asked about holding company,subsidiary company,capital budgeting,net present value,internal rate of return and deep finance questions.","No Offer","Neutral"," "," ","all core finance questions."," "," "," "," ",NA
"159","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW4131238.htm","Junior Research Associate","Bhubaneswar","Dhaka","Bangladesh","4/28/2014","Easy",2,"easy written test, interview is technical - must have accounting ,financial mgt. and financial market knowledge","Declined Offer","Positive","less salary"," "," "," "," "," "," ",NA
"160","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW3510632.htm","Junior Research Associate","Hyderabad","Telangana","India","1/9/2014","Very Easy",7,"I gone through the written test and written test was as easy as simple test with forty questions in finance and ten questions in aptitude and ten questions in English and time given for me is one hour and i finished the test within half an hour.","Declined Offer","Negative"," "," ","Easy"," "," "," "," ",NA
"161","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW3510437.htm","Junior Research Associate"," "," "," ","1/9/2014","Average",NA,"Started with a basic aptitude test, a small personal interview one on one..basic questions.Next round was another test with questions on financial knowledge, gk , case studies. then few more rounds of interviews.","No Offer","Positive"," "," ","nothing as such"," "," "," "," ",NA
"162","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW2864977.htm","Junior Research Associate","Gurgaon","Haryana","India","7/27/2013","Average",2,"It was my first job right out of college so the questions were generally on the subjects covered, why Capital IQ, explained the profile, career goals, how would you travel to office since I lived in Delhi, family background, walk me through resume. I had 2-3 rounds and then at the end of the day I was offered the job. We were 7-8 of us from our college who interviewed on teh same day. Most got selected","Accepted Offer","Positive"," "," ","Nothing really difficult. Primarily grilled on internship experience and college experiences as it was my first job.."," "," "," "," ",NA
"163","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW2761271.htm","Junior Research Associate","Gurgaon","Haryana","India","6/23/2013","Average",7,"Aptitude test followed by HR Interview and final two round of interview with manager and director.","No Offer"," "," "," ","Interview was easy"," "," "," "," ",NA
"164","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW3102750.htm","Junior Research Associate","Gurgaon","Haryana","India","9/26/2013","Very Difficult",7,"5 ROUNDS :1st is 30 min aptitude which has english ,maths and reasoning questions. 2nd is HR round where u are being asked simple financial definition to see ur knowledge and comm skills,i was being asked the difference between bonds and debentures,and the reason for currency depriciation. 3rd round is technical writing round for 90mins: has general awarenees+finance question bussiness description,and hard core reasoning. 4th is technical interview round : where a lot of grilling is done on financial terms,curent awareness and resume. 5th is director round :just a formality","No Offer"," "," "," ","Some questions in reasoning "," "," "," "," ",NA
"165","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW5077954.htm","Software Engineer","Mumbai","Maharashtra","India","10/1/2014","Average",1,"Applied through campus placements. There were supposed to be 5 rounds. First Aptitude then Technical Aptitude and then 3 interviews. But in my case there was only one interview. The whole process got over in an hour. The first aptitude had a few questions on quantitative aptitude and logical reasoning; a section on programming related MCQs and another on database related questions. It seems quite difficult but surprisingly got through. The second test had 2 sections One programming related where we could answer using logic/pseudo code/actual code/algorithm and another with database queries. Even this was difficult. Infact the Interview was pretty chilled out. General Questions based on Linked lists, queries, indexers, trees,etc. they were more interested in the approach rather than actual knowledge. In all a pretty good experience","Accepted Offer","Positive"," "," ","Program to print a tree in zigzag format"," "," "," "," ",NA
"166","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW5353525.htm","Software Engineer"," "," "," ","11/10/2014","Easy",1,"The placement process had 4 rounds. 1st one was the aptitude round which had questions from verbal and quant. Next was a written technical test. Then there was a technical interview followed by a telephonic interview.","Accepted Offer","Positive"," "," ","How to parse a mathematical expression."," "," "," "," ",NA
"167","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW4039859.htm","Software Engineer","Hyderabad","Telangana","India","4/10/2014","Average",1,"3 Rounds of Interview: 2 Technical & 1 HR.. First round comprised of resume based questions and couple of small algorithm based ones.. Second round was completely on Algorithms","Accepted Offer","Positive"," "," "," "," "," "," "," ",NA
"168","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW3168866.htm","Software Engineer","Gurgaon","Haryana","India","10/11/2013","Difficult",1,"3 ROUNDS :1st is written round comprising of apti,SQL,programming questions,2 code were to be written. 2nd is Technical Interview:1 code was asked,quite grilled on DBMS,OS,OOPS,JAVA. 3rd is Tech+HR interview:concepts from java ,DBMS were asked extensively and HR ques like ""where do u see urself after 5 yrs"" were there.","Accepted Offer","Positive"," "," ","how do you merge N files into a single file ?what approach is to be followed?"," "," "," "," ",NA
"169","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW3043287.htm","Software Engineer","Gurgaon","Haryana","India","9/12/2013","Average",2,"One Written( 90 Min- 20 Apti- 20 C and DS- 20 DMBS Queries) MCQs and Subjective + 3 Technical Intervies mailny focusing on DBMS + one HR round","No Offer","Positive"," "," "," "," "," "," "," ",NA
"170","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW3381831.htm","Software Engineer","Hyderabad","Telangana","India","12/3/2013","Average",1,"S&P Capital IQ typically hires from campuses. First round consists of a written test that test analytical, programming abilities and database knowledge. Database is the heart of the work here and hands-on knowledge is highly valued. Questions will be asked on Relevant work from the resume","Accepted Offer","Positive"," ","Through campus. No negotiation","How your term project will help in our business "," "," "," "," ",NA
"171","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW3446202.htm","Software Engineer","Gurgaon","Haryana","India","12/21/2013","Difficult",30,"Hiring Process: I got a call from Talent Acquisition Team. They give me an overview about the company & about my role & responsibilities Interview Process: It took around 5-6 weeks & I gone through 5 technical interviews , 4 telephonic & 1 was face to face. Telephonic round covers your basic Knowledge on your domain.Mine was for a Data Scientist,so they asked about Data Models & Extraction Techniques.Make sure to go through SQL. Most questions were from my domain. Face to Face was the most interesting & challenging one.They gave me a Complex Problem & asked me to design a Proof of Concept(POC) on it. It was a good healthy discussion on various real World Problems of Data Mining.The entire discussion was around an hour.","Accepted Offer","Positive"," ","S&P is a good brand in terms of pay-scale.Usually you don't have the need to negotiate.They pay you what you ask..but not all in hand...get ready for some bonus stuff too...:)","How would you implement Business Sense Identification in a Financial Document"," "," "," "," ",NA
"172","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW713581.htm","Software Engineer"," "," "," ","11/13/2010","Average",49,"I dropped in my resume at my University's Career Fair in the morning and they called me the same evening. Interview was on campus the next day. There was a written round for 30 minutes followed by a 1:1 interview for about 15 minutes with a Capital IQ Software developer.","No Offer","Neutral"," "," ","How to reverse a linked list?","How to find the number of set bits in a byte?"," "," "," ",NA
"173","S&P Global Market Intelligence","http://www.glassdoor.co.in/Interview/S-and-P-Global-Market-Intelligence-Interview-RVW1186011.htm","Software Engineer"," "," "," ","11/4/2011","Average",1,"I hand in my resume at university career fair. After a month, I was notified by career center that I was selected to attend on campus interview. It's one hour 1-1 interview. I was told to take a paper test first which has 5 coding question including algorithm, database design, class design. The guy interviewed me is a software engineer. He went through my answers with me, and then asked some questions on my resume. I skewed it because I wasn't able to answer the question on algorithm.","No Offer","Negative"," "," ","count the set bits of a byte.","reverse a list"," "," "," ",NA
