,Pros,answer_re,answer_re_oth,answer_re_n
206,good place to work for flexibility and freshers,good place to work for flexibility and freshers,good place to work for flexibility and freshers,"work, place"
207,"Interesting work, high quality corporate environment","Interesting work, high quality corporate environment",interesting work high quality corporate environment,environment
208,-Good access to c-suite executives at covered industries/companies -Decent work life balance -Front office for a credit position -Work can be interesting,-Good access to c-suite executives at covered industries/companies -Decent work life balance -Front office for a credit position -Work can be interesting, good access to c suite executives at covered industries companies decent work life balance front office for a credit position work can be interesting,"work, balance"
209,"Grosse société, beaucoup d'outils, de process. Tout est structuré. Les salaries sont bien suivis et evolution possible très rapidement Environnement international.","Grosse société, beaucoup d'outils, de process. Tout est structuré. Les salaries sont bien suivis et evolution possible très rapidement Environnement international.",grosse société beaucoup d outils de process tout est structuré les salaries sont bien suivis et evolution possible très rapidement environnement international ,
210,"Fast-paced, dedicated team, smart people","Fast-paced, dedicated team, smart people",fast paced dedicated team smart people,"smart, people"
211,"Smart hard-working people, dynamic atmosphere.","Smart hard-working people, dynamic atmosphere.",smart hard working people dynamic atmosphere ,
212,- Lots of opportunities - Salaries are very competitive - Motivated people - Good working atmosphere - Surprisingly working www program,- Lots of opportunities - Salaries are very competitive - Motivated people - Good working atmosphere - Surprisingly working www program, lots of opportunities salaries are very competitive motivated people good working atmosphere surprisingly working www program,"people, working"
213,A lot of opportunities for growth. A very professional environment (with very few exceptions),A lot of opportunities for growth. A very professional environment (with very few exceptions),a lot of opportunities for growth a very professional environment with very few exceptions ,environment
214,-Global Company with endless opportunities to grow and develop throughout your career -Smart people with passion for the work they do -,-Global Company with endless opportunities to grow and develop throughout your career -Smart people with passion for the work they do -, global company with endless opportunities to grow and develop throughout your career smart people with passion for the work they do ,"work, people"
215,Great benefits and learning opportunity,Great benefits and learning opportunity,great benefits and learning opportunity,benefits
216,"It's very comfortable working with S&P Global, all because of the cool & supporting team. I enjoy my work at the company and it has extra perks like a free fruit a day with occasional Pizza's for lunch, who doesn't love a pizza?","It's very comfortable working with S&P Global, all because of the cool & supporting team. I enjoy my work at the company and it has extra perks like a free fruit a day with occasional Pizza's for lunch, who doesn't love a pizza?",it s very comfortable working with s p global all because of the cool supporting team i enjoy my work at the company and it has extra perks like a free fruit a day with occasional pizza s for lunch who doesn t love a pizza ,"work, free, company, working"
217,Good Salary & benefits No fresher gets these benefits in any other company,Good Salary & benefits No fresher gets these benefits in any other company,good salary benefits no fresher gets these benefits in any other company,"benefits, company"
218,"Es una empresa preocupada por el bienestar de cada uno de sus trabajadores, ofrece mucha flexibilidad y tienes la oportunidad de viajar y conocer a muchos participantes del mercado.","Es una empresa preocupada por el bienestar de cada uno de sus trabajadores, ofrece mucha flexibilidad y tienes la oportunidad de viajar y conocer a muchos participantes del mercado.",es una empresa preocupada por el bienestar de cada uno de sus trabajadores ofrece mucha flexibilidad y tienes la oportunidad de viajar y conocer a muchos participantes del mercado ,
219,"The company takes care of its employees so many stay a long time. Good work life balance, decent salary, good benefits.","The company takes care of its employees so many stay a long time. Good work life balance, decent salary, good benefits.",the company takes care of its employees so many stay a long time good work life balance decent salary good benefits ,"work, company"
220,"Roles advertised looked very interesting, but were they really available? Easy to apply online, but do applications fall into a black hole?","Roles advertised looked very interesting, but were they really available? Easy to apply online, but do applications fall into a black hole?",roles advertised looked very interesting but were they really available easy to apply online but do applications fall into a black hole ,
221,Good balance of work and life,Good balance of work and life,good balance of work and life,"work, balance"
222,Nothing to mention much. They have to improve a lot.,Nothing to mention much. They have to improve a lot.,nothing to mention much they have to improve a lot ,
223,Work life balance and Talented employees,Work life balance and Talented employees,work life balance and talented employees,balance
224,Unrivalled life-work balance policies and benefits.,Unrivalled life-work balance policies and benefits.,unrivalled life work balance policies and benefits ,balance
225,Great place to work in north jersey,Great place to work in north jersey,great place to work in north jersey,"work, place"
226,to be setteled for life time,to be setteled for life time,to be setteled for life time,
227,The company supplements gym membership which I have been enjoying and provides medical insurance. Monthly Town Hall meetings ensure every employee is up-to-date with company news. There are many internal job openings which one can apply to internally whilst interning here.,The company supplements gym membership which I have been enjoying and provides medical insurance. Monthly Town Hall meetings ensure every employee is up-to-date with company news. There are many internal job openings which one can apply to internally whilst interning here.,the company supplements gym membership which i have been enjoying and provides medical insurance monthly town hall meetings ensure every employee is up to date with company news there are many internal job openings which one can apply to internally whilst interning here ,company
228,Involve people at all levels People - centric Significant contribution to the community,Involve people at all levels People - centric Significant contribution to the community,involve people at all levels people centric significant contribution to the community,people
229,Great Training Opportunities. Interesting work and plenty of it.,Great Training Opportunities. Interesting work and plenty of it.,great training opportunities interesting work and plenty of it ,work
230,For the fresher's this is good company to package.,For the fresher's this is good company to package.,for the fresher s this is good company to package ,company
231,"30/hr plus overtime, great work-life balance","/hr plus overtime, great work-life balance", hr plus overtime great work life balance,"balance, great"
232,Great company to work for with plenty of promotion potential,Great company to work for with plenty of promotion potential,great company to work for with plenty of promotion potential,"work, company"
233,If you are analytical and introverted person who likes to get on with his work and not collaborate of need to socialise then it's definitely an option.,If you are analytical and introverted person who likes to get on with his work and not collaborate of need to socialise then it's definitely an option.,if you are analytical and introverted person who likes to get on with his work and not collaborate of need to socialise then it s definitely an option ,work
234,No pros. office location is good,No pros. office location is good,no pros office location is good,
235,Good work/life balance and opportunities to work remotely Competitive salary Opportunities to travel and train,Good work/life balance and opportunities to work remotely Competitive salary Opportunities to travel and train,good work life balance and opportunities to work remotely competitive salary opportunities to travel and train,"work, salary, balance"
236,Operations and research teams are super open to help and to share knowledge with the analysts. Communications and interactions with other teams outside operations are efficient and make your overall work experience more enriching. Exposure in the financial industry is also a perk.,Operations and research teams are super open to help and to share knowledge with the analysts. Communications and interactions with other teams outside operations are efficient and make your overall work experience more enriching. Exposure in the financial industry is also a perk.,operations and research teams are super open to help and to share knowledge with the analysts communications and interactions with other teams outside operations are efficient and make your overall work experience more enriching exposure in the financial industry is also a perk ,work
237,"good pay and benefits, collegial culture, business psuedo-oligopoly, revenue forgives all ills","good pay and benefits, collegial culture, business psuedo-oligopoly, revenue forgives all ills",good pay and benefits collegial culture business psuedo oligopoly revenue forgives all ills,pay
238,"Predictable hours, great team, reasonable work load","Predictable hours, great team, reasonable work load",predictable hours great team reasonable work load,"work, great"
239,"Fantastic experience learning the fundamentals of credit analysis Brand Name company to have on a resume Ability to have real impact on debt capital markets Get to meet wit issuers of all kinds of institutions (corporations, governments, etc)","Fantastic experience learning the fundamentals of credit analysis Brand Name company to have on a resume Ability to have real impact on debt capital markets Get to meet wit issuers of all kinds of institutions (corporations, governments, etc)",fantastic experience learning the fundamentals of credit analysis brand name company to have on a resume ability to have real impact on debt capital markets get to meet wit issuers of all kinds of institutions corporations governments etc ,company
240,Very good and supportive work culture. Management is very supportive.,Very good and supportive work culture. Management is very supportive.,very good and supportive work culture management is very supportive ,work
241,Great people and managers. Great pay and benfits,Great people and managers. Great pay and benfits,great people and managers great pay and benfits,"pay, people"
242,"MNC work expouser, work with global platform","MNC work expouser, work with global platform",mnc work expouser work with global platform,work
243,Never a dull moment. A lot of great people to work with.,Never a dull moment. A lot of great people to work with.,never a dull moment a lot of great people to work with ,"great, work, people"
244,- company culture - leadership guidelines - multicultural - vast amount of data - great opportunities within the company,- company culture - leadership guidelines - multicultural - vast amount of data - great opportunities within the company, company culture leadership guidelines multicultural vast amount of data great opportunities within the company,"great, culture, company"
245,Exciting to be part of a major player in the global capital markets.,Exciting to be part of a major player in the global capital markets.,exciting to be part of a major player in the global capital markets ,
246,Excellent environment to work in. Big branding,Excellent environment to work in. Big branding,excellent environment to work in big branding,"work, environment"
247,Excellent environment and employees care is at priority.,Excellent environment and employees care is at priority.,excellent environment and employees care is at priority ,environment
248,"Flexibility, work-life balance and work culture","Flexibility, work-life balance and work culture",flexibility work life balance and work culture,"culture, work, balance"
249,Good brand to work with. You get voice to share opinions and ideas.,Good brand to work with. You get voice to share opinions and ideas.,good brand to work with you get voice to share opinions and ideas ,work
250,"Great people, good work-life balance","Great people, good work-life balance",great people good work life balance,balance
251,International office environment Comfortable working space Several benefits on top of monthly pay,International office environment Comfortable working space Several benefits on top of monthly pay,international office environment comfortable working space several benefits on top of monthly pay,"environment, pay, benefits, working"
252,- The assets within S&P Global are market leading and this justifies its premium market positioning - Successfully launched new brand with leverages the 150 year history and moves the company away from publishing - Good teams can lead to innovative so,- The assets within S&P Global are market leading and this justifies its premium market positioning - Successfully launched new brand with leverages the year history and moves the company away from publishing - Good teams can lead to innovative so, the assets within s p global are market leading and this justifies its premium market positioning successfully launched new brand with leverages the year history and moves the company away from publishing good teams can lead to innovative so,company
253,Top people to work with,Top people to work with,top people to work with,"work, people"
254,"work life balance , good people","work life balance , good people",work life balance good people,"work, balance, people"
255,good and friendly atmosphere and good facility for employees,good and friendly atmosphere and good facility for employees,good and friendly atmosphere and good facility for employees,friendly
256,"Buen sueldo, buenas prestaciones, buenos horarios de trabajo, tiene comedor y estacionamiento. Hay oportunidades de crecimiento, es fácil moverse entre áreas o moverse a otras oficinas.","Buen sueldo, buenas prestaciones, buenos horarios de trabajo, tiene comedor y estacionamiento. Hay oportunidades de crecimiento, es fácil moverse entre áreas o moverse a otras oficinas.",buen sueldo buenas prestaciones buenos horarios de trabajo tiene comedor y estacionamiento hay oportunidades de crecimiento es fácil moverse entre áreas o moverse a otras oficinas ,
257,good work life balace. Agile team,good work life balace. Agile team,good work life balace agile team,work
258,"Ambiente dentro de todo cómodo. Con horarios flexibles. No tengo que tratar con clientes. Y existe el home office ,...........................","Ambiente dentro de todo cómodo. Con horarios flexibles. No tengo que tratar con clientes. Y existe el home office ,...........................",ambiente dentro de todo cómodo con horarios flexibles no tengo que tratar con clientes y existe el home office ,home
259,"Empresa muito estável (dificilmente há algum desligamento), boa infraestrutura, localização e os salários poderiam ser melhores, por ser uma empresa tão enxuta.","Empresa muito estável (dificilmente há algum desligamento), boa infraestrutura, localização e os salários poderiam ser melhores, por ser uma empresa tão enxuta.",empresa muito estável dificilmente há algum desligamento boa infraestrutura localização e os salários poderiam ser melhores por ser uma empresa tão enxuta ,
260,Interesting job profile High learning and professional opportunities Lots of travelling Fellow team members,Interesting job profile High learning and professional opportunities Lots of travelling Fellow team members,interesting job profile high learning and professional opportunities lots of travelling fellow team members,
261,Employee can maintain personal and professional balance.,Employee can maintain personal and professional balance.,employee can maintain personal and professional balance ,
262,Passionate leadership team Pay for Performance culture,Passionate leadership team Pay for Performance culture,passionate leadership team pay for performance culture,culture
263,"Professional, global, well resourced company","Professional, global, well resourced company",professional global well resourced company,company
264,Simple job. Great placeholder to find other employment.,Simple job. Great placeholder to find other employment.,simple job great placeholder to find other employment ,
265,Knowledge Based work Handsome salary Work friendly environment,Knowledge Based work Handsome salary Work friendly environment,knowledge based work handsome salary work friendly environment,"work, salary, friendly, environment"
266,"Good Work, culture, management is understanding.","Good Work, culture, management is understanding.",good work culture management is understanding ,management
267,- Good work-life balance - Decent benefits - Fairly interesting work,- Good work-life balance - Decent benefits - Fairly interesting work, good work life balance decent benefits fairly interesting work,"work, balance, benefits"
268,Great company with friendly people. Trying to recruit more veterans.,Great company with friendly people. Trying to recruit more veterans.,great company with friendly people trying to recruit more veterans ,"friendly, company"
269,"Good benefits, PTO, pay is okay, but the people who do the most work and add value to the company do not get compensated enough","Good benefits, PTO, pay is okay, but the people who do the most work and add value to the company do not get compensated enough",good benefits pto pay is okay but the people who do the most work and add value to the company do not get compensated enough,"company, work, pay, people"
270,Good Work Life Balance. Decent Pay.,Good Work Life Balance. Decent Pay.,good work life balance decent pay ,
271,Great work life balance and opportunities to be made,Great work life balance and opportunities to be made,great work life balance and opportunities to be made,"work, balance"
272,"flat, open and collaborative culture lots of learning opportunities","flat, open and collaborative culture lots of learning opportunities",flat open and collaborative culture lots of learning opportunities,culture
273,work environment is comfortable and people are very helpful,work environment is comfortable and people are very helpful,work environment is comfortable and people are very helpful,"work, environment, people"
274,Good HR policy Work life balance,Good HR policy Work life balance,good hr policy work life balance,balance
275,Great competitive place to work. Great talent and location.,Great competitive place to work. Great talent and location.,great competitive place to work great talent and location ,place
276,Large company lots of room to grow and advance.,Large company lots of room to grow and advance.,large company lots of room to grow and advance ,company
277,My immediate manager and peers were great. Team players - always willing to help.,My immediate manager and peers were great. Team players - always willing to help.,my immediate manager and peers were great team players always willing to help ,
278,They have a strong brand,They have a strong brand,they have a strong brand,
279,Work-life balance is OK. that's about it...,Work-life balance is OK. that's about it...,work life balance is ok that s about it ,balance
280,Pay\benefits. Incompetent managers allow tons of chill time. Good place to watch kitty videos all day.,Pay\benefits. Incompetent managers allow tons of chill time. Good place to watch kitty videos all day.,pay benefits incompetent managers allow tons of chill time good place to watch kitty videos all day ,place
281,Good work life balance Multicultural experience,Good work life balance Multicultural experience,good work life balance multicultural experience,"work, balance"
282,Helpful seniors Friendly environment Open door culture,Helpful seniors Friendly environment Open door culture,helpful seniors friendly environment open door culture,"culture, environment"
283,Optimistic about the future of the company,Optimistic about the future of the company,optimistic about the future of the company,company
284,"Money and bennies, that's it. HR sucks, the help desk sucks, the all-brand-new CxOs and all their teams suck...","Money and bennies, that's it. HR sucks, the help desk sucks, the all-brand-new CxOs and all their teams suck...",money and bennies that s it hr sucks the help desk sucks the all brand new cxos and all their teams suck ,
285,Good atmosphere in sites outside of New York HQ (I have no experience there),Good atmosphere in sites outside of New York HQ (I have no experience there),good atmosphere in sites outside of new york hq i have no experience there ,
286,La empresa está comprometida con el bienestar de sus empleados. Es un gran para trabajar pues el ambiente amigable e incluyente te mantiene motivado,La empresa está comprometida con el bienestar de sus empleados. Es un gran para trabajar pues el ambiente amigable e incluyente te mantiene motivado,la empresa está comprometida con el bienestar de sus empleados es un gran para trabajar pues el ambiente amigable e incluyente te mantiene motivado,
287,"Good culture and helpful seniors, subsidized food, no dress code, open door system, good environment","Good culture and helpful seniors, subsidized food, no dress code, open door system, good environment",good culture and helpful seniors subsidized food no dress code open door system good environment,"culture, environment"
288,- Business is very profitable. - Good brand. - Salaries are competitive if not better than average. - It was a nice place to work.,- Business is very profitable. - Good brand. - Salaries are competitive if not better than average. - It was a nice place to work., business is very profitable good brand salaries are competitive if not better than average it was a nice place to work ,place
289,Great work environment and culture.,Great work environment and culture.,great work environment and culture ,"work, environment"
290,"Nice people, no micro-management, stable lunch time. Social and networking events.","Nice people, no micro-management, stable lunch time. Social and networking events.",nice people no micro management stable lunch time social and networking events ,
291,Nice Location to Work in the City Good Business Finance doing well Today Plenty Around to Do,Nice Location to Work in the City Good Business Finance doing well Today Plenty Around to Do,nice location to work in the city good business finance doing well today plenty around to do,
292,"My experience with direct managers has been that they are there to help, and want, each person to succeed. A company that is the bench-mark for analytical data. This fact makes the difficult job of selling a bit easier. Good benefits and fair pay. Very good work-life balance.","My experience with direct managers has been that they are there to help, and want, each person to succeed. A company that is the bench-mark for analytical data. This fact makes the difficult job of selling a bit easier. Good benefits and fair pay. Very good work-life balance.",my experience with direct managers has been that they are there to help and want each person to succeed a company that is the bench mark for analytical data this fact makes the difficult job of selling a bit easier good benefits and fair pay very good work life balance ,"company, benefits"
293,Not a big firm; everyone knows every one.,Not a big firm; everyone knows every one.,not a big firm everyone knows every one ,
294,Not a high pressure environment,Not a high pressure environment,not a high pressure environment,"environment, pressure"
295,"Well established, well run, well capitalized, global firm. There are a lot of quality of life / quality of work benefits associated with working for a firm that has been doing this for a long time.","Well established, well run, well capitalized, global firm. There are a lot of quality of life / quality of work benefits associated with working for a firm that has been doing this for a long time.",well established well run well capitalized global firm there are a lot of quality of life quality of work benefits associated with working for a firm that has been doing this for a long time ,"work, benefits, working"
296,"Use to be a good company, Decent peers although the number is dwindling by the hour. Casual to a fault atmosphere. Flexible work locations.","Use to be a good company, Decent peers although the number is dwindling by the hour. Casual to a fault atmosphere. Flexible work locations.",use to be a good company decent peers although the number is dwindling by the hour casual to a fault atmosphere flexible work locations ,work
297,Great Benefits. Good Pay. Great people,Great Benefits. Good Pay. Great people,great benefits good pay great people,people
298,"Good, competitive salary for an internship in London.","Good, competitive salary for an internship in London.",good competitive salary for an internship in london ,salary
299,Nothing special..boring environment. No scope for development,Nothing special..boring environment. No scope for development,nothing special boring environment no scope for development,
300,Outstanding benefits and employee perks!,Outstanding benefits and employee perks!,outstanding benefits and employee perks ,benefits
301,"Work life balance Nice management,","Work life balance Nice management,",work life balance nice management ,balance
302,S&P Global has great respect for the administrative community. They offer an excellent benefits package as well as competitive compensation.,S&P Global has great respect for the administrative community. They offer an excellent benefits package as well as competitive compensation.,s p global has great respect for the administrative community they offer an excellent benefits package as well as competitive compensation ,"great, benefits"
303,"Good pay, flexible hours, good people","Good pay, flexible hours, good people",good pay flexible hours good people,"flexible, people"
304,"Good hours, solid work life balance","Good hours, solid work life balance",good hours solid work life balance,"work, balance"
305,Good environment to work.,Good environment to work.,good environment to work ,environment
306,"Diverse work population, learn a lot","Diverse work population, learn a lot",diverse work population learn a lot,work
307,"Excelente ambiente de trabalho, muitos dispostos a ensinar e sem aquela pressão típica de mercado financeiro. Ótimo para se ter uma ideia de setores diferentes (bom know-how para um início de carreira)","Excelente ambiente de trabalho, muitos dispostos a ensinar e sem aquela pressão típica de mercado financeiro. Ótimo para se ter uma ideia de setores diferentes (bom know-how para um início de carreira)",excelente ambiente de trabalho muitos dispostos a ensinar e sem aquela pressão típica de mercado financeiro ótimo para se ter uma ideia de setores diferentes bom know how para um início de carreira ,
308,Best Salary the best package in the financial industry,Best Salary the best package in the financial industry,best salary the best package in the financial industry,
309,Employees are well compensated and offers good benefits package,Employees are well compensated and offers good benefits package,employees are well compensated and offers good benefits package,benefits
310,Good for all the employees,Good for all the employees,good for all the employees,
311,"Work was always appreciated, recognized and rewarded","Work was always appreciated, recognized and rewarded",work was always appreciated recognized and rewarded,
312,"Colleagues, eager to change Sr Management, globally recognized brand, benefits, focus on core values of honesty and transparency. Excellent 401 k plan and well managed by Retirement Investment Committee","Colleagues, eager to change Sr Management, globally recognized brand, benefits, focus on core values of honesty and transparency. Excellent k plan and well managed by Retirement Investment Committee",colleagues eager to change sr management globally recognized brand benefits focus on core values of honesty and transparency excellent k plan and well managed by retirement investment committee,
313,"Great environment, exposure to unique businesses in the group. Organization invests in technology to enhance processes (HR processes) and streamline annual activities that used to be paper-based and hard to track.","Great environment, exposure to unique businesses in the group. Organization invests in technology to enhance processes (HR processes) and streamline annual activities that used to be paper-based and hard to track.",great environment exposure to unique businesses in the group organization invests in technology to enhance processes hr processes and streamline annual activities that used to be paper based and hard to track ,
314,"Good work culture, Nice environment to work. Work hours are good.","Good work culture, Nice environment to work. Work hours are good.",good work culture nice environment to work work hours are good ,"work, environment, hours"
315,good life work balance can be amazing if you have the right manager. opportunity to learn,good life work balance can be amazing if you have the right manager. opportunity to learn,good life work balance can be amazing if you have the right manager opportunity to learn,"work, balance"
316,"great benefits including fitness reimbursement, live healthier cash rewards, company match charitable contributions","great benefits including fitness reimbursement, live healthier cash rewards, company match charitable contributions",great benefits including fitness reimbursement live healthier cash rewards company match charitable contributions,"great, benefits, company"
317,"Great company benefits, focused on creating a positive work-life balance experience for all. Collaborative work environment with opportunities to expand into other areas of a large company.","Great company benefits, focused on creating a positive work-life balance experience for all. Collaborative work environment with opportunities to expand into other areas of a large company.",great company benefits focused on creating a positive work life balance experience for all collaborative work environment with opportunities to expand into other areas of a large company ,"environment, work, balance, company"
318,"Good people, professional & hard working. good working conditions and interesting work.","Good people, professional & hard working. good working conditions and interesting work.",good people professional hard working good working conditions and interesting work ,working
319,Good People oriented work atmosphere,Good People oriented work atmosphere,good people oriented work atmosphere,work
320,Great work life balance,Great work life balance,great work life balance,"work, balance"
321,"Great professional environment working with intelligent and down to earth individuals. Physical workspace is amazing with alot of effort towards ensuring worklife balance. Based on my personal experiences, I was recognised and rewarded with career progression and opportunities, but likely due to my manager and my VP.","Great professional environment working with intelligent and down to earth individuals. Physical workspace is amazing with alot of effort towards ensuring worklife balance. Based on my personal experiences, I was recognised and rewarded with career progression and opportunities, but likely due to my manager and my VP.",great professional environment working with intelligent and down to earth individuals physical workspace is amazing with alot of effort towards ensuring worklife balance based on my personal experiences i was recognised and rewarded with career progression and opportunities but likely due to my manager and my vp ,"environment, working"
322,companies offer a good benefits package.,companies offer a good benefits package.,companies offer a good benefits package ,benefits
323,Highly recognized brand with solid overall leadership,Highly recognized brand with solid overall leadership,highly recognized brand with solid overall leadership,
324,Good work life balance environment. Co-workers are all very collegiate.,Good work life balance environment. Co-workers are all very collegiate.,good work life balance environment co workers are all very collegiate ,"work, balance"
325,Flexible with life and work balance.,Flexible with life and work balance.,flexible with life and work balance ,work
326,Good benefits and associated organizations.,Good benefits and associated organizations.,good benefits and associated organizations ,benefits
327,"Great to work, good learning curve, helpful management , good benefits","Great to work, good learning curve, helpful management , good benefits",great to work good learning curve helpful management good benefits,"management, benefits"
328,"Good benefits, good people to work with","Good benefits, good people to work with",good benefits good people to work with,"work, people"
329,SNL integration brought new innovation and impetus to the firm a plethora of smart individuals in the business lines,SNL integration brought new innovation and impetus to the firm a plethora of smart individuals in the business lines,snl integration brought new innovation and impetus to the firm a plethora of smart individuals in the business lines,smart
330,Good environment to meet C level Opportunity to network Pays good,Good environment to meet C level Opportunity to network Pays good,good environment to meet c level opportunity to network pays good,environment
331,"Good team environment, opportunity for innovation is there. Benefits and pay are real competitive. People tend to stay for many years due to family-friendly management style. Lots of experienced staff to provide insight on requirements. My management was open to new ideas.","Good team environment, opportunity for innovation is there. Benefits and pay are real competitive. People tend to stay for many years due to family-friendly management style. Lots of experienced staff to provide insight on requirements. My management was open to new ideas.",good team environment opportunity for innovation is there benefits and pay are real competitive people tend to stay for many years due to family friendly management style lots of experienced staff to provide insight on requirements my management was open to new ideas ,"management, pay"
332,"Interesting work, good work life balance,","Interesting work, good work life balance,",interesting work good work life balance ,work
333,Great people; good pay and benefits,Great people; good pay and benefits,great people good pay and benefits,"pay, benefits"
334,People are welcoming and inclusive.,People are welcoming and inclusive.,people are welcoming and inclusive ,
335,"Global, stable firm, diverse staff, good benefits, nice office environment","Global, stable firm, diverse staff, good benefits, nice office environment",global stable firm diverse staff good benefits nice office environment,environment
336,Financial Stability Great Benefits No need to work on weekends,Financial Stability Great Benefits No need to work on weekends,financial stability great benefits no need to work on weekends,work
337,Good training and infrastructure. hey will see to hat you are tough he ways of the company. Good amosphere,Good training and infrastructure. hey will see to hat you are tough he ways of the company. Good amosphere,good training and infrastructure hey will see to hat you are tough he ways of the company good amosphere,
338,The company has been going through a very meaningful set of changes.,The company has been going through a very meaningful set of changes.,the company has been going through a very meaningful set of changes ,company
339,"- Very good pay and bonuses as per industry standard - Overall young team - Great exposure working with teams overseas, definite plus for your communication skills - Travel arrangements for people working in shifts - Work culture good, management ","- Very good pay and bonuses as per industry standard - Overall young team - Great exposure working with teams overseas, definite plus for your communication skills - Travel arrangements for people working in shifts - Work culture good, management ", very good pay and bonuses as per industry standard overall young team great exposure working with teams overseas definite plus for your communication skills travel arrangements for people working in shifts work culture good management ,"people, culture, management, pay, working"
340,Good work culture and enviromnment,Good work culture and enviromnment,good work culture and enviromnment,"culture, work"
341,"good people, strong foundation financial products","good people, strong foundation financial products",good people strong foundation financial products,
342,"Great smart people, promising company","Great smart people, promising company",great smart people promising company,"smart, company"
343,Great people! The greatest people I've ever worked with.,Great people! The greatest people I've ever worked with.,great people the greatest people i ve ever worked with ,people
344,Growth opportunities especially now with the restructuring and more in tuned focus work from home opportunities,Growth opportunities especially now with the restructuring and more in tuned focus work from home opportunities,growth opportunities especially now with the restructuring and more in tuned focus work from home opportunities,"work, home"
345,"Flexible work environment, hard-working staff on the editiorial side, egos at a minimum, salary competitive.","Flexible work environment, hard-working staff on the editiorial side, egos at a minimum, salary competitive.",flexible work environment hard working staff on the editiorial side egos at a minimum salary competitive ,"work, salary"
346,Great place to work. Excellent benefits.,Great place to work. Excellent benefits.,great place to work excellent benefits ,place
347,"MHF has no redeeming qualities whatsoever. MHF deserves zero, not one-star, ratings in every category.","MHF has no redeeming qualities whatsoever. MHF deserves zero, not one-star, ratings in every category.",mhf has no redeeming qualities whatsoever mhf deserves zero not one star ratings in every category ,
348,Dedicated and driven workforce; supportive teammates; quite a few extremely bright individuals around,Dedicated and driven workforce; supportive teammates; quite a few extremely bright individuals around,dedicated and driven workforce supportive teammates quite a few extremely bright individuals around,
349,employee benefits good and facilities.,employee benefits good and facilities.,employee benefits good and facilities ,benefits
350,"Best Project Management Practices followed, very process oriented company!","Best Project Management Practices followed, very process oriented company!",best project management practices followed very process oriented company ,
351,Not many Used other business software,Not many Used other business software,not many used other business software,
352,"I've worked here many years and with three kids, have had a lot of flexibility with my job.","I've worked here many years and with three kids, have had a lot of flexibility with my job.",i ve worked here many years and with three kids have had a lot of flexibility with my job ,
353,"The many brands mean a lot of opportunity to move around as long as you have a broad range of experience. I also think there are great people in this company; not the typical Wall Street firm. Under the SPCIQ, many managers are moving towards more progressives styles of management, such as work from home policies, etc.","The many brands mean a lot of opportunity to move around as long as you have a broad range of experience. I also think there are great people in this company; not the typical Wall Street firm. Under the SPCIQ, many managers are moving towards more progressives styles of management, such as work from home policies, etc.",the many brands mean a lot of opportunity to move around as long as you have a broad range of experience i also think there are great people in this company not the typical wall street firm under the spciq many managers are moving towards more progressives styles of management such as work from home policies etc ,"great, home, work, people"
354,Good and Laid Back Environment. Reasonable working hours. Interesting clients. Good office space. Managers are friendly and caring. Lots of collaboration and learning,Good and Laid Back Environment. Reasonable working hours. Interesting clients. Good office space. Managers are friendly and caring. Lots of collaboration and learning,good and laid back environment reasonable working hours interesting clients good office space managers are friendly and caring lots of collaboration and learning,"friendly, working"
355,Great product and tech experience within new management. I feel new product management will enhance the joint company. Both companies had great reps on the product side.,Great product and tech experience within new management. I feel new product management will enhance the joint company. Both companies had great reps on the product side.,great product and tech experience within new management i feel new product management will enhance the joint company both companies had great reps on the product side ,"management, great"
356,"There are some really good and smart people there. However, likeability trumps competence. The company has so much potential to be so profitable..","There are some really good and smart people there. However, likeability trumps competence. The company has so much potential to be so profitable..",there are some really good and smart people there however likeability trumps competence the company has so much potential to be so profitable ,"smart, company, people"
357,"Good pay, name and experience in finance if you are into that type of thing","Good pay, name and experience in finance if you are into that type of thing",good pay name and experience in finance if you are into that type of thing,
358,Standard nine to five hours,Standard nine to five hours,standard nine to five hours,hours
359,friendly environment. I had great coworkers,friendly environment. I had great coworkers,friendly environment i had great coworkers,"friendly, great"
360,You get to work from home and the people you meet in your job are amazing. You also get good benefits,You get to work from home and the people you meet in your job are amazing. You also get good benefits,you get to work from home and the people you meet in your job are amazing you also get good benefits,"home, work, benefits, people"
361,"The company has a good working atmosphere, it is flexible and accommodates personal life issues. A lot of women with children work from home one or two days a week and are able to adapt their working hours around picking up children from school.","The company has a good working atmosphere, it is flexible and accommodates personal life issues. A lot of women with children work from home one or two days a week and are able to adapt their working hours around picking up children from school.",the company has a good working atmosphere it is flexible and accommodates personal life issues a lot of women with children work from home one or two days a week and are able to adapt their working hours around picking up children from school ,"flexible, company, home, work, hours, working"
362,"very informative, friendly and fun. good people","very informative, friendly and fun. good people",very informative friendly and fun good people,"friendly, people"
363,Compensation and benefits are competitive. There is upside in all of the businesses.,Compensation and benefits are competitive. There is upside in all of the businesses.,compensation and benefits are competitive there is upside in all of the businesses ,benefits
364,"Ótimo ambiente, pessoas bastante inteligentes, bom para aprender sobre análise de demonstrativos, indicadores.","Ótimo ambiente, pessoas bastante inteligentes, bom para aprender sobre análise de demonstrativos, indicadores.",ótimo ambiente pessoas bastante inteligentes bom para aprender sobre análise de demonstrativos indicadores ,
