"Employer.s.Name","Review.Link","Job.Title","Review.Date","Review.City.Town.Name","Review.State.Name","Review.Country.Name","Current.Job","Length.of.Employment","Employment.Status","Overall.Satisfaction","Career.Opportunities","Compensation...Benefits","Senior.Leadership","Work.Life.Balance","Culture...Values","Business.Outlook","Recommend.to.Friend","CEO.Approval","Pros","Cons","Advice.to.Sr..Management","Headline","Employer.Response"
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW18217392.htm","Senior Software Developer","12/5/2017","Hyderabad","Telangana","India","Yes","More than 5 years","Full-time",3,2,2,3,4,3,"Getting Better","Yes","Approve","Less stress
Good Work life balance
Can get to know about financial terms","Less scope to learn new technologies
Less compensation"," ","Better work life balance"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW18201230.htm","Junior Research Associate","12/5/2017","Hyderabad","Telangana","India","Yes","More than a year","Full-time",3,2,4,2,5,2,"Getting Better","No","No Opinion","Salary is better compare to industry standards.
Work life balance is good. no need to take up any work after your working hours.","Management is biased. For formality they ask ideas and suggestions from employees,but they don't take or give  any importance to any except few who do buttering to them.  Now a days career growth almost zero. need to wait years and years for promotion.","Change the work culture.","No career growth"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17970084.htm"," ","11/18/2017","Ahmedabad","Gujarat","India","No"," ","Full-time",4,4,3,2,4,4,"Getting Better","Yes","Approve","Good salary, flexible work hours, interaction with international clients, medical coverage for the employee and his / her family.","Manager gets all the authorities and gets to violate company's thumb rule of not harassing his team members.  Since the managers know all the loopholes with company's procedure and policy and have good connection with their seniors, they get away with all these easily. Favoritism plays a major role too."," ","Analyst"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17819304.htm","JRA","11/9/2017","Hyderabad","Telangana","India","Yes"," "," ",4,3,4,3,4,4,"Staying the Same","Yes","No Opinion","good for first time job and good benifits","slow growth and gets routine after some time"," ","good company"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17772336.htm","Research Associate","11/7/2017","Gurgaon","Haryana","India","No","More than a year","Full-time",3,2,3,3,4,3,"Getting Better"," ","Approve","-work life balance(never worked over time)
-Good Paymasters
-Flexi timing","-Limited growth opportunities
-Difficulty in switching jobs"," ","Research Associate"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17587314.htm","Senior Research Analyst","10/27/2017","Gurgaon","Haryana","India","No","More than 3 years","Full-time",5,5,5,5,5,5," "," ","No Rating","Amazing Work Environment 
Good Pay","Slow growth in hierarchy , Limited promotions"," ","Company review"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17357512.htm","Senior Research Associate","10/14/2017","Gurgaon","Haryana","India","No","More than 5 years","Freelance",2,2,4,1,4,2,"Staying the Same","No","Disapprove","Worked at Cap IQ for 7+ years. So if you are looking for a convenient job with zero learning and not having to use your brain, Capital IQ is a perfect place.
- Good pay
-Flexible shifts
-zero stretch. Just work for 9 hours and go back home, forget you actually did any productive work and enjoy life.","-Frequent top  management changes
-Big time office politics. Your numbers( Q
A, productivity) hardly matters.
- zero learning
- wont get job anywhere else if you tell the actual truth of your job profile.
- Stupid, useles Team leaders with no kn","Take your employees seriously and invest in them. Only then expect your clients to be satisfied with your product.","Senior research associate"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17332953.htm","Senior Research Associate","10/13/2017","Hyderabad","Telangana","India","No","More than 5 years","Full-time",4,4,5,3,5,3,"Staying the Same","Yes","No Opinion","employee benefits good pay scale flexible shifts and nice work environment","no scope for learning apart from your routine work team level politics and no appraisal based on real potential","provide space for learning","Good place to work for freshers"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17297845.htm","Research Associate","10/11/2017","Gurgaon","Haryana","India","No","Less than a year","Full-time",2,2,3,2,3,1,"Getting Worse","No","Disapprove","Good facilities but easy repetitive work! Some teams are fun, but some of them are micro managed! The work can get very boring, below normal industry standards","Bad crowd, lack of challenging work, they pay money to people for doing bad work, all the work can be automated and they are not likely to understand that soon! Pseudo culture and lack of good leadership ! Very high attrition and lack of employee satisfaction or opportunities","Build better training processes and encourage more competitive work in terms of the research fields for sure!","Research Associate"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17265502.htm","Senior Research Associate","10/10/2017","Hyderabad","Telangana","India","Yes"," ","Full-time",3,3,3,2,4,2," "," ","No Rating","Work life balance,  less stress","Less hikes,  very low growth rate."," ","Research associate"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17223030.htm","Software Development Engineer-II","10/7/2017","Hyderabad","Telangana","India","Yes","More than 3 years","Full-time",2,2,3,1,3,3,"Staying the Same","Yes","Disapprove","- Employee Benefits
- Good Hikes & Bonus","- Manager Politics
- No Onsite","- add the onsite opportunity to employees
- there are a lot of employee politics in ratings, try to get them down","Its good Place to work with, both work wise & fun wise...."," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17136373.htm","Research Associate","10/2/2017","Gurgaon","Haryana","India","No","More than a year","Full-time",1,2,3,1,4,2,"Staying the Same","No","No Opinion","Good Work culture, Work life balance.","Poor work, nothiing to learn","Should focus on employes skill development.","Non Productive Work"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17114126.htm","Quality Engineer II","10/1/2017","Gurgaon","Haryana","India","Yes","Less than a year","Full-time",4,3,5,4,5,5," ","Yes","Approve","Work life balance too good .
Work from home.
Free cab .
Domain knowledge.","No on-site .
Career growth inside not standardized.
Learning varies from team to team."," ","S&P Global"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW17024898.htm","Research Associate","9/26/2017","Gurgaon","Haryana","India","Yes","More than a year","Full-time",4,3,4,4,5,4," ","Yes","No Rating","Work life balance.
Good pay
Great start for freshers","Less scope for learning and growth"," ","Good company for freshers"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW16745555.htm","Content Analyst","9/9/2017","Ahmedabad","Gujarat","India","Yes","Less than a year","Full-time",4,3,5,5,5,4,"Getting Better","No","Approve","Comprehensive Data set and efficient product solutions.","Low Salary and stagnant growth.","Management of the company should emphasize on some new products and ideas.","Financial Analyst"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW16738020.htm"," ","9/9/2017","Ahmedabad","Gujarat","India","Yes","More than 5 years","Full-time",4,4,5,4,5,3,"Getting Better","Yes","Approve","Good Pay Scale, Pay for performance, growth driven approach, latest technology, flexible work hours","Office Politics, Less to none onsite opporutinities"," ","Great Company to work for"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW16609519.htm"," ","8/31/2017","Hyderabad","Telangana","India","No","Less than a year","Full-time",1,1,3,1,3,1,"Getting Worse","No","Disapprove","Not at all a  good company","Worst Company.
Lot of worst ERGs and non sense."," ","Worst company with lot of woman aligned policies and politics"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW16533245.htm","Senior Research Associate","8/26/2017","Gurgaon","Haryana","India","Yes","More than 5 years","Full-time",5,5,5,5,5,5,"Getting Better","Yes","Approve","great people, nice ambiance, no politics","shift timings , same work"," ","good company to work with"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW16412890.htm","Senior Infrastructure Engineer","8/17/2017","Hyderabad","Telangana","India","Yes","Less than a year","Full-time",4,2,3,3,4,4,"Getting Better","Yes","Approve","It is very good company and they have very strong financial products.   Compensation is reasonable and follow the market standards. you will get food and snacks with minimul amount. Managers are very friendly and supportive . Especially my manager Daniel is really good and support new ideas.","Workstation and infrastructure is not that much good. Career opportunities are very less.  Professionalism is little bit low when you compare to other companies.","Please improve the infrastructure facilities and 
spend some money on L&D  that will help to employees to learn new technologies.","Technology"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW16380780.htm"," ","8/16/2017","Ahmedabad","Gujarat","India","Yes","More than 8 years","Full-time",3,3,4,3,4,3,"Getting Better","Yes","No Rating","Good work-life balance, competitive package","Evaluation system based on bell curve is not efficient. Appraisals more based on manager's influence compared to performance"," ","Senior Auditor-2"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW16327523.htm","Research Associate","8/12/2017","Gurgaon","Haryana","India","Yes","More than a year","Full-time",2,2,2,3,4,4,"Getting Worse","No","No Opinion","Working Culture is good. Proper work life balance is there. Various events took place related to sports, Cultural Events and many other events","Interaction. Less interaction with People. Not much to learn in Company","Do motivate and promote Employees which built there Confidence and motivate them to work","Working Culture"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW16237836.htm","Systems Administrator","8/6/2017","Ahmedabad","Gujarat","India","No","Less than a year","Full-time",3,3,4,3,4,4,"Getting Better","Yes","Approve","Balanced life and good work environment.","no cons found except lack of support from senior management.","IT Management should look at areas like promotions for the individual who has been performing well.","good place to work"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW16216564.htm"," ","8/4/2017","Gurgaon","Haryana","India","Yes","More than 3 years","Full-time",2,1,4,2,3,1," ","No","No Rating","1) Great money
2) Majority of the staff will find work life balance","1) Too much inertia 
2) Work policies need to be strengthened & HR is non existent
3) Process of Job rotations does not exist & over a period of time employees do not feel valued as they cannot be given promotions as well
4) Processes not standardized & there will be varied opinions of the work culture based on the process that employee works for","Huge changes required as till the time there is no new blood at the  top & the middle level management, things will not change. Currently people at the top do not have varied organisational experience which is a hinderance in accepting changes","Stuck for life - Golden handcuffs"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW16058108.htm","QA Engineer","7/25/2017","Gurgaon","Haryana","India","Yes","More than 3 years","Full-time",5,3,4,4,5,5,"Getting Better","Yes","No Opinion","Approachable leaders.
Good work ethics.
Great employees to interact with.","Slow promotions. Have to wait a long time for growth.","Please look at the tenure of good work the employees have put in at least for the lower level promotions.","Really good place to be!"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15953236.htm","Senior Content Analyst","7/18/2017","Ahmedabad","Gujarat","India","Yes","More than 3 years","Full-time",2,2,3,2,4,3,"Staying the Same","No","Approve","(1) Working environment is relaxing. Its just you have to complete what is assigned to you and timeliness is maintained.
(2) Flexible timings.","(1) Same repetitive job even if you got promoted.
(2) No growth (in terms of learning and monetary wise its okay as per location perspective)
(3) Unprofessional managers and some of them are not even well versed with English.","Please take your employees(genuine ones not the licker ones) suggestion seriously. That would be enough.","Its sort of okay."," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15810676.htm","Quality Engineer II","7/9/2017","Gurgaon","Haryana","India","No","More than a year","Full-time",5,3,4,3,4,3," ","Yes","No Rating","I had been a part of Automation team in Capital IQ. This team is so amazing and full of talent.Team has accomplished great mile stones and helping the Manual QA in a very efficient manner. I have found following pros while working with this company-
1. Your ideas are welcomed and appreciated
2. You can create opportunities for you by building cool stuff
3. Flexibility in work style and timing
4. Unlimited WFH (Through it requires manager approval)
5. Decent compensation","Less recognition to the people doing great work","Designation for Automation Engineers should be SDET
Revisit the eligibility criteria for GRP program","Great Company to work with"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15772206.htm"," ","7/6/2017","Gurgaon","Haryana","India","Yes","Less than a year","Full-time",4,0,0,0,0,0," "," ","No Rating","Good company to work with, good money initially","Politics, Unfair opportunities provided to employees"," ","Research Associate II"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15758816.htm","Content Analyst","7/5/2017","Ahmedabad","Gujarat","India","Yes","More than a year","Full-time",5,5,5,5,5,5,"Getting Better","Yes","Approve","Have work life balance , belive in minimum retaintion ratio","As such no cons found in my work tenure"," ","Superb work cultural"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15758344.htm","Manager","7/5/2017","Ahmedabad","Gujarat","India","No","More than 5 years","Full-time",5,5,3,5,5,5,"Getting Better","Yes","Approve","-Work-life Balance
-Pay for Performance
-Transparent Culture
-Employee and business goes hand in hand
-Amazing culture and leadership team is very good
- Respect for innovation and talent.","-IC's are taking advantage of open and transparent culture
-Scope to increase compensation","- Need to support Managers/AM's in managing indisciplined IC's.
- Rethink about our current salary bands.","Manager"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15669590.htm","I Started Career With S&P Capital IQ, Learnt A Lot","6/28/2017","Hyderabad","Telangana","India","No","More than a year","Full-time",3,3,4,3,2,1,"Getting Better","Yes","No Opinion","S&P offers a good package, provides a attractive night shift allowance (only for full night shift employee), gives opportunity to work on multiple process","Less growth chances after SRA level,  Favoritism, No Corporate culture","Be a professional","Good place to start career but less growth chances after SRA level"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15664002.htm","Quality Engineer","6/28/2017","Gurgaon","Haryana","India","Yes","More than 5 years","Full-time",3,1,3,2,4,3,"Getting Better","No","Approve","Flexible working environment.
Good Salary
Good office location","Due to higher management changes, the environment is no longer the same as it used to be. Unnecessary people involvement. New HR policies."," ","Too many changes happening at higher level"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15576625.htm","Financial Analyst","6/21/2017","Ahmedabad","Gujarat","India","Yes","More than 5 years","Full-time",3,3,2,3,4,3,"Getting Worse","No","Approve","Good brand and Opportunities having cross departments for personal growth. Opportunity to work with young people. In Finance industry you can have good name.","Too much politics of Manager and favouritism. Needs to work actively by stakeholder on this or else their real customers who are employees. This will turn out to be more employees turnover ratio","Less politics and openness. Market raise is very less and dominating to employees","Mixed feeling"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15283993.htm","Senior Research Associate","5/31/2017","Gurgaon","Haryana","India","Yes","More than 5 years","Full-time",2,1,3,1,4,3,"Getting Worse","No","No Opinion","Work life balance.
Friendly atmosphere to work (Sometimes  looks like a college though)
Flexibility of work timings","Monotonous Work.
So scope of career growth post reaching a Senior Research Associate Level as the number of openings for an analyst or a Team lead profile is minimal.
Continuous Changes by the Top management every now and then which haven't yielded anything good for the company in the last couple of years.
Introduction of Night shifts without any business need.
Reward mechanism has started picking up from this year still not upto the mark.","Reward deserving employees on a regular basis.
Integration with global teams for more opportunities","A trap for a lifetime"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15236119.htm","QA Manager","5/28/2017","Ahmedabad","Gujarat","India","No"," ","Full-time",5,5,5,5,5,5,"Getting Better","Yes","Approve","1 - Good employee friendly policy
2 - Good advantages for employees
3 - Good work culture & environment
4 - Flexible timing
5 - Performance based culture & good reward / recognition","Nothing to mention from my side.","Nothing to mention","Good company to work with"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15230871.htm","Data Researcher","5/27/2017","Gurgaon","Haryana","India","Yes","More than a year","Full-time",3,2,3,3,3,3,"Getting Better"," ","Approve","- Good Work life balance
- Good Package","- Work might get repetitive
- Not many growth opportunities","#NAME?","Good company for freshers"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15159898.htm","Research Associate","5/22/2017","Gurgaon","Haryana","India","Yes","More than a year","Full-time",3,3,3,3,5,4,"Getting Better","No","No Opinion","1.  Great work-life balance
2. Flexible timings
3. No work Pressure beyond working hours.","1. work not recognized.
2. no personal growth.","Need to change leadership skills. Give more opportunity to employees to keep them motivated","Good Company"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW15158707.htm","Talent Acquisition","5/22/2017","Ahmedabad","Gujarat","India","No","Less than a year","Full-time",5,3,3,4,4,4,"Staying the Same","Yes","Approve","Great place to work. Great environment. Nice place to work for a while.","None at all. Quite fluid in all the areas. Slow progress considering the role."," ","Great"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14994681.htm","Junior Research Associate","5/10/2017","Hyderabad","Telangana","India","No","More than a year"," ",3,3,2,1,2,4," "," ","No Rating","1. Great Learning
2. Training and Development
3. Food and Cab Service
4. Extracurricular Activities","1. Rotational Shifts
2. Rude Team Leads (They Don't know how to communicate)","Management should improve their behavior towards the production employees. They need to be friendly, rather to be bossy.","Good place to start your career"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14878304.htm","Research Associate","5/2/2017","New Delhi","Delhi","India","Yes","More than 5 years","Full-time",3,3,3,2,3,2,"Staying the Same","No","No Opinion","work life balance, culture, salary structure","work pressure in some teams","take care of your employess","Re"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14774615.htm","Assistant Operations Manager","4/25/2017","Ahmedabad","Gujarat","India","Yes","More than 5 years","Full-time",4,3,4,4,4,3,"Getting Better","No","Approve","Good Senior Leaders, Good Flexibility, Good atmosphere to work.","People outside Gujarat are spoiling culture.
Poor cafeteria and very less space in new campus.","improve chair quality, food quality, hire local people as much as possible in cities where Company has office,","Assistant Operation Manager"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14774167.htm","Business Analyst","4/25/2017","Gurgaon","Haryana","India","Yes","More than a year"," ",3,3,3,5,5,5,"Getting Better","Yes","Approve","Flexibility - Very flexible in terms of working hours, leaves
Work Life Balance - A perfect work and life balance
Compensation - Good initial compensation","Bonus and Increments - Rating is not given based on your work specially in this profile.
Shifts - People work in different shifts so the environment is not cheerful and interactive."," ","Business Analyst"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14685988.htm","Senior Financial Analyst","4/18/2017","Ahmedabad","Gujarat","India","Yes","More than 3 years","Full-time",4,4,3,4,5,4,"Getting Better","Yes","Approve","Flexibility and good working atmosphere","monotonous work. Shift time changes at any time.","No","Good place to work"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14640731.htm","Product Support Analyst","4/15/2017","Hyderabad","Telangana","India","Yes","More than 3 years","Full-time",3,3,4,3,3,4,"Getting Better","Yes","Approve","1)  Good place for any MBA graduates who did specialized in finance.
2) Good place to start for professional career.
3) Packages are offered best in Industry standards.
4) Good growth opportunities by Internal Job Postings ( Inter dept interviews).","1) High head count of local people makes feeling like working in domestic company.
2) Internal Politics will be there like in any other company"," ","Good for starters"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14611386.htm","Research Associate","4/12/2017","Hyderabad","Telangana","India","Yes"," "," ",3,2,4,3,4,2,"Getting Better","Yes","Approve","Huge Pay.
Stress less job
Good environment.
Top Management was good","Routine Work all the time."," ","Good company to start the career"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14596286.htm","Research Associate","4/12/2017","Hyderabad","Telangana","India","No","More than 3 years"," ",4,3,4,4,4,3,"Getting Better","Yes","Approve","good work environment
work - life balance
friendly co-workers
pay scale is good","too much of hierarchy in the corporate ladder"," ","good work environment"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14565170.htm","SRA","4/10/2017","Gurgaon","Haryana","India","Yes"," "," ",5,5,5,5,5,5," ","Yes","No Rating","nice management. nice experience overall","no con for me so far"," ","Great"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14543936.htm","Technology Quality Analyst","4/8/2017","Gurgaon","Haryana","India","Yes","More than 5 years"," ",4,4,4,3,4,5,"Staying the Same","Yes","Approve","Senior management is very helpful. Good place for freshers to join. Lots to learn in terms of technology and innovation. Flexible timing help manage family and work effectively","Bad transport service and bad parking services."," ","Technology Quality Analyst"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14532900.htm","Research Associate","4/7/2017","Hyderabad","Telangana","India","Yes","More than 5 years","Full-time",4,3,4,4,5,3,"Getting Better","Yes","Approve","Every Colleague is very helpful and also women's safety comes as a priority.","Maximum i dont have any issues with my current employer."," ","Review"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14407903.htm"," ","3/29/2017","Ahmedabad","Gujarat","India","No"," "," ",4,1,1,1,5,4,"Staying the Same","No","No Opinion","Work-life balance, learning and development","well organised structure to do monotonous work.","Recovery trust deficit among employees and no more scope for intellectuals,  managers should have open mind skillset for the candidate skills and knowledge.","On an edge to become more successful"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14366211.htm","Research Associate","3/27/2017","Gurgaon","Haryana","India","Yes"," "," ",1,1,3,1,3,1,"Getting Better","No","Approve","Decent Pay, Games room with Carrom, Xbox and Foosball table","Very few promotions, even if you perform exceptionally
Monotonous work
Very few opportunities in the line of business"," ","Not a great Place to work"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14315410.htm","Software Test Engineer","3/23/2017","Ahmedabad","Gujarat","India","No","More than a year","Full-time",5,5,2,5,5,5,"Getting Better","Yes","Approve","Great company culture and good opportunities to learn.","Low salary and employees are not recognized much for their work.","Value your employees","Software Test Engineer"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14246530.htm","Junior Research Associate","3/19/2017","Hyderabad","Telangana","India","Yes","More than a year"," ",3,3,3,3,3,3,"Getting Better","Yes","Approve","A good company to work with.","There ain't anything I have come across!","Nothing !","Junior Research Associate"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14210972.htm","Software Developer","3/16/2017","Ahmedabad","Gujarat","India","No","More than 3 years","Full-time",2,1,3,4,5,3,"Staying the Same","No","Approve","Good infrastructure.. 
Good location of office.. some project has good technology","Wrost ever middle management that i ever face.. 
Few manager doesn t know about what is one to one meeting. 
Very bad review process
Grab local it company if u have a offer","Identify good people from team for manager","Not good middle management.. no progress with good work life balance"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14115499.htm","Junior Research Associate","3/9/2017","Hyderabad","Telangana","India","Yes","Less than a year","Full-time",3,2,4,1,3,2,"Getting Better","Yes","Approve","Employment benefits good,compare to domestic organisations.But not matched with peers.
Highest salary for freshers in industry.","Career path is a question mark,because simplified and small job tasks.there is no similar kind of task available in major companies.
And moreover using own company developed tool,so less exposure to excel,sap and all other universal tools.","Middle level management imrovement,allign work with employee development also by giving training on specific and special skills.","Average"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW14110211.htm","Junior Research Associate","3/9/2017","Hyderabad","Telangana","India","No"," "," ",2,2,2,1,4,1,"Getting Worse","No","Disapprove","work life balance, no pros to share","monotonuos work, regional biasness,  sick work culture, no scope of growth, Feels like school ( Manager, TL scolding associates), Appraisal system is very bad","stop the regional biasness environment in office","Company overview"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW13946506.htm","Financial Analyst","2/26/2017","Ahmedabad","Gujarat","India","Yes","More than a year","Full-time",4,4,3,4,4,5,"Getting Better","Yes","Approve","Good culture, life balance is well maintained. People are really friendly. Great opportunity for learning. Anyone with learning zeal will have lot to learn.","Internal managers politics sometimes really makes things very complicated. Hikes are really low. Package offered are less compared to industry standards","Goal settings should be more realistic and should not entirely be judged by manager","A very good company to work"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW13907867.htm","Research Associate","2/23/2017","Gurgaon","Haryana","India","Yes","More than a year","Full-time",4,3,4,3,5,3,"Getting Better","Yes","Approve","- flexible working shifts
- informal work environment
- ample leaves
- co-operative managers","- repetitive work
- slow growth"," ","Research Associate"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW13807106.htm","Junior Research Associate","2/16/2017","Hyderabad","Telangana","India","Yes"," ","Full-time",4,3,3,3,3,3,"Getting Better","No","Approve","Good work Environment,Good leaves and Easy work.","Felt like working in a local company not in MNC."," ","Good"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW13769995.htm","Research Associate","2/13/2017","Hyderabad","Telangana","India","No"," "," ",3,2,4,2,2,3," ","Yes","No Rating","best package and friendly environment... lots of friends","night shifts, overtime work, no flexible","no advice","good experience"," "
"S&P Global Market Intelligence","http://www.glassdoor.co.in/Reviews/Employee-Review-S-and-P-Global-Market-Intelligence-RVW13733317.htm","Business Analyst","2/10/2017","Gurgaon","Haryana","India","Yes","More than a year","Full-time",4,3,3,3,5,5,"Staying the Same","Yes","Approve","Work atmosphere. Work-life balance. Colleagues are very understanding. No constant nagging from the team members.","Less appreciation in terms of rewards at the end of the year. The upper management has become way to saturated. Scope of growth is less once you become a senior.","The management should take some steps towards rewarding the deserving employees. Promotions should be given purely on the basis of performance.","Business Analyst"," "
