answer_re_oth,answer_re_n
unlimited possibilities to learn about the industry and a plethora of personal growth opportunities ,
good place to work here,"work, place"
nothing much other than they support the american heart association,
great pay banking days off ,
there is generally a good work life balance,"work, balance"
existe um plano de carreira no qual você pode avaliar seus colegas e superiores bem como ser avaliado por eles e deixar bem claro as suas pretensões na empresa o ambiente é favorável para pessoas pró ativas e dedicadas,
as pessoas são muito agradáveis e sempre dispostas a ajudar a autonomia também é grande e nos permite ir sempre além do que faríamos em outros locais ,
great campus good training classes if you have the time to take advantage of them a lot of good people to work with inside the company ,"work, people"
many organizations talk about a positive working environment professional development equal opportunity and work life balance thomson reuters is one company that does ,"company, working"
a empresa tem um bom ambiente de trabalho uma dinâmica interessante e apresenta possiveis planos de carreira para os funcionários além de ser ativa no mercado ,
regular work from home days after year of employment and a very understanding management team in terms of needs for off time great benefits you will gain amazing experience with multiple systems that will help with career growth later on crm s sap etc etc it is a great place to begin your career and gain an understanding of how thomson reuters works and how we create an end product that our clients use to make their businesses better and more efficient working at thomson reuters creates a level of brand recognition for your resume and is a great company to find different departments to work inside of benefits include volunteer days sick days vacation days and regular holidays senior management normally dismisses employees early the day before a holiday during close week lunch is provided to the customer administration team on campus activities as well as health club benefits etc keep you engaged while you are not at your desk,"place, company, management, home, work, health, great"
flexible working timings good culture good people,"culture, people, working"
thomson reuters values their employees by supporting work life balance paying employees well promoting a strong culture with growth opportunities and offering a competitive k contribution plan they also offer a decent amount of pto and other benefits right off the bat ,"culture, benefits"
good team to work with friendly work environment easy to get in touch with office management good maintenance of facilities good place to start work as freshers ,"work, friendly, place"
very good company for fresher s will enjoy working here everybody are supportive here including management always ready to help ,"management, company, working"
one of the best company to work in the whole world gives lot of scope to excel great place to have work life balance here complex work environment is made a funny and lovely atmosphere each one s potential is recognized and given abundant opportunities to excel especially in horizontal growth in career guys can become addicted to this company ,"work, environment, place"
 very good work environment flexible work timing good transport facelities,work
variety of opportunity lots of really great people very attractive employment packages at all levels very good pension scheme generous holiday allowance ,great
ability and flexibility to investigate new technologies,
environment is good great people,"great, people"
good team flexibility supportive management good pay for juniors permanent contract good pension plan payment before work ,"management, pay"
work culture wfh entertainment,
 low stress normal hours friendly working conditions,
incredibly flexible company super good environment people being really nice you do learn a lot about costumer facing and how to manage different type of clients large number of internal opportunities across the world ,"flexible, people"
collaborative team great team to learn from ,
good environment and good team,environment
good working conditions and ethical people to work with good financial motivation in terms of bonus ,"work, people, working"
buena compensación para el tipo de trabajo realizado uno de los puntos más fuertes es el seguro médico ya que es de primera calidad swiss medical ,
dependiendo de la posición y la visibilidad que uno tenga existe la posibilidad de crecimiento profesional ciertas posiciones requiren que uno sea autónomo y la posibilidad de participar de proyectos ad hoc siempre y cuando sea uno quien se interese y se preocupe por participar y demuestre iniciativa ,
competitive good opportunity demanding typical,
the people are great great community and friends,"great, people"
 great salary and benefits great brand name amazing diversity in team,"salary, benefits"
fairly standard benefits medical dental vision k with some matching etc ,
good salary good work life balance good team ,
positive culture respected name great events industry connected good benefits including gym membership smart people longevity possible investment in learning and technology,"benefits, people"
flexibility good balance work personal life,balance
relatively low pressure work life balance,balance
flat work culture good work life balance cutting edge technologies great place to learn and innovate ,"work, edge, place"
ambiente que favorece aqueles que são proativos e buscam mudanças constantes possibilidade de trabalhar com pessoas ao redor do globo ambiente de trabalho informal e agradável ótimo equilibrio entre trabalho e vida pessoal ,
number of paid leaves,
great company culture and life work balance terrific coworkers ,"culture, company"
very respectful flexible and great learning ground for professional and personal development,"flexible, great"
good place to work very good environment ,
nice benefit and great working environment,"environment, great, working"
management has great vision and roadmap items,great
bom ambiente de trabalho região de fácil acesso benefícios como vr e convenio medico satisfatórios transparência nos processos da empresa enfim uma boa empresa para se trabalhar,
within the niche of legal research thomson tends to be the premier provider selling for a leader is always an advantage ,
great benefits great people apart from some senior leaders flexible working good systems and processes,"flexible, people, senior, benefits, great, working"
nice work culture nice policies no micromanagement,
chance to work on new technolgies if you are eager to learn and ready to accept challenges,work
horaires souples et environnement international,
great work environment to work,work
very tech oriented invest much in engineers decent salaries but not much above average ,
very flexible many people run side businesses and have time to do so company generally open to relocating employees ,people
only one viable competitor in the market,
very nice place to work great environment ,place
good culture stability great outlook and great senior leadership,
a empresa em geral é ótima fiz vários amigos e o ambiente é super agradável horário flexível onde podemos tirar um tempo e viajar sem problemas ,
good company culture supportive,company
great culture with respecting cultural differences,culture
people are great to work with friendly environment,"work, environment, great"
decent compensation and work life balance talented co workers good atmosphere ,compensation
good work life balance free gym,"work, free"
decent pay coworkers cafeterias benefits and work life balance ,benefits
uma empresa que me dava uma boa autonomia para eu tocar meu negócios e tinha bastante beneficios,
friendly with very good benefits ,
depending on your dept some flexibility to work from home benefits were ok industry average,"work, benefits"
flexible environment good people at individual contributor level ,people
work life balance activity organised by the management every quarter to reward employees,"management, balance"
the projects delivered have great objectives and worthy results ,great
thought leadership multinational exposure innovative,
confiança nos funcionários aprendi muito ótimo local de trabalho e equipe em questão de infra estrutura facil acesso aos gestores facilitando a resolução de duvidas ,
good brand image global recognition relatively competitive pay for some ,pay
indian public holidays and wfh option,
solid employer high salaries and possible bonuses nice office location high it standard and other technical stuff ,
work life balance generous vacation days great diversity within the company,"balance, company"
very good work culture and management,"culture, work, management"
multinational social benefits diversity people,people
good opportunity and work life balance,"work, balance"
benefícios bom plr bom salário ótimas pessoas excelente localização e bom rh,
good environment good team members high benefits good process it is suitable for people who have the family ,people
invests heavily on people development and technology the combination of which makes the company an excellent employer to work for excellent culture with active involvement in volunteer work and highly supports and have dedicated groups for working moms dads lgbt community and the likes ,"company, people, culture, work, working"
flexibilidad laboral mucho trabajo en equipo se puede hacer home office se trabaja mucho en contacto con equipo de afuera del país hay muchos trainings,home
the hours can be very flexible from may to september with options to work ten hour days or nine hour days and a half day management will allow you to leave early come in late at times without using pto ,"options, work, flexible, hours"
feel valued flexible working options recognizes efforts well regarded for trust and independence impartiality with regard to the information it provides ,"flexible, working"
a empresa oferece muitas oportunidades de se compartilhar conhecimento inclusive entre pessoas de outros países mesmo que seja em áreas diferentes da sua os benefícios que ela oferece também são muito bons ,
depends on team and which team your are the part,
thomson reuters has considerable growth opportunity ,
pretty good benefits great coworkers love the perks of the office tea coffee etc ,great
pay structure is great the coworkers we have work life balance,great
interesting content in lit criticism reference areas detroit metro nice area to work in ,work
good place to work work life balance,"balance, place"
the people and the atmosphere have been exceptional ,people
good work life balance and professional environment ,"work, balance"
diversity equality check check definitely issues that are being discussed and hopefully addressed great maternity package uk generally everything you d expect from a big company people and culture really depend on the department f r and tr labs are almost like two different companies for example but messages from leadership are all on point love their attitude to women in technology being one of them and bringing more women to leadership roles thumbs up ,culture
thomson reuters is a pretty large company and the medical insurance premiums are pretty low because of that they also have k matching and a good parental leave policy ,insurance
everything is transforming just right here,
good life work balance ,"work, balance"
mnc brand little office politics among low level analysts ,
internal promotions common entry level jobs are accessible good training opportunities lots of good benefits strong d i culture strong csr culture great reward scheme for achievements work life balance good no expectation to work outside contracted hours occasional overtime for entry level jobs ,"culture, work, balance"
bon équilibre travail vie privée des collègues sympathiques une bonne ambiance malgré l enchaînement des plans sociaux ,
you can learn a lot on financial data and markets rules regulations friendly environment motivating management they give away gadgets such as iphone tabs battery banks tv video games etc for best performer monthly you can make good networking with people in big fortune companies so much fun in the workplace it is like a family,"environment, people"
most people are clued on a few of the managers are top rate ,people
holidays you start with every year you stay in the company you get one more day up to ,company
they pay me and i like all the people i work with directly they don t pressure people to work overtime ,"work, pressure, people, pay"
decent benefits nice people nice office,
the work flexibility and most possible friendly environment is just awesome you feel being in home and not like in a political company ,"friendly, work, environment, home"
large company anonymity decent benefits progressive values good at communicating overall vision,company
 you would be exposed all kind of new technologies,
good work life balance nice employees in the office ,work
difficult to find real ones nyc location has good commute i do not need to have real skills over there you had to talk good ,
great work place people are very smart and you can learn a lot from your co workers,"smart, work"
flexible progressive professional and great people ,great
awesome work advanced technologies very good work life balance positive outlook,work
nice work place good work life balance,"work, balance, place"
good policies good work culture organized yet scope for independent ideas,work
exciting environment international opportunities smart colleagues,smart
it s the great co workers i work with that make it bearable these days good amount of pto great if you are in a position to use those hours some departments have the ability to work remote ,"work, great"
good clientele good onsite projects,
great work life balance decent benefits other than health ,benefits
possible to have a work life balance and some people who work against all internal odds ,"work, people"
lots of room to advance or move laterally and explore different career trajectories good benefits senior leadership is working hard on talent development ,"senior, working"
good working culture benefits people growth opportunities,working
la empresa se caracteriza por ser muy humana con esto me refiero a que realmente se te escucha se te ayuda hay buena onda snacks y maquina de cafe ,snacks
friendly people work life balance brand value,friendly
 trainings culture people brand value,
flexible work environment healthy work life balance extensive development opportunities room for career advancement,work
good brand on your cv as a starting job many young people in an international environment many good events,people
a good company to work for employees are engaged and there is a good atmosphere amongst colleagues work life balance is ok ,"work, balance, company"
name is widely known and thus makes good weight in resume ,
great work life balance and friendly atmosphere,"balance, friendly"
the impressive corporate culture of doing work that matters being reputable and not compromising our values and ethics ,"culture, work"
good working environment employee focused culture comprehensive training programs good life work balance ,working
you get desired opportunities and different roles if you are ready to work towards them great culture and managers,"culture, work, great"
some good people working at thomson reuters clever people who really understand the industry and work hard to do a good job ,"work, people, working"
 open to cool technology imbraces changes in technology open to open source in hadoop,
aren t any cruising on work done years ago zero investment since then,work
excellent work coluture manager and hr listen to employees and take care of their concerns i worked for operation department covers some critical projects which contribute good working exposure to all okay okay leave policy average work life balance some buttering up people were getting handsome time for work from home excellent growth opportunity for excellent personalities ,"work, people, working"
work life balance flexible friendly good work culture,"culture, work"
the company values diversity and promotes work life balance ,company
after many years i still love the content area i work in and really like my team and direct manager i have worked both as a manager and an individual contributor i prefer being an individual contributor as they don t give managers much time to manage they are typically expected to pick up a fair share of the workload in addition to managing their staff although i specialize in a particular area there is good exposure to a wide variety of financial data and tools i periodically work on projects across multiple departments and i have found most co workers to be helpful and not territorial as many have mentioned the benefits are very good generous vacation sick days volunteer days matching k decent health benefits but used to be better flexible hours and work from home depending on position there are opportunities for development and advancement again depending on department and interest ,"flexible, home, work, benefits, health, hours"
great people and brand great work life balance for some,"work, balance, people"
global organisation take good care of their employees fair trustworthy positive brand reputation,
employment stability clear responsibilities permanent salary increase of few percent a year,salary
easy hours low stress environment,environment
 nice and friendly people to work with had the opportunity to work on a wide range of tasks flexible,"work, friendly, people"
rating tr is hard because it can totally depend on what dept you re in i m in legal and while there are negatives overall i like the company a lot i feel like they care for employees and want you to succeed they offer lots of ways for you to grow as an employee and want you to stay and develop your career ,company
flexibility good working environment employee friendly moderate benefits,"environment, friendly, working"
good people values work life balance,"work, balance"
initial learning is very good very detailed training program is followed for preparing contract drafting work,work
vacation and volunteer time are generous,
good quarterly based bonuses if you perform interesting client oriented job lots of freedom,
work life balance opportunity for students very good personal development plan location gdynia and three city in general is amazing team,balance
it s a very open working environment young people with lots of passion,"people, working"
flexibility dynamism opportunity to learn and make different things that make you feel well and worl and life balance ,
 ,
respect partnership opportunity for personal and professional development ,
this the company where i found good working environment equal opportunity for development ,"company, working"
great culture amazing support and great product,great
interesting work lots of opportunity to learn many different business lines ability to move into different business lines ,
some benefits and trainings the work can be very interesting and challenging many farewell parties with cake for those who enjoy sugar a beautiful view for those who work on the higher floors ,"work, benefits"
follow agile scrum tdd encourage to speak ,
the company offers competitive compensation employees are very well taken care of in terms of benefits quarterly bonuses and yearly appraisal ,
compensation there are big problems that need solving there are big opportunities that thomson reuters could pursue ,
great work life balance good benefits for short disability and maternity ,benefits
quite good work life balance,"work, balance"
great work life balance and flexible work arrangements generally has an easy going environment promotes diversity and inclusion highly ethical organization constantly looks to simplify process,"work, flexible, balance, environment"
open organization company takes your contributions seriously a great work environment ,"work, great"
flexible working good company culture engaged management strong brand recognition,"management, company"
work life balance brand value women leaders no work pressure,"work, pressure"
i ve joined thomson reuters as software engineer for the first job good atmosphere agile,
they provide a lot of opportunities for learning and growing within the company good salaries and bonus scheme,
good pay and benefits opportunities for movement inside the company prestige management is generally well meaning they care deeply about journalism ,pay
good environment and culture nice career growth work life balance chilled environment and many oppurtunities ,environment
pay on time good benefits ,
excellent team culture environment well supported and very friendly,"culture, friendly"
possibly the best place to work in australia very relaxed culture good team camaraderie very caring for their employee and love working here ,"work, place, working"
starting pay is solid we start at days vacation and that goes up after years plus some sick days some volunteer days k match is nice culture is great most of the time vision and dental are good tuition reimbursement is awesome there is a ton of room for advancing your career up or sideways coworkers are fantastic ,"pay, great"
great benefits somewhat casual environment ,
great place to work good work life balance competitive pay people are friendly and nice always willing to help out ,"friendly, place"
flexible hours good relationship with colleagues,
best for work life balance great colleagues and market leading products ,work
very relaxed and professional at the same time most people i have met here have been here for plus years that says a lot these days ,people
great work environment pay for performance lot of employee engagement,
when it was a global team work life balance was a must the benefits are great i e retirement plan clothing medical optical allowance etc many hobby groups that you can join ,"balance, benefits, great"
fabulous boss topical constantly changing subject area great workmates flexibility in terms of hours and being able to work from home,"home, work, hours"
good atmosphere in the team and not so difficult work some good benefits but we pay them from our salary ,"pay, benefits"
 excellent work life balance day volunteering at non profit,"work, balance"
salary and benefits were competitive ,benefits
good company should be recommend others,
fantastic local culture and work life balance ,culture
best company to work in all domains ,work
thomson reuters is a big international company you get good opportunities to talk to people with different background and utilize free learning materials across the organization many people change positions within the company so you are able to learn new stuff all the time ,"free, people"
good for starters good work culture healthy work life balance good pay maximum number of leave in one year one month notice period ,work
great colleagues good employment benefit medical and family oriented good union support ,
i had one of the best experiences there unfortunately i had to go back to my home country for personal issues and had to quit ,home
supportive management great people some room for advancement good work life balance lots of extra activities and sport teams to join ,great
 company is good nice infrastructure although manager were not colleagues were helpful good for those who don t care about career opportunities promotions,
flexible working hours and benefits including leave,"hours, benefits, working"
work life balance flexibility for learning you will good time ,balance
flexibility work is busy seasonally ,work
good for learners with a bit low pace,
 good work life balance international company with chances to travel oversea workload is reasonable talent transfer across different bu team is welcomed,"work, balance, company"
good organization solid brand interesting markets good people,people
the people are generally really nice to work with good flexible working ,"work, flexible, people"
good work life balance inside the company,"work, balance, company"
lot to learn and lots of exposure,
good work life balance no need to work very long hours good benefits ,work
 extremely good for work life balance work with experience colleagues,balance
they have really good benefits generous pto sick leave and a real commitment to giving they have some flexibility in work schedules and telecommuting for many positions ,work
salary benefits work life balance benefits great people around many possibilities for horizontal advance financial markets experience ,"great, people"
lot of learning there is always something new at work,work
employee friendly company good work life balance,"balance, work, friendly"
good benefits good coworkers decent pay above average pto time including for volunteer work not all departments are bad there are some excellent leaders in the carrollton office and in their departments but the marketing dept is a significant trouble spot that the company refuses to address ,company
interesting clients nice ppl not many not many,
international standard big name in media and finance good environment you will feel amazing to work right company to work,"work, company"
the people and the knowledge you gain from working here ,"people, working"
flexibilite salaire benefits location restaurant,
good work life balance very laid back office environment competitive comp plan base commission quarterly bonus year one months because i started in late march year your provided with a nice set of tools to work with ,work
 balance work and life learning opportunities friendly workmates good culture and value good gym good opportunities to know each others in relating areas good cafeteria sailing,"friendly, culture, work, balance"
good work environment good management good team spirit good benefit friendly staff,"work, friendly"
exciting products and industry disrupter offering meaningful work great culture and very people focused company with true work life balance,"balance, company, people, culture, work, great"
es un puesto seguro se trabaja tranquilo las comisiones motivan a vender me gusta el edificio es una empresa grande donde se puede crecer en otras areas,
reasonable benefits and in some areas robust products not in others constant stream of acquisitions and mergers means their is constant business disruption which is unhelpful ,
the company has good reputation the welfare is ok ,company
muy organizada en forma global muy buen ambiente de trabajo al ingresar te das cuenta de la forma de trabajo que apunta a mejorar los procesos,
nice colleagues flexible working hour ,"flexible, working"
good laid back culture open door policy helpful team members good benefits and paid time off good work life balance,"work, balance, benefits"
the people are friendly and the company has good benefits and pretty good pay rate a lot of learning opportunities are available ,"friendly, company, people, pay, benefits"
great flexibility work hours and benefits a very fun and young atmosphere ,"work, hours"
some groups are better than others overall the vacation time was the best,
if you do good work and you are persistent you can find ways to move up at thomson great work life balance ,
fun environment good employee benefits salary is paid by th of every month which no company does work life balance no one asks to stretch ,company
nice location in seaport of boston,
great equipment work with latest technologies,work
great managers one of the best companies i have worked for amazing work life balance good work hours great maternity pay great annual leave hard work is noticed and rewarded ,"great, work, balance, hours"
 nice work life balance good hr policies nice people to work with,"work, balance, people"
brand for your resume you can have a good learning curve you can expect more of peer learning,
world s largest and best news organisation,
remuneração acima do mercado beneficios atrativos e produtos de qualidade possuem um foco em respeito sobre as diferenças fora o ambito mundial ,
work life balance is good,"work, balance"
great work life balance great coworkers interesting opportunities work from home if you like,"great, work, home"
life balance and friendly environment,"balance, environment, friendly"
excellent work life balance management is easy going and work pressure is as low as it be good option for people focused on company brand and historic financial exp tr is known for its ethics and integrity work ex in tr can get you a good job elsewhere too i hear best for managers and mid top level management hoping to take it a notch down,"pressure, company, people, management, work"
explore yourself till last breath,
 very good environment good recognition learning training environment culture is very important sharing caring appreciation activities are the good better and best,environment
reputable established company with many offices around the world some fringe benefits are offered ,"benefits, company"
a perfect company to start up your currier ,company
no work pressure cool management ,work
great company to work for,"work, company"
matched the money i put into my k,
diversity professionalism and global colleagues,
 work life balance plenty of work from home,"work, balance, home"
 good working environment great benefits and company outing,"environment, benefits, company, working"
great team good work hours management has vision for what they want editors are very qualified so i learned a lot ,work
i love working here they strive to create a positive culture and there are lots of opportunities for advancement ,working
i ve been working at thomson reuters for almost years and i m leaving because i need new challenges the company culture is great you can get a great salary great benefits lots of events to take part in people are nice and friendly overall has been a really good experience ,"great, culture, company, working"
accepting of many different cultures and backgrounds ,
 weeks paid time off to start somewhat flexible hours ,flexible
very good work life balance,
solid company to work for if you re looking for a large international employer they offer great products in the tax accounting division ,"great, work, company"
great opportunities if getting into right roles employee friendly,friendly
decent pay manager was good at what he does which was buffering us from the red tape and facilitate deals through all the inhibitors of a k employee company,company
open culture good opportunity to move to different teams,
large company many departments and positions ,
há bastantes cursos e aperfeiçoamentos que podem ser realizados pelos funcionários e são insentivados por ser uma multinacional há muito contato com estrangeiros o que ajuda a praticar o inglês ,
good training friendly and social colleagues ,friendly
a empresa te desafia foca no seu crescimento tem um ambiente muito bom pessoas ótimas de trabalhar uma empresa focada em ter resultados trabalha sempre com metas ,
great place to start a career ,place
good work life balance very good work culture,"culture, work"
the company is not easily affected by the financial crisis due to the large chunk of compliance business,company
buen lugar para trabajar ambiente agradable,
work from home option is available subject to you getting a manager who doesn t micro manage exposure to global products,home
em nossa empresa temos contato direto com diretores e gestores da nossa unidade de negocio temos varios cursos gratuitos podendo assim nos qualificar ainda mais em nosso dia a dia ,
work from home options and central office location ,"options, home"
good work life balance good environment to work always a positive feel co workers are good provide very helpful nature ,environment
great benefits holidays floating holidays paid volunteer days per year generous time off fairly flexible on hours in most departments ,"flexible, hours"
company working on transformation internally it is a great opportunity to participate in transformation journey great brand leadership product range trusted company by stakeholders quite active hr and people orientation is good many opportunities for people to grow internally,"great, company, people, working"
great company and culture good technology ,company
the money can be good if you get a good territory product and work hard ,work
chilled out work culture young crowd good bonus good cab facility and free dinner if staying late ,"work, free"
good environment to work good culture,"culture, environment"
pay is decent benefits good job can be great if you re in the right position ,"benefits, great"
great company for working moms ,"company, working"
excellent benefits good management can work remotely,work
great people and culture like to come to work vending machines are usually well stocked ,
great company to work for,"work, company"
thomson reuters has been a great company to work for management believes in transparency of communications empowering the employees to get the job done and a healthy collaboration workplace ,"great, work, management, company"
great office environment and atmosphere with a relaxed professional ethos great people and a very robust induction and training program the company ethics run through everything you touch ,"company, environment, people"
great salary industry leaders brand recognition,
good work life balance you learn a lot about the financial market if you want ,
flexible work hours are good ,"work, hours"
good workplace to work with,work
good environment nice company good salary hikes,
room for advancement friendly co workers ,
company tries to stay state of the art ,
great work life balance in most cases it depends on your boss good benefits good locations good employee programs courses there are some ways of recognizing achievements ,"work, balance"
work life balance diversity vacation and other benefits global company,company
great products friendly staff environment ,
i was able to work from home which was a nice perk and there were a great number of highly qualified excellent people at the company,"company, people, home, work, great"
good work life balance policy which is supported by management thus a good place to work in especially for mother with young kids ,"work, balance, place"
flexibility time off people learning location,
work culture and nice people,"culture, people"
we are looking for workers,
um dos pontos pontos positivos dessa empresa é a qualificação profissional que proporciona oferecendo diversos treinamentos e oportunidades como cursos de ingles e mais,
pto work life balance is good fun people to work with training is decent good place to go if your interested in how the law works spiffs and incentives are decent ,"work, balance, place, people"
excellent work live balance,"work, balance"
professional atmosphere lot of technical resources,
work life balance is good as working from home is not frowned upon,"balance, home, working"
work life balance culture is promoted by the company tons of opportunity for new employee who want to acquire new skills many bright and talent people you could meet there ,"culture, balance, people"
work life balance is good cabs are provided free innovative ideas are encouraged despite of shift timings employees can come at their own time lot of leaves,"free, balance"
some good compensation opportunities there are some great people you get to interact with,"great, compensation, people"
great company to work for ,"work, company"
work life balance is good good environment to learn and enhance you skills ,environment
great work life balance better than any job i ve worked before sales culture is fairly laid back and friendly however the managers expect high performance every month product is premium in the industry not hard to sell content more hard to sell price very expensive ,"culture, work"
 work life balance stability manager are friendly and reachable for anything ample opportunities,"friendly, balance"
best salary in industry good work place,"work, salary, place"
great work culture and decent benefits ,"culture, work"
ambiente agradável nome forte no mercado fornece formação em cursos rápidos há liberdade de horário ,
fun environment and they have great values,"environment, great"
some of the benefits and work life balance,balance
good environment and colleagues to work with wfh option flexibility in work hours,"work, environment, hours"
family and private life friendly workplace very flexible in terms of holidays and work from home yearly bonus corporate breakfast fruits and vegetables on every other day ,"work, flexible, friendly"
la gente y los compañeros buena conciliación vida familiar y laboral,
good work life balance good perks and encouraging management is the key factor for the growth and development one of the best places to work,"work, management"
friendly people excellent team work great work life balance constant training ,
good products and services to sell with many opportunities,
employee friendly amazing flexibility very good work life balance ,work
flexiable and good pay enjoyed year service at tr,
decent benefits good vacation which you ll definitely need nice campus the people are very nice across all levels,people
interesting work with banks and brokers you are given much freedom to develop your own career i am able to travel across europe they give me training on technology and financial markets ,work
good working culture decent compensation manager level micro management flexi timing,management
there are opportunities in different countries they are pro diversity social responsibility and takes talent development seriously by offering a lot of learning opportunities ,
excellent colleagues smart and motivated but see below top brand as financial services vendor so it s very easy to get in front of customers for sales or product feedback global footprint allows for mobility and learning but see below ,smart
health care insurance and on site clinic lots of microwaves freedom for parents to be flexible multi generational diversity exposure constant stream of talent coming and going,"insurance, health"
generally friendly people and made some lifelong friends inclusive culture and flexible working a given,"flexible, friendly, people, culture, working"
international exposure to high level contacts training opportunities and a broad range of positions within the company ,
the industry is going through a major shift so there are plenty of opportunities for people with a high level of tolerance to frustration ,people
good work culture work life balance,"work, balance"
great company good benefits and an inspiring community ,
solid company with proven products and strong positions in the industries in which they participate many of the benefits of a large corporation benefits resources systems etc management is largely fair to employees ,"company, benefits"
flexible start time remote work ,
major focus on marketing transformation under new cmo to improve marketing skill and marketing attributable sales corporate values trust partnership innovation performance strong commitment to diversity inclusion super smart and collaborative colleagues and very interesting work work life balance and workplace amenities like walking trails fitness center game room caribou coffee shop etc learning development opportunities and opportunities to be promoted,"smart, work, balance"
the people are the best thing about thomson reuters the company believes in continuing process improvement training and education it is very customer and employee focused employee metrics are clearly spelled out and expectations are communicated clearly management clearly appreciates employees and visa versa our corporate culture is driven from the top down by the ceo and it is embraced at all levels the company encourages diversity volunteer work and pro bono activity thomson reuters is a great example of a company that means what it says and demonstrates it daily ,"company, people, culture, work, great"
collegial atmosphere challenging work good benefits flexible working arrangements provides the ability to stay in touch with relevant changes and recent case law without the undue stress of a law firm practice ,working
good culture and people managers were very approachable and eager to offer assistance and advice overall good experience working as an intern ,"culture, working"
work life balance eagan campus beautiful co workers down to earth ,
ambiente entre colegas positivo possibilidade de atuar em projetos de estrutura global que possibilita contatos com outras culturas e times de diferentes backgrounds ,
very good company to begin your career with,company
good company to work for ,"work, company"
good work life balance employee friendly,"friendly, balance"
company is good less work pressure,"work, pressure"
lots of interesting and intelligent coworkers very fair benefits and salary the company is global so you work with people in all sorts of locations ,"company, work, benefits, people"
great group of people challenging environment with lots of upwards mobility,"environment, people"
entry salary is good professional environment,"salary, environment"
working with some of the best most intelligent people ,
great structure flexibility opportunities in global thomson reuters,
great work life balance makes it a great place to work,"work, balance, place, great"
allowed to work independently and to run my own team of engineers offshore upbeat happy people pleasant working environment casual dress code great facilities good local dining facilities ,"work, working"
good company to work for,"work, company"
lots of opportunity and potential,
great culture fun people excellent opportunities,
the espp program is well worth it ,
flexible work environment good work life balance interesting projects and very smart co workers overall the company treated me very well ,"smart, work, company"
great work environment decent career opportunities,work
good work life balance and benefits,"balance, benefits"
good benefits good work life balance some great managers some not so great organized sales channel we ll respected in the market ,"work, great"
great work life balance distinguished colleagues that are smart and ready to work generous work from home rules little drama but little excitement as well ,"smart, work, home"
salary work culture teams technology benefits and flexible timings,flexible
good raise good work culture work life balance cab facility,balance
thomson reuters is a great company to work for been here for a year and i m super excited for the coming years i enjoy every minute and i can be creative and people actually listen to what i say ,"great, company, work, people"
 flexible hours good benefits outside the workplace some k matching for example,"hours, benefits"
had one of the best work environment can learn and develop internally a lot decent hike,work
great work environment and good vibes,"work, environment"
innovative leader invest in improving offerings,
best platform for the freshers to work ,
we are unstoppable industry leader smart co workers and excellent growth strategy,smart
disfruto de mi trabajo en thomson reuters vacaciones sueldo y compañeros de trabajo buenos intentan fomentar un ambiente de trabajo ameno ,
interesting tech nice location friendly env,friendly
 some terrific people at this company tends to be good work life balance and flexibility there is a lot going on always something new to learn or do a very exciting engaging workplace ,"balance, people"
the company is two sided there s a client site building where you dress in suit and a techie side where you can dress casually because no clients go there the company is very relaxed you can work and listen to music and learn and experiment things to make the company grow you also build your career path yourself there is no set path you pretty much make your own path on what you want to be if you like flexibility then this is the company for you however for a trade the pay varies ,"work, pay, company"
flexibility and work life balance is excellent ,"work, balance"
found it to be very employee friendly,friendly
very good company to work for flexible,"work, company"
convenience if you live in area,
team work business engagment internal claim,
very structured and organized good benefits reasonable working hours and excellent working environment,"hours, environment, working"
solid products and industry events especially risk and compliance insights from the news team are a key differentiator ,
interesting colleagues in various departments,
flexibilidad horaria cumple con cosas como dia de estudios permite compensar horas toma gente joven y estudiantes sobre todo tiene muy buen clima laboral con gente predispuesta a ayudarte trabajar en equipo ,
