,Unnamed: 0,X1,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
174,175,21,Cutting-edge company on the forefront of fintech,3,Cutting-edge company on the forefront of fintech,cutting edge company on the forefront of fintech,company
175,176,21,Good training and development,5,Good training and development,good training and development,
176,177,21,"The benefits are some of the best you'll find in the business: No healthcare premium, great 401(K) match.",5,"The benefits are some of the best you'll find in the business: No healthcare premium, great (K) match.",the benefits are some of the best you ll find in the business no healthcare premium great k match ,"benefits, great"
177,178,21,"At the forefront of financial information, data and analytics.",4,"At the forefront of financial information, data and analytics.",at the forefront of financial information data and analytics ,
178,179,21,"Secured job, ok compensation",3,"Secured job, ok compensation",secured job ok compensation,compensation
179,180,21,You can be part of a company that has a significant impact on the financial world.,4,You can be part of a company that has a significant impact on the financial world.,you can be part of a company that has a significant impact on the financial world ,company
180,181,22,"- Lots of focus on development, growth - Great opportunities to work across teams - Strong, supportive culture that seeks to build bridges - Outstanding benefits",5,"- Lots of focus on development, growth - Great opportunities to work across teams - Strong, supportive culture that seeks to build bridges - Outstanding benefits", lots of focus on development growth great opportunities to work across teams strong supportive culture that seeks to build bridges outstanding benefits,"culture, work, benefits"
181,182,22,"Because of the initiatives Mike Bloomberg leads on climate, philanthropy etc. I feel proud to work here in a way I haven't at previous employers. Good benefits (esp health care), managers treat people well, high standards, smart colleagues.",3,"Because of the initiatives Mike Bloomberg leads on climate, philanthropy etc. I feel proud to work here in a way I haven't at previous employers. Good benefits (esp health care), managers treat people well, high standards, smart colleagues.",because of the initiatives mike bloomberg leads on climate philanthropy etc i feel proud to work here in a way i haven t at previous employers good benefits esp health care managers treat people well high standards smart colleagues ,"people, smart, work, benefits, health"
182,183,22,Eagerness to let people experiment with ideas that will bring personal career growth and company growth.,1,Eagerness to let people experiment with ideas that will bring personal career growth and company growth.,eagerness to let people experiment with ideas that will bring personal career growth and company growth ,"company, people"
183,184,22,Great benefits and work life balance.,5,Great benefits and work life balance.,great benefits and work life balance ,"work, benefits"
184,185,22,"Great benefits - 401k matching, great health insurance Free access to almost all museums in NYC Lots of opportunity for advancement Great work life balance",3,"Great benefits - k matching, great health insurance Free access to almost all museums in NYC Lots of opportunity for advancement Great work life balance",great benefits k matching great health insurance free access to almost all museums in nyc lots of opportunity for advancement great work life balance,"balance, insurance, work, benefits, health, great"
185,186,22,- Good name on the CV - Exposure to many different clients - Lot of time invested in training,5,- Good name on the CV - Exposure to many different clients - Lot of time invested in training, good name on the cv exposure to many different clients lot of time invested in training,
186,187,22,"Open culture, flexible, plenty of internal opportunity movement",5,"Open culture, flexible, plenty of internal opportunity movement",open culture flexible plenty of internal opportunity movement,
187,188,22,Great insurance coverage with benefits extended to one and all in the company. Pantry is second to none. Embrace diversity to the max!!,4,Great insurance coverage with benefits extended to one and all in the company. Pantry is second to none. Embrace diversity to the max!!,great insurance coverage with benefits extended to one and all in the company pantry is second to none embrace diversity to the max ,"benefits, insurance"
188,189,22,"ridiculous benefits, stunning office spaces, great culture",3,"ridiculous benefits, stunning office spaces, great culture",ridiculous benefits stunning office spaces great culture,"culture, great"
189,190,22,"Great people, great perks, great job right out of college",4,"Great people, great perks, great job right out of college",great people great perks great job right out of college,great
190,191,23,nice environment and nice staff,5,nice environment and nice staff,nice environment and nice staff,environment
191,192,23,"Great work life balance, focus on philanthropy, great team and coworkers, dynamic culture, fast-paced working environment, excellent benefits, high early career compensation growth.",3,"Great work life balance, focus on philanthropy, great team and coworkers, dynamic culture, fast-paced working environment, excellent benefits, high early career compensation growth.",great work life balance focus on philanthropy great team and coworkers dynamic culture fast paced working environment excellent benefits high early career compensation growth ,"compensation, work, great, working"
192,193,23,The office has a nice view of the water and Micheal Bloomberg is a great guy,1,The office has a nice view of the water and Micheal Bloomberg is a great guy,the office has a nice view of the water and micheal bloomberg is a great guy,great
193,194,23,Lots of training Good comps Great product Great global leaders,5,Lots of training Good comps Great product Great global leaders,lots of training good comps great product great global leaders,
194,195,23,A really great working culture,3,A really great working culture,a really great working culture,"culture, great, working"
195,196,23,"- Strong focus on positive and nurturing culture . - Great benefits , one of the best health insurance in the city - Good work life balance - Focus on continuous learning through many in-house training programs",5,"- Strong focus on positive and nurturing culture . - Great benefits , one of the best health insurance in the city - Good work life balance - Focus on continuous learning through many in-house training programs", strong focus on positive and nurturing culture great benefits one of the best health insurance in the city good work life balance focus on continuous learning through many in house training programs,"balance, insurance, culture, work, benefits, health"
196,197,23,Great benefits Slightly higher than average salary Free snacks/dinner or lunch Good working environment,5,Great benefits Slightly higher than average salary Free snacks/dinner or lunch Good working environment,great benefits slightly higher than average salary free snacks dinner or lunch good working environment,"salary, environment, benefits, working"
197,198,23,"Great Wellness, Health and Professional Support",4,"Great Wellness, Health and Professional Support",great wellness health and professional support,
198,199,23,"Best Culture, No Stress, Amazing Team, Free food",3,"Best Culture, No Stress, Amazing Team, Free food",best culture no stress amazing team free food,food
199,200,23,good culture really helpful colleagues,4,good culture really helpful colleagues,good culture really helpful colleagues,culture
200,201,24,"Culture is very welcoming. Lots of opportunities to give back, lots of internal issue groups to join, flexible schedules available.",5,"Culture is very welcoming. Lots of opportunities to give back, lots of internal issue groups to join, flexible schedules available.",culture is very welcoming lots of opportunities to give back lots of internal issue groups to join flexible schedules available ,flexible
201,202,24,"Great perks, culture and a lot of learning opportunities within the firm, pay well and you get a lot of exposure to different financial products and roles.",3,"Great perks, culture and a lot of learning opportunities within the firm, pay well and you get a lot of exposure to different financial products and roles.",great perks culture and a lot of learning opportunities within the firm pay well and you get a lot of exposure to different financial products and roles ,"culture, pay"
202,203,24,"Snacks, smart people, travel and good salary",1,"Snacks, smart people, travel and good salary",snacks smart people travel and good salary,"smart, salary"
203,204,24,"Great benefits and culture, my team also allows for great work life balance",5,"Great benefits and culture, my team also allows for great work life balance",great benefits and culture my team also allows for great work life balance,"great, work, balance, benefits"
204,205,24,"* Outstanding company to work for in terms of aptitude of people, healthy office culture, investment in product development and quality of product, relentless high touch focus on the customer. All the benefits you might expect from a global FinServ firm. 401k match, quality healthcare benefits, generous vacation time, in-office perks etc. * Generous base salary especially through career progression and... out-performance. Sales bonus compensation is not directly tied to target/quota achievement making for a much more consultative, relationship based and less aggressive sales environment for clients. Qualitative / culture based metrics ensure high performance is not only based on quota, territory etc. * Move towards more of a dollar quota culture in recent years is positive. Especially for Bloomberg terminal core sales staff this presents an opportunity to become a true enterprise account executive, versus traditionally selling units / terminals. This in turn becomes a more transferable experience. The high calibre sales people at Bloomberg I know of have embraced this change. * Exceptional sales support network for post sales client support from the Analytics department and wider product/support groups. This takes admin-weight off sales significantly and has improved massively over the last 5 years. * Whilst a healthy pressure exists to hit quota, Bloomberg sales is not a cut-throat sales environment like e.g. Salesforce. This promotes a much healthier, collaborative working environment where sales are not stepping on each other. There is monetary recognition of collaboration and other BBg culture metrics. * Strong culture of internal promotion especially into leadership positions -most of which are filled through home-grown talent. For me personally this was recognized through generous compensation at each stage. Still a concerning lack of female talent promoted to sales management, despite recent efforts to change this.",3,"* Outstanding company to work for in terms of aptitude of people, healthy office culture, investment in product development and quality of product, relentless high touch focus on the customer. All the benefits you might expect from a global FinServ firm. k match, quality healthcare benefits, generous vacation time, in-office perks etc. * Generous base salary especially through career progression and... out-performance. Sales bonus compensation is not directly tied to target/quota achievement making for a much more consultative, relationship based and less aggressive sales environment for clients. Qualitative / culture based metrics ensure high performance is not only based on quota, territory etc. * Move towards more of a dollar quota culture in recent years is positive. Especially for Bloomberg terminal core sales staff this presents an opportunity to become a true enterprise account executive, versus traditionally selling units / terminals. This in turn becomes a more transferable experience. The high calibre sales people at Bloomberg I know of have embraced this change. * Exceptional sales support network for post sales client support from the Analytics department and wider product/support groups. This takes admin-weight off sales significantly and has improved massively over the last years. * Whilst a healthy pressure exists to hit quota, Bloomberg sales is not a cut-throat sales environment like e.g. Salesforce. This promotes a much healthier, collaborative working environment where sales are not stepping on each other. There is monetary recognition of collaboration and other BBg culture metrics. * Strong culture of internal promotion especially into leadership positions -most of which are filled through home-grown talent. For me personally this was recognized through generous compensation at each stage. Still a concerning lack of female talent promoted to sales management, despite recent efforts to change this.", outstanding company to work for in terms of aptitude of people healthy office culture investment in product development and quality of product relentless high touch focus on the customer all the benefits you might expect from a global finserv firm k match quality healthcare benefits generous vacation time in office perks etc generous base salary especially through career progression and out performance sales bonus compensation is not directly tied to target quota achievement making for a much more consultative relationship based and less aggressive sales environment for clients qualitative culture based metrics ensure high performance is not only based on quota territory etc move towards more of a dollar quota culture in recent years is positive especially for bloomberg terminal core sales staff this presents an opportunity to become a true enterprise account executive versus traditionally selling units terminals this in turn becomes a more transferable experience the high calibre sales people at bloomberg i know of have embraced this change exceptional sales support network for post sales client support from the analytics department and wider product support groups this takes admin weight off sales significantly and has improved massively over the last years whilst a healthy pressure exists to hit quota bloomberg sales is not a cut throat sales environment like e g salesforce this promotes a much healthier collaborative working environment where sales are not stepping on each other there is monetary recognition of collaboration and other bbg culture metrics strong culture of internal promotion especially into leadership positions most of which are filled through home grown talent for me personally this was recognized through generous compensation at each stage still a concerning lack of female talent promoted to sales management despite recent efforts to change this ,"pressure, people, company, culture, salary, work, benefits, compensation, environment, working"
205,206,24,"Ethos, Benefits, Flexibile Working, Colleagues",5,"Ethos, Benefits, Flexibile Working, Colleagues",ethos benefits flexibile working colleagues,
206,207,24,"Prime office location, very nice office. Plenty of free snacks / breakfast / lunch and many activities.",5,"Prime office location, very nice office. Plenty of free snacks / breakfast / lunch and many activities.",prime office location very nice office plenty of free snacks breakfast lunch and many activities ,"snacks, free"
207,208,24,"Great workplace, positive people. Great work-life balance.",4,"Great workplace, positive people. Great work-life balance.",great workplace positive people great work life balance ,
208,209,24,Great culture and open opportunity. People are so hardworking and willing to help. Managers are very positive to your future plans.,3,Great culture and open opportunity. People are so hardworking and willing to help. Managers are very positive to your future plans.,great culture and open opportunity people are so hardworking and willing to help managers are very positive to your future plans ,culture
209,210,24,Flat communications. No bossy employee that I found in the office. Everyone was very friendly even in different dep people,4,Flat communications. No bossy employee that I found in the office. Everyone was very friendly even in different dep people,flat communications no bossy employee that i found in the office everyone was very friendly even in different dep people,"friendly, people"
210,211,25,"Viagens internacionais pagam para qualquer funcionário em business class. Hotel cinco estrelas, cartão de crédito para despesas, kitchen para café da manhã e petisco, excelente edificio estrutura excepcional",5,"Viagens internacionais pagam para qualquer funcionário em business class. Hotel cinco estrelas, cartão de crédito para despesas, kitchen para café da manhã e petisco, excelente edificio estrutura excepcional",viagens internacionais pagam para qualquer funcionário em business class hotel cinco estrelas cartão de crédito para despesas kitchen para café da manhã e petisco excelente edificio estrutura excepcional,
211,212,25,Great benefits and people and amazing place to work if you are good at networking,3,Great benefits and people and amazing place to work if you are good at networking,great benefits and people and amazing place to work if you are good at networking,"benefits, work, place, people"
212,213,25,Good company and offer good salary,1,Good company and offer good salary,good company and offer good salary,"salary, company"
213,214,25,"Lots of opportunities for projects, great compensation package, lots of perks in the office",5,"Lots of opportunities for projects, great compensation package, lots of perks in the office",lots of opportunities for projects great compensation package lots of perks in the office,"compensation, great"
214,215,25,"good office environment, techonology driven,young teams",3,"good office environment, techonology driven,young teams",good office environment techonology driven young teams,
215,216,25,Bloomberg is a great place to work...if you're in the right department,5,Bloomberg is a great place to work...if you're in the right department,bloomberg is a great place to work if you re in the right department,"place, great"
216,217,25,Great work environment. Great boss,5,Great work environment. Great boss,great work environment great boss,work
217,218,25,Potential to be more dominant than it already is.,4,Potential to be more dominant than it already is.,potential to be more dominant than it already is ,
218,219,25,You will be learning new things,3,You will be learning new things,you will be learning new things,
219,220,25,relatively good compensation compared to others,4,relatively good compensation compared to others,relatively good compensation compared to others,compensation
220,221,26,Development and company culture. Work and life balance.,5,Development and company culture. Work and life balance.,development and company culture work and life balance ,company
221,222,26,Fast moving You will learn at your own pace,3,Fast moving You will learn at your own pace,fast moving you will learn at your own pace,
222,223,26,"Good pantry, good health insurance",1,"Good pantry, good health insurance",good pantry good health insurance,"insurance, health"
223,224,26,Pay/benefits are great. The company is innovative and well-funded. The culture of philanthropy makes it worthwhile to go to work.,5,Pay/benefits are great. The company is innovative and well-funded. The culture of philanthropy makes it worthwhile to go to work.,pay benefits are great the company is innovative and well funded the culture of philanthropy makes it worthwhile to go to work ,"culture, company"
224,225,26,The benefits and unlimited snacks Free Health care Competitive 401k,3,The benefits and unlimited snacks Free Health care Competitive k,the benefits and unlimited snacks free health care competitive k,"snacks, benefits"
225,226,26,An AMEX with unlimited spend on business trips - which they will make you do a lot of unless you are on the helpdesk or get one of the coveted London based roles which are like gold dust,5,An AMEX with unlimited spend on business trips - which they will make you do a lot of unless you are on the helpdesk or get one of the coveted London based roles which are like gold dust,an amex with unlimited spend on business trips which they will make you do a lot of unless you are on the helpdesk or get one of the coveted london based roles which are like gold dust,
226,227,26,If you're interested in current affairs/ news and technology you can go in-depth and learn a lot. The job gives as much as you're willing to take from it; it's a fast-past and stimulating place to work.,5,If you're interested in current affairs/ news and technology you can go in-depth and learn a lot. The job gives as much as you're willing to take from it; it's a fast-past and stimulating place to work.,if you re interested in current affairs news and technology you can go in depth and learn a lot the job gives as much as you re willing to take from it it s a fast past and stimulating place to work ,place
227,228,26,"Great building, nice package such as health insurance options, etc.",4,"Great building, nice package such as health insurance options, etc.",great building nice package such as health insurance options etc ,"insurance, health"
228,229,26,* Free Snacks * Free Soup * Beautiful Pantry * HealthCare Benefits (BWELL),3,* Free Snacks * Free Soup * Beautiful Pantry * HealthCare Benefits (BWELL), free snacks free soup beautiful pantry healthcare benefits bwell ,
229,230,26,good work-life balance and benefits,4,good work-life balance and benefits,good work life balance and benefits,"balance, benefits"
230,231,27,They give you free cup of soup for lunch if you're desparate for food (you will be). But you have to hurry otherwise they run out and you are stuck with unhealthy snacks instead. The building is very nice but you're required to stare at Bloomberg's monitors all day long so it doesn't really matter. And they close the window blinds on you during the day so you can't even see the outside.,5,They give you free cup of soup for lunch if you're desparate for food (you will be). But you have to hurry otherwise they run out and you are stuck with unhealthy snacks instead. The building is very nice but you're required to stare at Bloomberg's monitors all day long so it doesn't really matter. And they close the window blinds on you during the day so you can't even see the outside.,they give you free cup of soup for lunch if you re desparate for food you will be but you have to hurry otherwise they run out and you are stuck with unhealthy snacks instead the building is very nice but you re required to stare at bloomberg s monitors all day long so it doesn t really matter and they close the window blinds on you during the day so you can t even see the outside ,"snacks, free, food"
231,232,27,"Learn product knowledge and finesse yourself to great sales, can have rewarding pay outcome",3,"Learn product knowledge and finesse yourself to great sales, can have rewarding pay outcome",learn product knowledge and finesse yourself to great sales can have rewarding pay outcome,"pay, great"
232,233,27,Good interest all love mercy,1,Good interest all love mercy,good interest all love mercy,
233,234,27,"It's great you don't need to be a manager to growth in your career. All the benefits including Sick days, healthcare, lunch, and snacks.",5,"It's great you don't need to be a manager to growth in your career. All the benefits including Sick days, healthcare, lunch, and snacks.",it s great you don t need to be a manager to growth in your career all the benefits including sick days healthcare lunch and snacks ,"great, benefits"
234,235,27,Fast paced. Good opportunities to travel and they don’t skimp on the perks. Also good opportunities to learn about financial markets if you don’t come from a financial markets background.,3,Fast paced. Good opportunities to travel and they don’t skimp on the perks. Also good opportunities to learn about financial markets if you don’t come from a financial markets background.,fast paced good opportunities to travel and they don t skimp on the perks also good opportunities to learn about financial markets if you don t come from a financial markets background ,
235,236,27,It's a great place to work.,5,It's a great place to work.,it s a great place to work ,"place, great"
236,237,27,Good work life balance Good management,5,Good work life balance Good management,good work life balance good management,"management, work, balance"
237,238,27,"Great working environment, Great people, Good pay for the amount of work. It will be a good company to retire but maybe not the best place to start your career if you have ambitions",4,"Great working environment, Great people, Good pay for the amount of work. It will be a good company to retire but maybe not the best place to start your career if you have ambitions",great working environment great people good pay for the amount of work it will be a good company to retire but maybe not the best place to start your career if you have ambitions,"pay, place, company, working"
238,239,27,"Lot a of varied work, with great chance to progress",3,"Lot a of varied work, with great chance to progress",lot a of varied work with great chance to progress,great
239,240,27,"- Generous health insurance - Usually not much OT (if you are in the right team) - Friendly coworkers - Harmonic culture means no one would scold you even if you constantly perform so poorly - Flexible work arrangement (work from home, late shift ",4,"- Generous health insurance - Usually not much OT (if you are in the right team) - Friendly coworkers - Harmonic culture means no one would scold you even if you constantly perform so poorly - Flexible work arrangement (work from home, late shift ", generous health insurance usually not much ot if you are in the right team friendly coworkers harmonic culture means no one would scold you even if you constantly perform so poorly flexible work arrangement work from home late shift ,"culture, work, insurance, health"
240,241,28,"Excellent mobility, great healthcare benefits, global culture, good systems and infrastructure.. all aimed at ensuring you can focus on work.",5,"Excellent mobility, great healthcare benefits, global culture, good systems and infrastructure.. all aimed at ensuring you can focus on work.",excellent mobility great healthcare benefits global culture good systems and infrastructure all aimed at ensuring you can focus on work ,great
241,242,28,"Benefits are outstanding, from medical to 401(k) match to vacation and some very nice colleagues, but the bloom falls off the rose after a few months at a firm whose original editorial chief built a culture of fear, an intense 10+ hour workday and a style that condones uniformity. Editorial folks' comp is good vs. what else is out there, and why many never want to leave.",3,"Benefits are outstanding, from medical to (k) match to vacation and some very nice colleagues, but the bloom falls off the rose after a few months at a firm whose original editorial chief built a culture of fear, an intense + hour workday and a style that condones uniformity. Editorial folks' comp is good vs. what else is out there, and why many never want to leave.",benefits are outstanding from medical to k match to vacation and some very nice colleagues but the bloom falls off the rose after a few months at a firm whose original editorial chief built a culture of fear an intense hour workday and a style that condones uniformity editorial folks comp is good vs what else is out there and why many never want to leave ,culture
242,243,28,Good dynamic and good place to learn. Good benefit,1,Good dynamic and good place to learn. Good benefit,good dynamic and good place to learn good benefit,place
243,244,28,Open culture Good work life balance Excellent health benefits Free drink and snacks,5,Open culture Good work life balance Excellent health benefits Free drink and snacks,open culture good work life balance excellent health benefits free drink and snacks,"snacks, balance, culture, work, health, benefits"
244,245,28,"Good perks, company culture and environment. Good salary, quick raise at the beginning Broad marke exposure, good training",3,"Good perks, company culture and environment. Good salary, quick raise at the beginning Broad marke exposure, good training",good perks company culture and environment good salary quick raise at the beginning broad marke exposure good training,"culture, company"
245,246,28,"Good salary, good benefits, open environment",5,"Good salary, good benefits, open environment",good salary good benefits open environment,environment
246,247,28,"Amazing buildings, smart people, global reach, great added benefits, and philanthropic investment.",5,"Amazing buildings, smart people, global reach, great added benefits, and philanthropic investment.",amazing buildings smart people global reach great added benefits and philanthropic investment ,"smart, great"
247,248,28,"Great product, good support structure, dependable colleagues, global firm with strong presence",4,"Great product, good support structure, dependable colleagues, global firm with strong presence",great product good support structure dependable colleagues global firm with strong presence,
248,249,28,"Fantastic benefits, including full health coverage and generous 401k match",3,"Fantastic benefits, including full health coverage and generous k match",fantastic benefits including full health coverage and generous k match,health
249,250,28,"good pay, good environment, friendly colleague",4,"good pay, good environment, friendly colleague",good pay good environment friendly colleague,friendly
250,251,29,"Friendly colleagues, might meet interesting clients, decent salary. Nearly impossible to get fired",5,"Friendly colleagues, might meet interesting clients, decent salary. Nearly impossible to get fired",friendly colleagues might meet interesting clients decent salary nearly impossible to get fired,
251,252,29,"Working for mike Bloomberg, great benefits and pay",3,"Working for mike Bloomberg, great benefits and pay",working for mike bloomberg great benefits and pay,"great, pay, benefits"
252,253,29,"good benefits, amazing offices, great health insurance, work with really smart people, lots of travel",1,"good benefits, amazing offices, great health insurance, work with really smart people, lots of travel",good benefits amazing offices great health insurance work with really smart people lots of travel,"great, smart, work, health"
253,254,29,- everyone is generally very willing to help each other - good working hours - generous insurance scheme and 401K - generous pay rises if you perform,5,- everyone is generally very willing to help each other - good working hours - generous insurance scheme and K - generous pay rises if you perform, everyone is generally very willing to help each other good working hours generous insurance scheme and k generous pay rises if you perform,"hours, pay, insurance, working"
254,255,29,Pantry & company benefits are very generous. People around you are very friendly. A great place to make friends,3,Pantry & company benefits are very generous. People around you are very friendly. A great place to make friends,pantry company benefits are very generous people around you are very friendly a great place to make friends,"benefits, great, place, company"
255,256,29,"opportunities open to employees. job swaps, relocation available. great work/life balance",5,"opportunities open to employees. job swaps, relocation available. great work/life balance",opportunities open to employees job swaps relocation available great work life balance,"balance, great"
256,257,29,"Good pays, great benefits, nice office space, good colleagues",5,"Good pays, great benefits, nice office space, good colleagues",good pays great benefits nice office space good colleagues,great
257,258,29,"If you're young, it will prepare you and help you get a job elsewhere.",4,"If you're young, it will prepare you and help you get a job elsewhere.",if you re young it will prepare you and help you get a job elsewhere ,
258,259,29,Very dynamic environment flat hierarchy easy to develop your career across different roles,3,Very dynamic environment flat hierarchy easy to develop your career across different roles,very dynamic environment flat hierarchy easy to develop your career across different roles,environment
259,260,29,* Good Salary * Good benefits,4,* Good Salary * Good benefits, good salary good benefits,benefits
260,261,30,* Good Salary * Good benefits,5,* Good Salary * Good benefits, good salary good benefits,benefits
261,262,30,- great benefits -hours are reasonable - the younger employees are highly motivated and intelligent,3,- great benefits -hours are reasonable - the younger employees are highly motivated and intelligent, great benefits hours are reasonable the younger employees are highly motivated and intelligent,"great, benefits"
262,263,30,collaborative place to work I would say,1,collaborative place to work I would say,collaborative place to work i would say,"work, place"
263,264,30,Good opportunities for work progress. Great training.,5,Good opportunities for work progress. Great training.,good opportunities for work progress great training ,work
264,265,30,"High compensation and job security compared with other media jobs. You have resources needed to do job well, brand gives access to sources, stories get high visibility. Generally work along talented colleagues.",3,"High compensation and job security compared with other media jobs. You have resources needed to do job well, brand gives access to sources, stories get high visibility. Generally work along talented colleagues.",high compensation and job security compared with other media jobs you have resources needed to do job well brand gives access to sources stories get high visibility generally work along talented colleagues ,"compensation, work, talented"
265,266,30,"OK benefits (Healthcare is not too bad, pension plan is medium, holidays are fairly good)",5,"OK benefits (Healthcare is not too bad, pension plan is medium, holidays are fairly good)",ok benefits healthcare is not too bad pension plan is medium holidays are fairly good ,benefits
266,267,30,Good office and working environment,5,Good office and working environment,good office and working environment,"environment, working"
267,268,30,"Ótima empresa para se trabalhar, como entry level é ótimo por ter a oportunidade de participar de projetos e desenvolver diferentes habilidades. Para a efetivação é bastante difícil.",4,"Ótima empresa para se trabalhar, como entry level é ótimo por ter a oportunidade de participar de projetos e desenvolver diferentes habilidades. Para a efetivação é bastante difícil.",ótima empresa para se trabalhar como entry level é ótimo por ter a oportunidade de participar de projetos e desenvolver diferentes habilidades para a efetivação é bastante difícil ,
268,269,30,"Dynamic, open environment with good work life balance.",3,"Dynamic, open environment with good work life balance.",dynamic open environment with good work life balance ,"work, environment"
269,270,30,Open culture and knowledge sharing People The company donates huge amount of profits to good causes Interesting projects Great Benefits,4,Open culture and knowledge sharing People The company donates huge amount of profits to good causes Interesting projects Great Benefits,open culture and knowledge sharing people the company donates huge amount of profits to good causes interesting projects great benefits,"culture, company"
270,271,31,"They really look after their employees with fully-stacked pantry, company socials, annual summer party, top-end insurance and other benefits",5,"They really look after their employees with fully-stacked pantry, company socials, annual summer party, top-end insurance and other benefits",they really look after their employees with fully stacked pantry company socials annual summer party top end insurance and other benefits,"company, benefits, insurance"
271,272,31,"Pay and benefits Free food, snacks etc",3,"Pay and benefits Free food, snacks etc",pay and benefits free food snacks etc,"snacks, benefits"
272,273,31,"A lot of bright people working with you or near you, agile is growing in the company, good work environment, nice desks, there is the pantry, which is really nice, view to St Pauls, nice perks, many courses to learn new things, in most teams a relaxed environment, you work for someone much better than Trump.",1,"A lot of bright people working with you or near you, agile is growing in the company, good work environment, nice desks, there is the pantry, which is really nice, view to St Pauls, nice perks, many courses to learn new things, in most teams a relaxed environment, you work for someone much better than Trump.",a lot of bright people working with you or near you agile is growing in the company good work environment nice desks there is the pantry which is really nice view to st pauls nice perks many courses to learn new things in most teams a relaxed environment you work for someone much better than trump ,"work, people, working"
273,274,31,Very philanthropic company. Encourages open communication. Pays at par with other big tech firms.,5,Very philanthropic company. Encourages open communication. Pays at par with other big tech firms.,very philanthropic company encourages open communication pays at par with other big tech firms ,
274,275,31,"Competitive salaries, great benefits (health, 401K), good offices",3,"Competitive salaries, great benefits (health, K), good offices",competitive salaries great benefits health k good offices,"great, benefits"
275,276,31,Adequate salary Good benefits Excellent office environment,5,Adequate salary Good benefits Excellent office environment,adequate salary good benefits excellent office environment,"salary, environment, benefits"
276,277,31,- Great Training! Expect at least 2-3 months of classroom training on everything from the basics of financial markets to the most advanced topics of Fixed Income and Equity derivatives - Provides amazing insight into giving a good customer experience - ,5,- Great Training! Expect at least - months of classroom training on everything from the basics of financial markets to the most advanced topics of Fixed Income and Equity derivatives - Provides amazing insight into giving a good customer experience - , great training expect at least months of classroom training on everything from the basics of financial markets to the most advanced topics of fixed income and equity derivatives provides amazing insight into giving a good customer experience ,
277,278,31,Great health insurance. Larger company has performed well.,4,Great health insurance. Larger company has performed well.,great health insurance larger company has performed well ,"company, health"
278,279,31,I have knowledge about research and I like to research so I chose this,3,I have knowledge about research and I like to research so I chose this,i have knowledge about research and i like to research so i chose this,
279,280,31,Work culture is something unique. Flat management structure. Nice colleagues,4,Work culture is something unique. Flat management structure. Nice colleagues,work culture is something unique flat management structure nice colleagues,"culture, management"
280,281,32,Very flexible daily working style,5,Very flexible daily working style,very flexible daily working style,"flexible, working"
281,282,32,"Global Mobility, Lots of career opportunities to explore",3,"Global Mobility, Lots of career opportunities to explore",global mobility lots of career opportunities to explore,
282,283,32,"Good pay, good food and good people",1,"Good pay, good food and good people",good pay good food and good people,"food, people"
283,284,32,"Good training program for new grads, good work-life balance",5,"Good training program for new grads, good work-life balance",good training program for new grads good work life balance,balance
284,285,32,"salary, people, location, training, technology",3,"salary, people, location, training, technology",salary people location training technology,
285,286,32,"Great benefits, work life balance not so bad",5,"Great benefits, work life balance not so bad",great benefits work life balance not so bad,"work, balance"
286,287,32,"good culture, well training and pension fund plan.",5,"good culture, well training and pension fund plan.",good culture well training and pension fund plan ,
287,288,32,- Great salary/bonus - Pantry with lots of food and drinks - Lots of people to network with - Beautiful office,4,- Great salary/bonus - Pantry with lots of food and drinks - Lots of people to network with - Beautiful office, great salary bonus pantry with lots of food and drinks lots of people to network with beautiful office,"food, people"
288,289,32,Health Benefits. Open and transparent office.,3,Health Benefits. Open and transparent office.,health benefits open and transparent office ,
289,290,32,"flat structure, interesting and competent colleagues, good salary and benefits, opportunities for advancement",4,"flat structure, interesting and competent colleagues, good salary and benefits, opportunities for advancement",flat structure interesting and competent colleagues good salary and benefits opportunities for advancement,salary
290,291,33,Benefits package is top notch,5,Benefits package is top notch,benefits package is top notch,
291,292,33,- Pantry - Nice office in central location,3,- Pantry - Nice office in central location, pantry nice office in central location,
292,293,33,"Open cultural, places to learn knowledge, experiences",1,"Open cultural, places to learn knowledge, experiences",open cultural places to learn knowledge experiences,
293,294,33,Long term thinking and investing in products coming from the philosophy of the major share holder,5,Long term thinking and investing in products coming from the philosophy of the major share holder,long term thinking and investing in products coming from the philosophy of the major share holder,
294,295,33,"Food, Health Care, Snacks, Early bonuses, Early raises.",3,"Food, Health Care, Snacks, Early bonuses, Early raises.",food health care snacks early bonuses early raises ,
295,296,33,Free food in pantry; good healthcare benefits,5,Free food in pantry; good healthcare benefits,free food in pantry good healthcare benefits,"food, benefits"
296,297,33,"Flat, Diversity and great work life balance",5,"Flat, Diversity and great work life balance",flat diversity and great work life balance,"work, balance, great"
