"","cons_page1"
"257","While I'm pretty sure that upper management has little interest in advice from former employees, I'd suggest viewing employees as valuable, intelligent assets to the company rather than interchangeable and outsourceable resources.  Or not.  They seem to enjoy the way things are..."
"258","Terrible product schedule and no nearby labor to support.  All programmers and admins outsourced. Management misleads.  Crazy promotions.  Hrd to get anything done when the good people are gone.  Ones staying are those entitled and paid to do very little while making it seem like they do a lot.  Government and Dept of Labor probably should look at this place over the past couple years.  Especially New York and... Berkeley offices. Some crazy unspervised staff. Jungle ambiance.  A lot of politics.  Paranoia.  Backstabbing. Really bad moods and stressed out groups.  Good workers at all levels are leaving for the competition. No real teamwork or consistent results."
"259","Try going a year without salary like others did during the rough times.  Put that money into the company and salares.  And during that time keep a few more people nearby their teams.  At all levels.  Take a look at who really does work, not just who has connections to your neighborhood or colleges.  Treat people better.  There's still time to regain some losses."
"260","Didn't always have control of projects.  Often long hours being a start-up."
"261","I wish you hadn't sold us, although I did ok with the stock options"
"262","Not a lot of room to grow, lack of leadership"
"263","Work on developing your employees"
"264","Too many too mention. Start with poor senior leadership and add a highly political, paranoid, secretive and distrustful culture where backstabbing and little respect for the individual is standard operating procedure. Then throw in a complete lack of resources and the need to work 24/7 in order to try and accomplish the simplest task with co-workers and vendors in emerging (i.e. cheaper) markets, and you have a... totally dysfunctional and toxic environment that smart, committed and talented professionals will want to avoid."
"265","There are some good members of the management team at MSCI. These managers, however, are outnumbered by the poor managers. CEO Henry Fernandez needs to clean house starting at the top."
"266","MSCI needs to work on making the salaries more competitive than the current level. Sometimes, it appears as though the top management is more reactive than proactive in its approach to dealing with issues."
"267","Work on compensating employees better"
"268","It is almost inevitable to suffer from the growing pains of getting larger by acquiring other firms. The mixture of company cultures is always a challenge."
"269","Keep trying to maintain employee engagement! This time try to make it clearer for the employee to understand the value and purpose of what MSCI does."
"270","too much work pressure! Needs to provide more career advancement opportunities! Hope the situation improves. Recently there has been lot of employee attrition!"
"271","Focus on employee benefits"
"272","not much room for upward advancement
long hours and global conference calls multiple times a week
politics, especially at the ED level and upward"
"273","develop people
communicate more"
"274","Too much outsourcing. IT/Tech leadership is laughably bad."
"275","Hire a CIO/CTO so current tech leadership cannot snow senior management about how out of their depth they are."
"276","Salary and title variation among employees with same experience (Sometimes less experience) 
Politics 
Lack of career growth
March April and May Tornado season"
"277","Should also communicate with the non-officer level employees regarding the projects rather than just managers."
"278","interupted IT ops
Research in knots, mgrs here chaotic and stressed
grouch manipulative corporative services. also stress
slow salary raises"
"279","work on communication. teach newer officers on west coast and other places how to handle stress.  get them to talk nice to staff, juniors, venodrs and clients.  we look really bad sometimes by their behaviour. Plus it stops trust.  So please give them more training or build tteam and help everybody with projects"
"280","Terrible career development. People sitting on the same jobs for three to five years. Promotions are given to people without having the merit. Compensations depends on your initial negotiation and not a reflection of your job."
"281","Loosing great talent because of no career development"
"282","- Stifling corporate atmosphere, unpleasantly political.
- Terrible promotion process, absolutely not based on any merit, purely 'game players' who get ahead, this feeds into an apathetic career-progression concept.
- Over-reliance on developing region offices where costs may be cheaper but the quality often isn't there."
"283","- Get rid of gimmicks like employee surveys and actually talk to the people that do the work, senior management are far too aloof and separate."
"284","- Always Risk of Job due to peer pressure from other locations.
- Heavy politics due to regional set up.
- No Control to local management.
- Limited or no career growth and reason is company is not growing at all due to market sentiments."
"285","They need to understand Indian Job market and need to provide employee empowerment to contribute better."
"286","limited learning and developement rooms"
"287","Career developmet.  Hard to see and talk to very senior managers."
"288","No professional growth, no leadership from higher positions, repetetive activities and no salary increases. Ironically, HR tells the employees that a good performance in the annual evaluation has nothing to do with a salary increase."
"289","Provide more opportunities to employees."
"290","Training should be improved towards domain knowledge."
"291","Its been a good experiance and concerned management"
"292","Top executives are only focused on revenue growth and shareholder return, not employees. This creates a culture where there is a lot of uncertainty about what top management will do in the short or medium term."
"293","Spend more time with the company, less chasing revenue growth."
"294","The culture and soul of the company is lacking.  Make no mistake, it's a corporate environment with strict security and compliance guidelines.  At times it can be stifling. Also, the perpetual chasing of countries with lower cost employees doesn't help the morale of those in developed markets.  You can either hate it or get ahead of the curve.  The company pays decent salaries but it is by no means generous with the... perks.  Flying internationally in coach for 15 hours gets old.  It's possible to fly business class but good luck finding that for under $5k as required by policy.  As I said, it has more of the traditional corporate culture. 

Also, the Sales teams clearly run the company.  It's probably like this at many other companies but I don't find it a positive characteristic of working at MSCI."
"295","Continue to find ways to bring teams together.  Offsites or other meaningful investments to bring teams together would go a long way. Globally dispersed teams makes building meaningful professional relationships and rapport much harder.  It's just not as much fun coming to work if you never see your co-workers."
"296","EVERYTHING about it. Worst structure I've ever come across."
"297","None because they only listen to their inner voice which tell them to ONLY grow one-self and ignore the rest of the hard working folks."
"298","Top heavy employee structure, relatively bad career path potential"
"299","Very-very weak middle and senior management
Operations outside the headquarter are fully controlled, no way to be creative and come up with new ideas.
Terrible internal procedures (""be bulletproofed"")
ZERO INTERNAL CAREER OPPORTUNITY!!!!!!!!!!
From emerging countries, there is NO WAY TO MOVE to developed location
To get a higher level position, it's easier to leave the firm and apply to the position from... outside than be promoted"
"300","Base the company on the several exceptional individual instead of transform them to well payed slaves."
"301","Too many managers and very few people who do the real details work."
"302","weird culture because of many acquisitions, terrible computing infrastructure, business is facing tough competition, internal politics is huge and firm really needs to be structured to align different business groups."
"303","my managers are pretty good for the most part. by your mileage may wary since there are some bad managers that i have heard about"
"304","business lines could be more integrated"
"305","Should have an employee rotation program across business lines"
"306","There is no salary scheme."
"307","Have better understanding in career development."
"308","Really inefficient systems, and old original offices never easy to work in.  Inconsistent and Adversarial office management.  Too many VP's and even a few more senior staff running around doing very little except dressing up and smiling when head honchos are in town.  Severley technically deficient managers esp in project managing.  Severely untrained  other managers/officers in general office management, who  are... stubborn and stressed, at times, even abrupt and unpofessional to outside and inside.  A lot of bad promotions past couple years, coming where politically calculated.  Hard to really see how the company can go forward with so much bad behavior and morale. Unrealistic deadlines in general for new product, and with terrible home office management and lack of consistency, even crazier atmosphere."
"309","- Compensation was not good, and they often renegged on compensation promises.
- MSCI snuffed out many of the best aspects of the culture when they made the acquisition. It became less innovative, and people who were once empowered entrepreneurs were turned into drones."
"310","Invest in your people, don't just enrich yourselves from their efforts."
"311","Fully controlled, no way to be creative and come up with new ideas.
Terrible internal procedures (""be bulletproofed"")
ZERO INTERNAL CAREER OPPORTUNITY!!!!!!!!!!
From emerging countries, there is NO WAY TO MOVE to developed location
To get a higher level position, it's easier to leave the firm and apply to the position from outside than be promoted.
No real life as you have to be in the office day and night."
"312","Als je niet comfortabel bent met processen is dit niet de werkomgeving voor jou. Bovendien, als je niet het soort persoon bent die op de kleinste details let zal MSCI niet de advies werkomgeving voor jou zijn."
"313","Behoud de platte organisatie"
"314","~ email driven culture driving inefficiencies  
~ incompetent middle management
~ Dont be fooled, Sales is order taking from management and heavy policing (particularly  index sales) across the market forcing licensing
~ Artificial culture where everyone is looking for company-wide exposure and a false sense of 'excitement' exists
~ MSCI needs to recognize that they are just a data vendor - no more
~... Unfortunate Investment banking culture which should not be present
~Promotion is based on politics and how many emails you have sent to gain exposure to senior management, be prepared"
"315","Long working hours, very global so a lot of meetings at odd hours, not a lot of mobility across job functions, strong push to move jobs to cheaper locations."
"316","Blame game, Machiavellian politics between groups and individuals. 
Corporate culture is almost the opposite of teamwork; rather, people try to CYA all the time. 
There is a negative view permeating the company of “failure” be it actual or perceived. People are therefore understandably afraid to try new things, do green-field research and proof-of-concept projects, etc because of the risk of failure, which is... inherent in these sorts of endeavors.
Zero focus or value placed on career development; people essentially get stuck in their role with no opportunity or catering toward improving their skills or moving to higher levels on their career path.
Non-technical managers hired to oversee technical functions leads to poor decisions, political battles, disenfranchised and frustrated staff.
Focus on cost-cutting and maintaining margin means innovation does not thrive, since the focus is always on feature development that is promised to bring in new customers.  
Lots of jobs transferred offshore, which makes software engineering efforts difficult to complete and very inefficient."
"317","If satisfied with how the company is operating then don’t change anything; however, if unsatisfied, be prepared to embrace significant cultural and operational change that will make everyone, up to the senior level of management, uncomfortable at best."
"318","Management can be very distant"
"319","Too much greed. Comp doesn't reward hard work nor results. Or is it only top management who gets well paid?
Career upside is only for sales people 
Hectic. TOO MUCH politics."
"320","Stock price isn't a culture."
"321","Not too many opportunities for career development."
"322","Top heavy structure, with the critical junior functions scattered.  Just a few of the lower levels in home offices.  But mostly frozen by paranoia and politics.  Only those folks affiliated by schools and/or clubs of senior managers appear to be given (too much) liberty.  Stagnating office ambiances, especially in California. Frequently traveling or outside meetings take priority.. New York not far behind.  Indeed... the home offices seem to be in rivalry of a strange sort.  With little appreciation over the years for anyone who has tried to call attention to problem ops or staff.  So the Company is run a la Boiler Room style, with the club aspect, then token quota hires protected.  Then the alienated, overworked outsiders, who can easily be targeted, are left to do the work of many and not allowed advances very much.   And horrible HR; frequently absent and easily irate. Given to rudeness and error, especially when new staff joins. Really bad hires and practices over years. With little room for correction.  Or coherent, timely product creation.  Uninterested, often irrational senior staff. And they too can be conveniently absent.  Newer packages stalled. Competition catching up."
"323","When will you allow for real team work and stop favoring ineffective soldiers?  Why are you hiding so much?"
"324","The salary structure is such that there is no tax savings."
"325","Realign the salary structure."
"326","Management likes to dangle the promise of a raise or promotion over you without delivering, or only halfway delivering. There are several here who describe getting a promotion, but not a raise that should come with it. Communication is abysmal, particularly inter-departmental. And empire building practices have gone on for many years, leaving the company very segmented and a refusal to improve processes. Too many... jobs being pushed to Developing Markets without regard to quality of work. Metrics setup for helpdesk that a toddler could game."
"327","Take care of Developed markets and pay raises as well as Developing Markets."
"328","RiskMetrics was never a very large company in terms of headcount, job turnover was relatively low for the industry, and opportunities for advancement were consequently few.  Management structures were reorganized frequently, but never to very great effect.  Sometimes it seemed like they were just reshuffling chairs.  There was a core group of people with a lot of equity who were effectively a protected class, and... over the years a few of them were warehoused in ineffective roles just to keep them around.  There was a lot of gossip and back-biting, which could sometimes amount to a meaningful distraction."
"329","I still consider Ethan Berman the smartest and most effective senior executive I've ever worked for.  He cared about every employee of the firm, and demonstrated it by his actions in matters large and small.  He treated everyone with respect and integrity, made sure that the overall mission of the firm was clearly communicated, and that everyone understood how their role fit into that mission.  Moreover, he made... sure that everyone shared in the firm's financial success at least to some extent, so that every employee felt that they had some skin in the game.  I wish more companies were like RiskMetrics in that respect, and that more CEOs were like Ethan."
"330","Need for providing better understanding of other departments, clarity on how one section of work affects or impacts the other leg ."
"331","Great"
"332","Working with the Barra model can become challenging because of the high level of statistical expertise that can be required. Atmosphere tends to be quiet which to some people is a negative."
"333","Be more proactive in alerting employees to areas of improvement while they are on the job - I was disappointed by the lack of feedback."
"334","Lousy management team, cheap, unproductive work space, smart people who should stick to their jobs and remember they are not qualified to tell other people how to do their jobs."
"335","The CEO should clean house -- starting with his direct reports."
"336","Mid size company that acts like a big company. Its hard to get things done and it can be frustrating."
"337","They need a greater focus on career development."
"338","There needs to be more career development."
"339","This review only applies to IT Data management department of MSCI..

1) At the time of recruitment, they will use the words like data structures, algorithms, highly multi threaded applications and low latency systems. In reality you find nothing interesting there. 
2) They always work in fire fighting mode with little planning.
3) They are not interested in improving upon the way software development is done....
4) Entire IT Data management department  is nothing but a extended PRODUCTION SUPPORT which doesn't need good software developers.
5) People are not treated with respect.
6) Higher management is very closed minded."
"340","1) Please tell the truth at the time of recruitment that candidate is being hired for PRODUCTION SUPPORT only. You do not have any software development opportunities. 
2) In meetings, Please do not tell that you planning to make this company like Google in terms of software development, when you clearly know  that you do not have any plans for the same."
"341","People are made to work days and nights without resting, anytime something goes wrong, although at bonus time, that is quickly forgotten. Management never backs the employees because they are all scared for their own jobs.  There are only a handful of women, because they RARELY choose any woman that is interviewed, and women are not promoted, so if you are a woman, expect that you will never move up (even after they... were asked, and have taken on the additional responsibility of the position and they are already doing the job).  The employee surveys every year show that the employees are VERY dissatisfied and do not trust the management.  I wonder if they will ask us to fill out those surveys next year... I doubt it."
"342","Fair employment practices would be a good start.  Get rid of the ""good ole boys"" club mentality and hire some brilliant women to change the environment for the better.  Provide promotions to ALL employees when they take the position - this is such an abuse of your people."
"343","Culture and mass exodus of IPD"
"344","Comparing working experience with competitors, MSCI is the worse. 
For 5 years, I have been working in different IT departments in various managerial roles. There were shades of differences, though all were hectic, toxic and unpredictable.  
The most expensive people bought, but noone gives a dam on their opinion. 

Management: 
Top management has a sick view of how to manage business/departments/people likely... from a warehouse from the 80s. They prefer to manage business based on feelings/presumptions. Departments managed by status quo-leaders without clear roles & responsibilities. It is the heaven of blame and conspiracy. 
Business leadership: -seems to be incompetent to do the very basics like ROI, TCO. For certain units, that would mean split of from MSCI. Client management is done via  ineffective, rigid and non-transparent ""habits"". Zero internal standards. 
IT mgmt: The company has changed its IT mgmt completely and still all issues remained so these  are rooting from the very top. 
Service mgmt doesn't exist. 
People mgmt looks like as if the golden rules of a leadership cookbook would have been turned around. Trust, motivation, support, transparency and responsibility are myth. 
There were poor attempts of external audits to move out from the swamp, though all ended up with a comedy of doing nothing. 
The last 2 surveys resulted ~20% satisfactory amongst IT staff. ...which company can afford to do nothing on such a low score?

Racism:
People working in Berkeley/NY/Geneva are the first class citizen and can do/screw literally anything without consequences, unlike the other offices, which are count as the ""lower class"" crowd. Senior managers are not even hiding this fact. 
First class leaders systematically keep second class citizens in fear, looking their entry/exit time and NOT looking actual performance. Often undermining professional reputations to keep their status quo. Roles are unclear and blurred. 
Innovative ideas are killed in the first place . 

Systems:
The previous IT mgmt screwed the design of the current systems, therefore availability, sustainability and reliability is worsening. The new mgmt in general seems to be incompetent to cope with this challenge. They brought over 100 consultants (the entire IT is around ~700 FTE), screwing the budget and therefore could not staff up the operations."
"345","Time to retire, folks ..."
"346","Some employees lack essential communication skills. Management does not always seek input from front line employees."
"347","Put more resources toward training. Be more open about promotion and compensation policies. Seek input from employees at all levels of the organiazation."
"348","playing space less accessable, cab facility not very well organized"
"349","Keep up the good work. Cafeteria should have more options"
"350","General direction of the firm is cost cutting and migration of work to centre at developing area such as Mumbai and Manila. Little to none room to grow for back office stuffs. Paid is just average or below average compare to the industry."
"351","Not much space to grow and develop.If u r not in the core team with supportive manager, u r basically invisible, particular for those manager and staff are not in the same location. You may never get chance to meet your teammates/ manager for yrs. unpredictable change sometimes."
"352","Invest more for the current staff. Select right person at manager position.Engage staff more in firm level strategy."
"353","Not much culture at all, nor effort by management to have one."
"354","Agressive cost cutting gets rid of knowledge without replacement for it, older 10+years employees fired, they can not be adequately replaced by newcomers. Slightly sexist attitude in promotion, know many female colleges standing in place since year well deserving promotion."
"355","Don't loose your valuable old time employees, four newcomers even won't make up for the knowledge and connections built by them lost. It is not worth it. You should appreciate their long years, they stayed because they were dedicated and loyal, you have no idea what the new hires will be like yet, but in order to reach it all it will take years, bad deal made. Appreciate your many-years loyal workers or soon their... loss will be felt heavy."
"356","Some satellite offices may feel a little cut off from the corporate HQ in NY"
"357","After several mergers, the company has experienced many management changes and as a result lost good talent and good managers. Only certain types of people survived."
"358","The company kept people who are loyal to the company, and lost people who are well liked by customers."
"359","compensation is low. people around are not very strong"
"360","no work from home facility available."
"361","Erratic management
Very political
No clear path to career growth"
"362","Continuously changing strategy. Directionless investing."
"363","Put 75% of your effort on long term projects and 25%on current issues."
"364","culture is odd, very political"
"365","Too much of Work load for the technical team."
"366","Not very easy to get an opportunity to re-locate to abroad."
"367","Weak and heavy mid-level management"
"368","too much micro management and politics."
"369","Departments are disjointed
Though there is room for advancement, you had better be in one of the big offices (NYC, London) or your entire department can be invisible
NO overarching strategic vision especially with smaller, newly acquired projects"
"370","There's some great talent around the company. Identify it, support it, and strengthen the future of the company."
"371","focus too much on short-tem strategy and less on technology"
"372","Management should be proactive.
Should avoid layoffs at 11th hour."
"373","Seriously? When I left the company, I had a few days of unused vacation. HR told me they would pay it out on the following pay period. That did not happen. This is just one more real life example of how disappointing it is to work at MSCI."
"374","limited career development and mobility opportunities"
"375","Unattainable sales targets. They are bleeding asset managers try in a time where active management fees are shrinking. They expect 3+ years of double digit growth but they haven't created anything new or innovative in years"
"376","Focus on your employees more. We've doubled the stock price in under a year. Stop being greedy and reinvest in the culture you once had."
"377","experienced candidates are always preferred"
"378","Consider freshers only if you mention"
"379","Living off of its legacy
Lots of overpaid people who were let go from the Street
Lots of vanity metrics and process
Top heavy, inefficient, stagnant management bureaucracy
Constant fire fighting
Two tiered culture (domestic vs foreign)
Engagement surveys that go nowhere
Lack of strategic vision"
"380","Can a bureaucracy fix itself?"
"381","CEO pushing so hard for cost containment that it is hollowing out the company talent pool. Operates like a small company still trying to make it, not a corporate powerhouse that the marketing slicks show."
"382","Talent is not a commodity, and you cannot turn commodity employees into talent overnight. 
Invest for the long run."
"383","If you are a tech person then you will be in the bottom of the food chain. Most of the experienced and talented developers have left and leaving every month. 

They are also slowly killing the old culture that made me pick this company when I was looking for a job.

Some senior upper management officers are biased against women devs."
"384","Stop treating the lower level employees as Walmart treats the store employees. These are the people who are building your product that you sell."
"385","Repetitive nature of work in the data management space"
"386","Growth may be slow. But really there are no CONS as such"
"387","None from my side as of now."
"388","MSCI is going through a growth process. While growing pains exist, we have to remember that Rome wasn't built in a day."
"389","Continue to push forward with the efforts of inclusion and communication."
"390","Needs to work more on developing a clearer career path, especially for those employees working outside the U.S."
"391","None at least for me"
"392","-"
"393","You are joining a hood gang, if you are not part of OK(Norman). you will be suppressed and exploited. Client is last to be considered. You have to be scared of everyone, your opinion does not matter. If you loose a client, you are fine. If you comment of wrong doing of Norman gang, then you are in trouble."
"394","Make up your mind, if you keep changing your mind. Organization get disrupted. People just talk on how to survive and which group should they part of"
"395","- The only cons I have is that the benefit package is very sub par compared to other firms I worked for in the past.

- work load can be huge at times but that is every job"
"396","I actually really like management.The only thing I will comment on is remember the goalis ""One MSCI"" I have witnessed too many times inter department querels."
"397","laid bank attitude, bureaucracy type processes, no clarity from top management, CXOs keep changing very often. Stability at the top is missing"
"398","Get the vintage employees up to the market in terms of compensation. You hire new employees at higher cost with less experience. Disparity in compensation is evident."
"399","Haven't experienced any such thing yet"
"400","Very long working hours mostly."
"401","Nothing specific."
"402","Constantly changing organization
Constantly changing work process
Teams are widely spread globally causes communication problems"
"403","Old technology
Less opportunity to grow"
"404","Add more platforms and fresh technology"
"405","Losing great talent - cost cutting and not recognising the value of experience and knowledge - Management treat people like numbers"
"406","retain your talented people"
"407","Remote management. When the cat's away, the mice play.  So ya get a disorganized client process. A lot of stop and start with little direction or help from senior staff.  No great rewards either.  Ya get a lot of competitive project building.  So folks don't always get what they need to move along a project.  Stalled progress and very little trust.  And then you get a very scary (moody) corporate services upper... management on the regional side.  Fits and starts.  Lazy and tricky. Protected by parties and entitlement. It's never a great ambiance to work in."
"408","visit the offices more and keep training the managers, even if they can't be trained."
"409","Very unclear direction or strategy. Firm has a reputation for not being true to their word with clients.  

Culture of convenience rather than correctness. Product roadmap is unpredictable, and changes on a whim. 

Very top heavy. Upper management believes the company and employees operate in a certain way which is usually completely different than what really goes on day-to-day. 

People are not usually held... accountable for errors or mistakes. Many team leaders avoid conflict so a lot gets shoved under the rug."
"410","Do not put people in leadership positions who don't belong there. Just because someone has been at the company for a long time doesn't mean they should be leading a team. 

Should hold people more accountable for mistakes or errors, which can be done constructively and professionally. 

Learn to take advantage of people's natural talents/skills. Don't put people with technical skills in sales roles or vice versa."
"411","low pay, management very fragmented"
"412","- Local leadership used to be better a couple of years ago.
- Career growth seems somewhat limited for IT and data related teams."
"413","Too many product lines, corporate structure is very heavy, very political"
"414","They used to let people work from home which was good, but not anymore.
Lack of direction. Upper management Lack of communication 
Management constantly changing thus way of working constantly changing
Bureaucracy procedures
work overloaded
when someone leaves they dont fill in the position but they give more work to current employees
no life-work balance
No extra time paid"
"415","I've been in the company for over 5 years and I've seen so many changes on that time, I loved the company and my job, and never mind of spending extra time (never paid off). But, every year the same, new management and starting over to have exposure and show the new one that you are a valuable asset of the company, In 5 years I've had change of management, over 10 different managers who always come and destroy what... the previous one created and starts from scratch. Then I’ve seen so many valuable people leaving because it is so hard to get anything done due to bureaucracy processes or because new management does not value all the after hours work, and force them to come in a fix schedule AND work at 3 am or over weekends, holidays or whenever they are called. Then hard working, key people, leave and they don’t hire someone with experience to fill the spot, they only give current employees and no training, or they hire temps and leave all responsability to current employees 
People leaving because they have more than 2 managers, and they are all looking for a different objectives
Summary, too much to do and lack of resources"
"416","nothing as such. all great"
"417","There are way too many levels of management and trying to work through any project is overly complicated and often results in wasted time due to poor communication and conflicting objectives cross departmentally.  No one seems to see the overall picture in what the expected result/impacts will be, everyone works in their own silo and implements changes with little or no consideration for downstream/upstream impacts."
"418","Cut some of the red tape, actually talk to each other, listen, and collaborate on project plans."
"419","- Fun office culture
- Many socials
- Opportunity for career progression"
"420","- Keep your analysts more busy (less busy periods meant next to no work)"
"421","If you are a person who wants to get things done, there is still a lot of bureaucracy and protocols you have to go through."
"422","Most of the teams have management based in developed markets location, like new York/London. The team in emerging locations do not have much growth in terms of leadership roles,  and most of the things at project level are managed and controlled by onsite managers.
The quality of work, especially in location like India, can be often more on the support side, and less of new projects. Do not expect too much of job... level satisfaction out of your work at MSCI, most of the time it is just routine activity."
"423","No direct exposure to financial markets, the lack of formalities can hinder the efficient work sometimes"
"424","Do not take long standing, loyal employees for granted"
"425","More travel to EMC please by senior managers"
"426","Different business units don't seem to be integrated. Each section works by its own account, and there is little communication between departments."
"427","Work on integrating business units. It doesn't seem like it is one MSCI after all."
"428","High work pressure, poor appraisals, no long term view by management"
"429","due to the bonus and good compensation everybody wants to deliver and perform well. however it means that your are working 24hrs. 80% of employees who  working for them more than 3-4 years are burned out and not motivated. of course due to the bonus none of them want to leave the company."
"430","Pressure on NY management from activist investors always in news. Mumbai Finance Heads are arrogant and have empire-building mindset."
"431","Deal with activist investors to end the uncertainty. Churn required in Mumbai Finance's top management."
"432","There is lack of transparency"
"433","In my case there was lack of proper communication channel, but could be different for others"
"434","Very hard to get any meaningful work done. Initiatives that were budgeted for and approved earlier in the year have to be approved again at the the time  work is started. Most often money is taken away and the scope of what is possible is severely diminished. There is also a culture of mistrust and micromanagement."
"435","Employees would be much more entrepreneurial and productive if everyone wasn't  so fearful of their superiors."
"436","A bit disorganized due to several geographic areas"
"437","Losing great talent due to 'poor performance'. Vicious cost cutting despite stellar performance from business unit. Failure to recognising the value of experience and knowledge."
"438","Senior management treat people like numbers  when it comes to finances."
"439","Mean management, over controlling senior management, silly issues raised all the time"
"440","Consider employee interests do not impose your strategies and expect employees to perform"
"441","No great cons experienced.  Manageble."
"442","NA"
"443","Growth up the line is not very easy from developing market, unless we move to the developed markets"
"444","Toxic working environment because of lower management. They are vile people. Lots of back stabbing, bullying and very clicky . Lower management do not like change and feel threatened by new members of staff that have new ideas. Lower management do not like to train new members of staff properly and then blame the new staff members when mistakes happen. Too much blame culture going on instead of working as a team.... Micro management is an understatement. I don't think my manager likes the job very much. Either sick or worked from home."
"445","They should Leave the company to avoid very high staff turnover in a certain department. You are not likeable or have any people skills."
"446","Poorly paid with regards to shipping, and awkward structure to progress. Very long time scale to progress, and unlikely to be in your desired department."
"447","Too much senior management. Too many changes at the moment, and they are almost not tough enough"
"448","MSCI has implemented a new compensation so it's very hard to get 5%+"
"449","MSCI released a paper on salary gap, should stick to it."
"450","Senior management is seriously lacking in both people and communication skills.  Managers are rude and demotivating.  Lackluster efforts to train staff in these areas just make things worse.  MSCI pays well instead of investing in their people and programs to develop talent."
"451","Add personality assessments when hiring to weed out the bad seeds."
"452","Politics all around difficult to sustain"
"453","Keep a eye on middle level employee"
"454","""Leadership"" = politicians. Some wouldn't think twice to sacrifice junior employees to protect their personal interests. A lot of them are good at managing up, and disregarding down."
"455","Get more face to face interaction instead of sending out surveys."
"456","Higher education degrees are worthless in the company both in compensation and responsibility.
No work experience is valuable for them unless you have worked with a client or direct competitor, you start from zero here.
Compensation growth stagnates fast, they have a gap of middle aged people compared to entry level and senior management due to that.
There are no visible controls on managers protecting their... direct reports.
Many managers have very limited people management skills."
"457","Soft skills training mandatory for all managers, especially those who have to deal with more junior team members, as they don't care nor listen to them. 
Benchmark to comparable companies (global firms) including clients and competitors, as compensation is clearly below market for more experienced people.
Work harder to retain mid aged professionals, many people leave the company due to lack of growth... opportunities or engagement from upper management with them. 
Overall its a good company and has lots of potential, to begin your career it's great but you move on after a couple of years."
"458","Too much of politics at senior levels , no learning and career growth"
"459","Listen to people who helped this company grow during the initial years rather than favoring a bunch of sycophants who keep playing dirty politics and have their own agenda.  Don't encourage a mercenary culture by blindly paying high salaries but value your people and know how to differentiate between doers and those just ruining the company."
"460","VERY political, it is not what you know but who you know if you want a promotion, they do not care much for their people.  great deal of Micro management"
"461","treat you people better"
"462","Career path is not so clear"
"463","no focus of career development, low learning curve, low pay"
"464","Too many politics. Bad managers. No progress."
"465","Get some real managers for senior positions"
"466","No growth and routine job"
"467","1. Sales management micro-manages via data reports without real leadership/support and in many cases management is less capable than those they manage.
2. Flat management structure does not allow for career upside.
3. Not full transparency into compensation and limited upside even in a sales capacity.
4. HR simply runs processes in order to check the box."
"468","Great organizations don't hire smart and capable people to micro-manage, they welcome their contribution and challenges to the status quo without fear of being penalized."
"469","MS-Legacy, Top-Driven, Sales-Driven, Obscure Career Progression"
"470","a little lack of opportunities locally"
"471","Low-cost oriented expansion
Tolerance of poor performance"
"472","No space to grow.
Very rigid multi environment."
"473","Listen to SMEs they are the experts."
"474","Può essere distante dai soldi a seconda del dipartimento in cui lavori"
"475","company culture is not as  good as expected"
"476","need get more suggestions from emplyees, and show authorities"
"477","Roles can get stagnant and bland over time."
"478","Some rotation of roles in the technology team is much needed."
"479","Disconnect between Senior management and ground level employee"
"480","No opportunity for learning new technology"
"481","Overworked but OTs are not being paid always. All are okay except how we are being managed."
"482","Should focus more on resolving issues not on what caused the issues."
"483","Work- life balance, too much work load some times, Real estate and FP&A are the worst depts in terms of work-life balance, Real Estate - more operations work and less pay and less hikes, flat organisation structure with only 6 designations, too many senior associates and VPs. Mostly back - office / KPO work in Mumbai Goregaon office."
"484","Keep up the Good work. They are doing the right thing"
"485","Limited advancement opportunities in the Budapest office"
"486","Very Long Working Hours
Work required on weekends without extra pay"
"487","Should cater to the issue of long working hours"
"488","1. Not good for techies
2. Very much desi work culture with little scope to grow up in hierarchy"
"489","Focus more on technical vision"
"490","No diversity of work. Depth if knowledge increases but breadth reduces"
"491","The Oklahoma office is out of control.  The women at the company who could, have left.  The ones who cannot leave,  are undervalued and ignored.  The culture of the company is ""Mean people get promoted"" - so if a woman is completely ruthless, she might have a chance  (There were a handful of those). The professionals  leave.  I cannot count the number of times that someone actually YELLED at me, cussed me out,... slammed doors, stood OVER me as intimidation, and sabotoged my success (even at the company's expense).  I escalated my concerns (as did others), but management did not respond, and later denied that they knew.  HR didn't respond either - even when blatent abuse and discrimination was reported. The only option for many was to leave or to put up with the hostile environment and the retaliation from blowing the whistle.  The environment is always unstable as well.  I had far more managers than I had years with the company, and it felt like I was moved to a different desk each time someone sneezed. CHAOS  If you want to work in a hostile ""boys club"" of immaturity, then apply for a job there.  Otherwise, don't."
"492","Understand that fear is the  only motivator.  Employees are afraid to answer ""confidential"" surveys with truthful feedback.  Employees are afraid, period, because the meanest people are promoted. There are pockets of managers who will never promote a woman , so if you have stats that show women promoted... evaluate the groups where that has NEVER happened.  You may deny it, but it's terrible.  Life away from this... company is significantly different.  I was always treated with respect in professional environments before this company, and since I left.  It was the worst environment I've worked in during my career."
"493","Poor work/life balance - unrealistic expectations
Lack of strategic vision from Executive team"
"494","Decide on a strategy and execute that strategy.  Too much of our core strategy changes each year"
"495","MSCI being a bureaucratic organization, it takes long times for technical changes"
"496","The culture is ingrained with office politics."
"497","Visibility for work and appreciation is limited"
"498","Manage local office politics and favoritism; Focus on Real-Estate Growth."
