Employer's Name,Review Link,Job Title,City/Town Name,State Name,Country Name,Interview Date,Interview Difficulty,Interview Length (no. of days),Process,Interview Outcome,Overall Experience,Why Decline,Negotiation Phase,Interview Question 1,Interview Question 2,Interview Question 3,Interview Question 4,Interview Question 5,Employer Response
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW9416123.htm,Training Position,New York,New York State,US,2/1/2016,Average,31,"MHF's recruiter contacted me after seeing an old job profile of mine and telling me how thoroughly impressed she was with our conversation and my skills. From there, I quickly finished two additional interviews in a matter of days with senior staff within HR/learning followed by another one with a member of the UK office. They were good at first about being communicative about next steps and consistently told me I was one of the top candidates for the job. They even gave me a deadline by which they would have a decision. I was weighing other job offers (which they knew), so the deadline mattered to me. They blew past their own deadline by two days, and when I followed up, I am told about a sudden need for more interviews the following day (I was happy to oblige because I really wanted the job). The recruiter and the hiring manager reiterated that I am ""definitely on the shortlist"" and they were ""definitely interested"" in me. They were definitely building up my expectations. After finishing this last round on Thursday of last week, I was assured that I would have an answer by EOD Friday. I knew I had put my best foot forward in every interview, and felt pretty good about my prospects (or had at least set a very high bar for my competition to clear). Around 4:30pm on Friday, I hear from the recruiter. He told me that I didn't get the job (unfortunate, but not earth-shattering). However, the reason wasn't that I wasn't good enough (he said ""you were the candidate to beat""), but because the hiring team had decided to hire no one and instead go back to the drawing board for the position entirely. Further, they would bring in a whole new candidate pool, which meant I would have to start interviewing all over. While I recognize that nothing was promised, what a way to make a prospective employee feel used! While MHF is welcome to carry out its hiring choices and its crises of conscience, their boorish, unprofessional and bait-and-switch behavior here is not what I expected from a well-respected company. After this experience, I'm glad I don't work there!",No Offer,Negative, , ,Why are you a fit for this position?,What's your style for working with subject matter experts?, , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW2742094.htm,"Intern, Financial Analysis",New City,New York State,US,6/17/2013,Average,14,"Sent in my resume through their website, and was soon contacted by HR for a quick phone-interview. Asked me mostly generic questions (Tell me about yourself/your resume, why do you want this position, why do you want to work for McGraw-Hill). After, I was contacted to come in for a face-to-face interview. I met first met with the director of my department, and then I met with the co-director. They both asked me standard behavioral questions (tell me about a time when you had to work as as a team and there was a problem, etc). The only technical question I was asked was with the initial interview with the Director-- He just gave me a few simple scenarios and asked how each action would affect the three financial statements.",Accepted Offer,Positive, ,"No negotiating, I was given the same intern rate all McGraw-Hill interns got.","Say we take buy a bond, walk me through how that would affect the balance sheet, income statement, and statement of cash flows.", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW7314786.htm,"Senior Specialist, Corporate Accounting", , , ,7/22/2015, , ,"I received an email from one of the recruiters saying that I have been selected to have a quick phone chat the next day. I emailed back to say you can reach at 3:00 pm tomorrow. However, it has been passed 3:00 pm and I haven't received any phone calls from them, even no emails replied to me. I am so surprised at this situation, didn't expected this would happen, and could anyone tell me what should I do now? Btw, I looked up on the glassdoor interview reviews, they do have negative comments about the long-run process of their recruiter team, however, I didn't see any comments talking about the recruiters forgot or ignored the phone time. Anyone? Anyone can help?",No Offer,Negative, , ,They didn't call me!! Unbelievable!, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22802641.htm,Senior Data Researcher,Denver,Colorado,US,10/4/2018,Average,90,"Started with a 15 minute phone screen, proceeded to do 2 more 30+ minute interviews over the phone, as well as an hour and a half interview over Zoom. After 2 months of this process and all the time given to them they did not even give the courtesy of saying they went with another candidate. It’s been 3 months since initial contact and have been given no update, even after reaching out.",No Offer,Negative, , ,What are some reasons you would like to have this job. , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW7932885.htm,Analytics Sale,Houston,Texas,US,9/13/2015,Average,5,It was a phone interview. The lady was very nice and supportive. She asked minimum questions and preferred to listen to a candidate. They promised to call back and schedule the second interview. But nobody called. It is better not to know right away if you fit this position or not than to hope further and look forward to next interview,No Offer,Positive, , ,What was the role on previous job?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW8423858.htm,S&P Dow Jones Indices Index Development, , , ,10/25/2015,Easy,5,"They emailed me to say they wanted to set up a phone Interview, phone interview was roughly 30 minutes long, and they offered me the position a few day later. Process was pleasant and everyone I talked to was very nice.",Accepted Offer,Positive, , ,Technical skills with excel, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW8436445.htm,Product Consultant Development Program, , , ,10/26/2015,Average, ,"I spoke to a person who recently went through the program and was moving into a different position. Overall it was a good experience. I learned about the product, the company and the opportunity. I definitely would recommend applying if you have a strong financial background.",No Offer,Positive, , ,Why finance? What is an annual report? Talk about a time in which you made an error how did you handle it? How did you handle a difficult team member? What is something that you have been following on the news. Talk about what you know about the position and the company., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW10225624.htm,Analyst-quantitative Modeling,Denver,Colorado,US,4/11/2016,Very Easy,21,"The first step was a vanilla phone screen. After than I was invited to the office for an in person interview. The office reminded me of offices from a decade ago. The interviewer was not versed in Statistics at all, and asked strange questions. There were 4 interviews all together and most of them were in-inspiring. One of the interviews was a ""technical"" interview with someone in their NY office. He googled obscure questions (literally during interview) that he didn't have context for, and were ancillary. It was a poor match. The interviewer seemed inexperienced and didn't even follow up after the on-site.",No Offer,Negative, , ,Standard HR questions., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22849005.htm,Associate UX Designer,New York,New York State,US,10/8/2018,Average,14,"I applied online with my grad school. HR called for a quick screening to make sure I am interested in the job. I then had a quick phone call with director of the department. Last, I had in person series of interviews with each member of the team. This lasted a long time, but I found was effective in understanding the company and team.",No Offer,Positive, , ,"If you have differences between what you believe and the Product Managers or clients belief, what would you do?", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW12491760.htm,Global Credit Ratings Analyst,New York,New York State,US,10/29/2016,Average,1,"Super day was 2 30minute interviews. All technical questions. Looked on this website and saw that the questions were behavioral, but they've changed them to all technical. know your accounting ratios and what they're used for, and know the debt ones specifically",No Offer,Positive, , ,What is working capital?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW18424498.htm,Tech DevProgram, , , ,12/20/2017,Easy,21,"I had a great experience interviewing with the company. I applied online, received a phone call days later and then an email shortly after. After scheduling the interview I received a second email consisting of topics to review that will be expected to be covered during the interview, which I loved. My interview was an hour-long virtual interview split into two half-hour interviews with different interviewers. The first interview was technical and the second was behavioral, of course. Each interviewer I spoke to made me feel very comfortable throughout the entire process. They both displayed their sense of humor as well. Overall, the communication with the company was great. They responded to my emails extremely quickly.",Accepted Offer,Positive, , ,What's the difference between a class and an object?,Why are you interested in this position?, , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW24892578.htm,Structured Finance, , , ,2/26/2019,Average, ,"There were two rounds of phone interviews both had mostly behavioral questions like, why DMRS, why credit, followed by a brain teaser at the end. Really straightforward besides the brain teaser.",No Offer,Neutral, , ,What skill sets do you provide to the team?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW24820851.htm,Editor, , , ,2/21/2019,Average, ,"Straightforward interview process, they asked about my background in energy and writing, had an interview with HR, then with my manager. They asked some basic questions about my writing skills and knowledge of energy industry and a writing sample.",Accepted Offer,Positive, , ,Tell me about some of the energy-related content you've written at your previous role, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW24821072.htm,Project Manager, , , ,2/21/2019,Average,60,"The interview process was smooth and the interviews went well. The process could have been a bit more professional and I was all by myself and there was no travel or accommodation assistance provided. However, there were multiple follow-ups I had to do with the HR for the interview and for the offer.",Accepted Offer,Positive, , ,General background and my experience. Involved some SQL and project related questions, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW23809142.htm,Data Engineer,Virginia Beach,Virginia,US,12/12/2018,Easy,14,Not to hard. Simple questions given they didn't want to continue beyond phone screen because of visa sponsorship. The HR round was easy and we both thought it was a great fit but after an hour when I brought the sponsorship up they were not willing to move ahead under any circumstances. Cannot blame them. Seemed to be a nice company with nice people.,No Offer,Neutral, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW23793632.htm,Technology Development, , , ,12/11/2018,Average,90,"I applied online in November, received an interview request in December, interviewed a week or two later, then received my offer in January. The interview process was two 30 minute back-to-back behavioral interviews through video call with some technical questions asked.",Accepted Offer,Positive, , ,Tell us about a time you dealt with conflict., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW24427114.htm,"Analyst, ESG Model Development",New York,New York State,US,1/28/2019,Average,42,"The process was simple, composed of 3 phone calls (1 pre-screening with HR, 1 with the hiring manager, 1 with Senior manager). Standard questions were asked - motivation, working style, and about working remotely.",No Offer,Positive, , ,What is your work style?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW14799083.htm,Associate,London,England,UK,4/26/2017,Average,21,"Smooth process with strong feedback, very welcoming and engaging in the interview. Casual start with eased nerves, then went straight to the point. Great location to work in. I went in for 3 interview stages, first was a telephone call, second was a 1-1 interview in the office and third was an interview with the senior manager. This helped get a great feel about the role, team and any further questions I had about the role.",Accepted Offer,Positive, , ,Why do you want to work for S&P Global?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW13991668.htm,Associate,New Delhi,Delhi,India,3/1/2017, ,1,"It was wonderful excellent, time consuming but learning experience for sure. Was overwhelmed adn enthusiastic about the whole process and company's way of conducting such a grand interview process so easily and efficiently",Accepted Offer,Positive, , ,Internships, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW9173291.htm,Software Engineer,Mumbai,Maharashtra,India,1/13/2016,Average, ,"Phone Interview - technical Round : went for 1 hour , grilled every aspect of Oracle PL SQL Face to face Interview - Technical Round: Question based on Resume, skill set and past experience. HR Interview - Compensation Negotiation",Accepted Offer,Positive, ,it was good,Related to ORACLE and Support Processes, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW19692351.htm,Client Service Associate,London,England,UK,3/14/2018,Average, ,"Started off by sending an application through to S&P Global, heard back within a few days to arrange a phone interview with HR. The interview was a 30 minute conversation with basic competency questions - strengths/ weaknesses etc, and questions around why I wanted to work for the company and the chosen role. Was briefed on the role as well, gave an insight on what you would do on a day to day basis. Whilst I didn't get the offer, it took them well over a month for them to get back to me regarding the interview which was slightly annoying but somewhat expected as it takes time to hear back (not usually 5 weeks).",No Offer,Neutral, , ,What are some of your strengths and weaknesses?,Why would you like to work for us, , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW7834127.htm,Client Service Associate,Seoul,Soul,South Korea,9/3/2015,Average,9,From one office in Asia. Submitted a resume and coverletter both one page in A4. Asked basic and formal question which is expected from a typical rating and research company.,No Offer,Neutral, , ,Why S&P, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW21025844.htm,Internship,London,England,UK,6/13/2018,Average,30,"Took about a month to get back to me after applying, they had me do a interview on hirevue? They never got to me after applying, Took about a month to get back to me after applying, they had me do a interview on hirevue? They never got to me after applying,",No Offer,Neutral, , ,"Why did you apply for this role, what are your strengths etc. They were very general questions. Took about a month to get back to me after applying, they had me do a interview on hirevue? They never got to me after applying, ", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW830070.htm,Intern, , , ,2/26/2011,Average,2,"Not sure if I described the duration of the interview properly. Regardless, I was referred to a position with McGraw-Hill in 2009. I interviewed with someone from their office in Columbus, OH over the phone and was subsequently interviewed 1:1 with the person under whom I would be working. The person I interviewed with and other employees at the office seemed friendly enough. As much as I wanted the position, I was not offered it.",No Offer,Neutral, , ,Could you elaborate on how your work experience as listed on this resume?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW6218071.htm,Intern, , , ,3/29/2015,Average, ,"I applied through a posting on the careers website of my university, they replied quickly even though I applied late inviting me to a video interview. I had a video interview through hirevue, in which you dont interact with anyone and you only get one opportunity to film each response of three minutes, of which there are 10 in total",No Offer,Neutral, , ,"Video interview was a little strange, 10 questions, first five asked me to confirm degree details, languages and stuff like that. Then the next five where:

1. What do you know about MGHF and SP Dow Jones Indices?

2. Why did you apply to the program?

3. What makes you think you're suited to the program?

Cant remember others", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW19225644.htm,Market Intelligence,Thiruvananthapuram,Kerala,India,2/13/2018,Difficult, ,"it consists of 4 rounds.ie online written test,two technical,one hr round.its too difficult to clear technical rounds.most of the candidates are rejected in that only.final hr round was some easy.securing job in snp global is not a joke",No Offer,Positive, , ,"personal,n subject related questions", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW7227450.htm,Marketing,Singapore, ,Singapore,7/14/2015,Average,14,"Recruiter called to ask some questions and mention would get back if I was shortlisted. I got a call for face to face interview about 1 week later. (The experience was fine till then) On the day of f2f interview, the hiring manager was late for 15min (I was put in a meeting room, not knowing what happened). When she finally arrived, she called me by the wrong name (obviously took the wrong resume) and she went back to take my resume. It was another another 8 min before she came back. During the interview, there were times she just yawned and look out of the window (very rude). Obviously, I wasn't expecting any progress with her.....after the experience",No Offer,Negative, , ,Why you want to move to financial industry?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1082055.htm,Treasury, , , ,8/27/2011,Average,1,behavioral interview- standard qualitative questions walk me through your resume,Declined Offer,Positive, , ,why are you interested in this position and how does your previous experience relate?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW8651665.htm,Administrative Assistant,Singapore, ,Singapore,11/15/2015,Average,3,"Had a phone interview followed by an interview with the hiring manager and finally the department's director. Interview with the director was very detailed. Relaxed interview, more of ongoing conversation.",No Offer,Positive, , ,Why did you apply for this role and what do you hope to gain from it?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW18797232.htm,Senior Software Quality Assurance Engineer,Islamabad,Islamabad,Pakistan,1/18/2018,Average,60,"It took them 2 months to call me for an interview, It was skype interview . The attitude of interviewers was good, but I forgot to answer one simple question and they laugh at me ironically. A really Bad experience that was. HR was really helpful, she called & took my 15 to 20 min to explain me whats the process of company & how interview will be conduct & what should i prepare for interview.",No Offer,Negative, , ,"SQL joins count of a table in SQL.
What is non-functional testing
Asked about scrum, it's roles.
Asked some management level questions, that if one of my colleagues is not working properly due to his home problem & you have some work which is pending due to him what will you do.

", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22086332.htm,Team Assistant,London,England,UK,8/21/2018,Easy,3,"Brilliant. Quick and direct. First phone call, cleared lots of questions that were generic. Everything was done in an hour and I received an offer that evening. Couldn't be any better.",Accepted Offer,Positive, , ,Where do you see yourself in a year?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW10535967.htm,Technology Analyst,Gurgaon,Haryana,India,5/9/2016,Average,2,"It is a 5 step process. 1. HR - Telephonic interview 2. HR - Personal 3. Tech - written 4. Tech - manager interview 5. Tech - Director interview Overall bigger than what would be usually for a company but since they pay good, they deserve to take their time in hiring.",Accepted Offer,Positive, , ,Future prospects, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW17404671.htm,Summer Analyst, , , ,10/17/2017,Average, ,It is a video interview which consists about 6 questions. You have time for practising before the formal interview and time for preparing before answering the questions. Some questions look similar but with little differences.,No Offer,Positive, , ,Why do you think you fit the company, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW18115321.htm,Summer Analyst, , , ,11/29/2017,Average,3,I applied online and got invitation to video interview a few days afterwards. The first round is video interview. All questions are behavioral. More about the motivation and how much you know about the company and program.,No Offer,Positive, , ,What interests you to apply for this program?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW23432518.htm,Software Developer, , , ,11/15/2018,Average, ,"1 Telephonic/Skype Interview as suitable , which I would jude as medium difficulty . If you clear it , there will be atleast one 1F2F interview too. (Didn't reach F2F round)",No Offer,Negative, , ,Basic OOPS, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22616389.htm,Research Data Analyst,Bhubaneswar,Odisha,India,9/23/2018,Average,2,Two Group discussion round on current topic. Read current topics and you will be able to crack. One Written test (Aptitude and reasoning and accounting Questions) And one personal Managerial round,Accepted Offer,Positive, , ,Questions related to Accounting, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW14977535.htm,Research Executive,Philippine,Benguet,Philippines,5/9/2017,Difficult, ,When it comes to the process It was Well-manage and on time. It was a great experience to be exact. Though it was a hard one but worth it.,Accepted Offer,Positive, , ,How did you know the company?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1253591.htm,Editor,London,England,UK,12/26/2011,Average,1,Very standard interview with potential boss.,No Offer,Neutral, , ,"Nothing really, standard questions.", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW20353289.htm,Product Consultant,London,England,UK,4/29/2018,Average, ,Very relaxed phone interview and then two panel interviews. You do a very basic finance test in one of the interviews. They mainly want someone who is willing to learn and wants plenty of training opportunities (which is what they offer). Overall great company to work for to learn lots about finance.,Accepted Offer,Positive, , ,Why S&P? How would you provide good client service? Experience of handling a bad client?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW6080727.htm,Product Consultant, , , ,3/9/2015,Average, ,"1)Telephone, Interview 2) Face to face interview- three 30 minute interviews and a written test ( finance based questions on market capitalisation bonds, where cap exp is found on a balance sheet, how to calculate EBITDA margin, what B means in investment (beta)",Declined Offer,Neutral, , ,"Give me a time when you handled an irritated customer/customer complaint 

Why S&P Capital IQ

What do you know about S&P Capital IQ

Why this position

What do you think you need to succeed in this position? What qualities

How do you prioritise?

Give me an example of when you worked in a team?

How do you deal with clashes within a team?

What do you think will be the main challenges facing you in this role at the beginning?

How did you hear about the job?

Give me an interesting story you have read this week?

What sources do you use for information?

Why the degree that you have studied?", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22888413.htm,Equity Research Associate,Gurgaon,Haryana,India,10/10/2018,Average,1,"Starts with an aptitude test, then a small HR round, then again a written test on finance, Then manager's round and finally directors round. Generally the process takes 3-5 days, but in my case all rounds were done the same day.",Accepted Offer,Positive, , ,What is difference between straddle and Strangle? , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW16745711.htm,Financial Analyst,Islamabad,Islamabad,Pakistan,9/9/2017,Average, ,"Firstly, I applied on their website. Then got a call from their HR dept for on call interview, after shortlisting they called me for CBT. After clearing the test I was called for interview.",No Offer,Positive, , ,What are your future goals?,Why do you want to join S & P Globals?, , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW5696387.htm,Credit Analyst, , , ,1/14/2015,Average,21,"HR ask me if i was interested. Question about my background. 1) Interview with 2 Directors. Question about how evoluate the market and what is my view for the short term (forecast). Question regarding Structured credit product (CDO, RMBS ..). How to analyse it. 2) Case study with 2/3 Directors: show your understanding of product and their rating methodology. 3) Final interview with a Senior director to explain how the business work and what i would like to do. 4) HR for administrative stuff.",Accepted Offer,Positive, ,No negotiation because of the contract. Fixed term contract.,"Case study: show your understanding of product and their rating methodology.
Take some time to read all criteria, analyse and to prepare a presentation.", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW17871930.htm,Credit Analyst,London,England,UK,11/13/2017,Average,30,"Three phases. First an online interview through Hirevue. The second interview is a two call interview, with a more technical insight about what you are going to do and technical questions about finance and accounting. Finally, if you pass, you go to the Superday where you have a couple of technical face-to-face interviews.",Accepted Offer,Positive, , ,How would you analyse the risk of buying X company in a certain context? , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW15837611.htm,Credit Analyst,London,England,UK,7/10/2017,Average, ,"First meeting with directors and HR representative. Then a meeting with the regional director of the subgroup you apply to. Then, a case study and a presentation of the case study in a rating committee.",Declined Offer,Positive, , ,What is your opinion of X company?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW20982220.htm,Data Manager,Gurgaon,Haryana,India,6/11/2018,Easy,15,"I Interviewed for Data Researcher I at Gurgaon office. It applied through career website. Got a link for an online test within a week or so. Then, shortlisted for the interview rounds at their office. The HR called us for orientation round. She gave a brief intro of S&P Global and explained the whole profile, salary etc. She was quite interactive. The first one was an HR round. This was a screening round. Questions were: • Tell me about yourself. • Why S&P Global Some of the candidates who were not selected were told the results after their HR interviews. Next, was Technical round. The person who took my interview was amazing. After this, they called it a day and told they will call the candidates for the next round which would be a Director interview round over call. The Director round revolved around my CV and few Finance related questions.",No Offer,Positive, , ,"Derivatives, Mergers and Acquisitions,  Swaps, Credit Default Swaps, Difference between Public company and private company, Types of Derivatives", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW22455379.htm,Office Manager,Dublin,Co. Dublin,Ireland,9/13/2018,Very Easy,4,"I applied online and received a generic email 'Hello, I hope this email finds you well, many thanks for your recent application for the above role. Please can we arrange a time to speak in more detail, with ANOTHER ladies CV attached!!! I confirmed that I would like to have a chat even though I was a little confused as to whether it was me or the other lady whose cv was attached. A few days later, I got an email addressed to me this time with a time. The email came in at 7:01am for a 1pm telephone interview that day!! I accepted of course. I reshuffled a few meetings I had and waited. At 1:47pm I received an email saying 'Sorry. I couldn’t make this time.' I have now withdrawn my application. While it is a lovely role, there are loads of lovely roles out there. Your in-house recruiter needs some training I'd say. Firstly, GDPR people!!!!!! I'm sitting with some other persons CV in my email. Secondly, employee engagement, the human experience, candidate buy in's and first impression of the company start from the ground floor - y our recruitment team and your HR department. I have withdrawn my application as I could never work for a company that can't even show a little respect for candidates. If this is how the process of joining your company starts, I'd hate to think what it's like to work there. Standard & Poor = the Standard IS Poor!",No Offer,Negative, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW8804408.htm,Operations Specialist,Mexico,Distrito Federal,Mexico,12/2/2015,Average, ,"I apllied online and then I received a call first for a phone interview to talk about what the job is abou, where they are located, and to verify some info of my curriculum. Then they ask for a 1:1 phone screen interview",Accepted Offer,Positive, , ,What of the position interested you the most?,How do you feel about stressful situations?, , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1371029.htm,Editorial, , , ,3/2/2012,Difficult,1,"Interviewed for position posted on MH website. I am an employee of 3 years. Interview lasted 10-15 minutes and was told I would not be considered as I didn't have experience in the database system this dept. uses. Also told too much of a jump in wage for me! I found out the hard way that promotions are hard to come by here. We must take ""baby steps"". I've worked full-time for 38 years and have never had a job I could not do and do very well!",No Offer,Negative, , ,Do you have experience in this or that database?,Why are you interested in this position?, , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1660294.htm,Editorial Intern, , , ,6/27/2012,Average,14,"My college had notified me of an opening position. McGraw normally doesn't hire editorial interns; from what I was told, almost every employee is required to start in sales so you learn their product. I followed all of the instructions I was given by the Career Services center, inlcuding emailing a cover letter and resume. I met with a woman from HR in May. The position was supposed to begin on June 1st for 3+ months and she never got back to me about the status of my application, not even a rejection email.",No Offer,Negative, , ,What do you know about our company?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW13537897.htm,Research,Melbourne,Victoria,Australia,1/29/2017,Difficult,21,"The interview consisted of 3 rounds The first round was a short phone interview. The final two rounds consisted of back to back interviews at their corporate office. The second round was very technical, spanning a range of macroeconomic, financial related issues. The third round was mostly behavioral, with some accounting questions asked. In total there were 5 interviewers, each occupying a different position in the firm.",No Offer,Neutral, , ,Asked to rank the big 4 banks in terms of their financial sustainability. They also probed on my opinion on specific macroeconomic issues., , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW19870328.htm,Research Assistant, , , ,3/26/2018,Average, ,4 interviews (1 phone call with the HR in London / 1 in Paris with the team / 1 with the manager/ 1 with the HR in Paris to sign the contract).,Accepted Offer,Positive, , ,#NAME?, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW10472841.htm,Research Associate,New Delhi,Delhi,India,5/3/2016, , ,"1st round Digital interview: Quality of video was not good 2nd round Aptitude test comprise of g.k, english,reasoning, and finance section 3rd nd 4th round Personal interviewCommunication for the interview call is done by the HR to the candidate. But the status after giving the interview is not communicated properly.",No Offer,Negative, , ,"Formation of company,Diversification,Questions regarding NSE,BSE", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW10726820.htm,Research Associate,Cuttack,Odisha,India,5/25/2016,Average, ,"it was 5 to 7 rounds, technical round , aptitude round , written, director round and at last HR round , they will give you same day the appointment letter",Accepted Offer,Positive, , ,"about derivatives , financial statements, credit default swap , Bid and ask price", , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW6450582.htm,Consultant,London,England,UK,4/27/2015,Average,30,One hour competency based where interviewer asked prepared questions. Including background and behaviours. It was relatively straight forward and interviewed by two different internal managers with senior experience. Was a pretty organised process,Accepted Offer,Positive, , ,Scenarios, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW16093808.htm,Communications Manager, , , ,7/27/2017,Average, ,"The interview process was initially very slick, especially with getting interviews set up and identifying more than one suitable role. I went on to interview for two roles with S&P, and 6 weeks later I am still yet to receive any feedback on both interviews, despite chasing.",No Offer,Negative, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW15907387.htm,Marketing Analyst, , , ,7/14/2017,Average, ,"Went for a walk-in interview for the role advertised 3 days back in newspaper. However, on going there I was told that walk-in interview was for other positions and not Marketing Analyst. I had travelled 250km to attend the interview. When asked to reimburse me the travelling costs, all I got was a heartless apology",No Offer,Negative, , , , , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW19729263.htm,Data Researcher,London,England,UK,3/16/2018,Average,7,Aptitude test Telephonic interview Video call Communication skills Very good fundamental and basic knowledge of finance and Accounts both They can call for interview at any time in the day So be prepared,No Offer,Neutral, , ,basic finance and accounting, , , , , 
S&P Global,http://www.glassdoor.co.in/Interview/S-and-P-Global-Interview-RVW1529750.htm,Product Manager,London,England,UK,5/22/2012,Average,120,Platts (McGraw-Hill) hiring is protracted and arduous. All the while it is managed by the inept and indifferent if not outright deceitful human resources department. They have several interviews and may lead you on in the belief that it''s almost over. Finally after they settle on hiring you they will take a further 3 to 4 weeks in performing background checks.,Accepted Offer,Negative, ,"Absurd. There was some negotiation but make absolutely certain to get everything in writing and very explicit. 
At least two people that I know were offered reasonable bonuses which a year later turned out to be a fiction.",Tell us about a time you failed at something., , , , , 
