Employer's Name,Review Link,Job Title,City/Town Name,State Name,Country Name,Interview Date,Interview Difficulty,Interview Length (no. of days),Process,Interview Outcome,Overall Experience,Why Decline,Negotiation Phase,Interview Question 1,Interview Question 2,Interview Question 3,Interview Question 4,Interview Question 5,Employer Response
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW23716673.htm,Credit Analyst,New York,New York State,US,12/5/2018,Very Easy,21,"Basically nonexistent process with multiple gaps and poorly trained staff. One day that I was scheduled to go to the downtown office, I waited for 45 minutes only to be informed of a ""miscommunication"" on the schedule day. No apologies were provided. Although I was turned off at the lack of professionalism, I decided to continue with the interview process so that I could decline the offer.",Declined Offer,Negative, , ,What is your current compensation?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW12753438.htm,Credit Analyst,New York,New York State,US,11/21/2016,Difficult,1,"On Campus Recruiting, Two back-to-back 45 minute interviews with Director level employees from S&P Global. Primarily asked technical questions such as listing efficiency ratios, profitability ratios, etc.that would help make a credit rating. Only real behavioral questions were: Are you good with teamwork? What are you most proud of on your resume?",Accepted Offer,Positive, , ,How would a Trump presidency affect interest rates compared to a Clinton presidency?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW14247839.htm,Credit Analyst, , , ,3/19/2017,Easy, ,"In all, it was one phone interview and then two 30 minute video interviews on the computer. The two gentlemen leading the interviews were really nice and made it a laid back interviewing environment.",Accepted Offer,Positive, , ,What do we do as a company? Know a lot about current economic conditions worldwide. , , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW1560937.htm,Data Manager,New York,New York State,US,6/5/2012,Easy,21,I was referred to the position through an HR contact. The interview process was painless. I met with 3 members of my future team during the first round and later met with senior management for the second round.,Accepted Offer,Positive, , ,Walk me through your resume, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW4384988.htm,Research Assistant,New York,New York State,US,6/11/2014,Average,35,"I had a phone interview with a ratings director, who then forwarded my information to his equivalent in another city. I came in for an on site interview and met with three different ratings analysts. The interview was primarily behavioral and the questions were not too hard. I still have not heard back from the company.",No Offer,Positive, , ,Can you talk about a time where you had to handle a large amount of information in a short amount of time?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW735880.htm,Research Assistant,New York,New York State,US,12/8/2010,Very Difficult,30,"Every member of the group interviews you and combine themselves to ask you very specific technical questions. By technical questions I mean statistical, and a lot of finance related questions. Sometimes they would make drawings to make sure you understand the questions they asking.",No Offer,Positive, , ,What is duration?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW387162.htm,Research Assistant,San Francisco,California,US,2/3/2010,Average,10,Behavioral and then lots of technical finance questions,Accepted Offer,Positive, ,No Negotiation,Why ratings services?,Why Public Finance?, , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW6668734.htm,Research Assistant,New York,New York State,US,5/21/2015,Average, ,"Started with a phone interview, very casual. In-person interview consisted of two rounds with 3 people in each. Asked technical and behavioral questions. Some were not so engaging, a few hammered with the technical. It was a basic interview for a research/analyst assistant. KNOW the financial statements and how they work together.",Declined Offer,Positive, , ,"What is duration?
If you had two bonds, one 5 year and another 10 year, and interest rates went up, which bond would decrease more in value?", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW6517247.htm,Research Assistant,New York,New York State,US,5/5/2015,Average, ,"I met three interviewers including a manager of the team one by one. They did not ask me technical question, but more like what programming skills I do have, how I worked in the previous work experience, or a little bit of personality questions.",Accepted Offer,Positive, , ,Why S&P,Do you prefer to work by yourself or collaboratively?, , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW6147004.htm,Research Assistant,New York,New York State,US,3/18/2015,Difficult, ,It was a pretty standard interview process as far as Wall St research jobs go. The process included several interview rounds with senior analysts and group head. Questions center around fit with team as well as general financial statement analytical ability.,Accepted Offer,Positive, , ,Walk me through the major financial statements?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW6237778.htm,Research Assistant, , , ,4/1/2015,Average, ,"Interview process was challenging but straightforward. Had to interview with three managers formally and one informational interview with an analyst. They were very nice and accommodating and didn't make the process intimidating. They were very welcoming and made the interviews more conversational instead of pure questions and answers. First manager I interviewed with also kept constant communication with me during the process, which also helps.",Accepted Offer,Positive, , ,What do you see as one of the most important aspects of this job?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW5761510.htm,Research Assistant, , , ,1/23/2015, , ,They contact you to set up an initial phone interview. The phone interview was about 20 minutes. Interviewer sounded like he was in a rush. They might ask you finance/accounting questions as well.,No Offer, , , ,Why do you stand out amongst all other candidates, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW9650855.htm,Research Assistant,New York,New York State,US,2/21/2016,Easy,8,It involves three different rounds of interviews. The first is with HR. The second is with hiring manager. The third is with potential colleagues. It helps to know people there to prep for the interview. A lot of interview questions are how to as a test of interviewee knowledge. Beefing up on the basic website through research is a great prepping tool.,Declined Offer,Neutral, , ,How would you evaluate a bond, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW7804857.htm,Compliance,New York,New York State,US,9/1/2015,Average,21,"The interview process included speaking with the Senior Compliance Officer, Director, and Chief Compliance Officer. The questions asked were very generic, prior experience, goals, difficult situations, and provide examples of how you dealt in a particular situation.",Accepted Offer,Positive, , ,Q. Tell me about yourself? What are you looking for?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW23430338.htm,User Experience Designer,New York,New York State,US,11/15/2018,Difficult,14,"Resume review followed by a phone interview. If all goes well then an in person interview is done. Typically, interview with 1-3 UX team members a mid-level manager and sometimes a VP.",Accepted Offer,Positive, , ,What is your process for doing user centered design?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW7699624.htm,Development Analyst, , , ,8/24/2015,Very Easy, ,The hiring process for the temp position was very simply and straight forward. They only requested a phone interview so no in person interview was needed. Mostly just basic professional and academic background questions were asked.,Accepted Offer,Neutral, , ,"basic background information, academic achievements", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW675502.htm,Marketing Associate,New York,New York State,US,10/7/2010,Average,35,"The hiring process was relatively pleasant. I did a phone interview w/ the recruiter. Then I met with the director, then the hiring manager. They told me that was it, but then called me back in to meet with both the director and hiring manager together. I felt it went relatively smoothly, but they began asking questions more about my management abilities (which was not specified in the application, but I have a strong management background). The final verdict was that they took the position in another direction. They were very nice, and I can understand how tough it is to interview against other strong candidates.",No Offer,Positive, , ,Have you ever managed anyone? , , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW4021565.htm,Data Specialist,Denver,Colorado,US,4/8/2014,Average,20,"First interview with Office Manager in Denver office, followed up with two consecutive interviews with Management. All interviews were typical HR questions like ""where do you see yourself in 5 years""",Accepted Offer,Positive, ,"I didn't negotiate to my detriment, negotiate for a higher salary because they will low ball.",How do you stay motivated when working on menial tasks?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW468050.htm,Database Architect,New York,New York State,US,4/17/2010,Difficult,2,"Interview was conducted in three sessions. At the inperson interview, the first session was on Oracle PL/SQL. Interviewer gave a paper and asked to write code snippets. The second session was on Datawarehousing and Database concepts. This session was more oriented towards oracle internals which was bit difficult. Third session was on Informatica powercenter which was oriented towards data intergration. When you go to S&P, prepare well enough of the 'know how' of database internals. One of my friend then gave a feedback that eventhough the technologies used are not that much very great. But the interview questions are focussed in areas where its not touched at work.",No Offer,Negative, , ,Decribe the underlying database design of the oracle engine, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW2072531.htm,Business Systems Analyst,New York,New York State,US,10/22/2012,Average,10,There was a team of 6 people that interviewed me - asked all questions from background to subject matter expertise. They gave me a better impression of the firm than what I discovered after landing there.,Accepted Offer,Positive, , ,Gave me a sample of the project and asked me what I would do if something (specific) went wrong., , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW3016837.htm,Business Systems Analyst,New York,New York State,US,9/5/2013,Average,90,"First foremost, I got email at 3:00 pm Friday saying I have an interview. Which was a complete confusion as it was all of a sudden and was not scheduled earlier",No Offer,Negative, , ,"Interview was good, people who asked me were sensible", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW3269472.htm,Business Analyst,New York,New York State,US,11/4/2013, ,14,"The first round of interview consisted of one interview. I was given a pen and a paper and a question paper and was supposed to hand write the answers. Half and hour later, the interviewers came in and started interviewing me about the answers. The questions were about QA stuff and UX design. For the second round, there were interviews. First was a general question and answer session, whereas the second consisted of hands on skill and logic testing.",Accepted Offer, , , ,UX design from a given scenario, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW9180280.htm,Business Analyst, , , ,1/13/2016,Average, ,"it's a lengthy disorganized process Multiple rounds of both phone and in person interviews. While that is normal for a large organization, the scheduling is less than efficient. The process is for S&P interviewer to call you. Sometimes they called as scheduled, other times no call and having to reschedule. Very ineffective, when you have 2 or 3 phone interview per round This holds true in most organizations, but S&P, like to hire from within. So, you can go 3 rounds, and you may just be there to validate a process On-site interviews, met with multiple people, each time. Make sure you have all the names, as the person you are supposed to interview, may not be aware of the interview, or know who you are",No Offer,Negative, , ,"they will ask you to write out use cases, epic, stories and flow diagrams for a small case study. checkout process for an online retailer", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW23210345.htm,Data Scientist,New York,New York State,US,10/31/2018,Average, ,"Applied through handshake. Recuiter contact me after a month. First round, a quick talk with HR. Second round, tech phone interview with the data scientist lead for 45min.",No Offer,Neutral, , ,What are ways to do feature selections, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW9265978.htm,"Associate, Ratings",New York,New York State,US,1/20/2016,Average,20,"Applied online, had a phone interview several weeks later. Then scheduled for on-site which included 4 interviews and a case study. Was asked back for final round which was an additional 3 interviews. You may have to speak to additional people depending on the needs they have at the time.",No Offer,Neutral, , ,Walk me through a cash flow statement, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW468916.htm,IT Internship: C++ Developer,New York,New York State,US,4/18/2010,Easy,2,"After applying online, I received a call by the recruiter and was able to schedule a phone interview with her. She asked about my current experience and what I've done so far in terms of course work. I was also asked why I wanted to work there and how I worked independently and in teams. Afterwards, I had to set up a time to speak with a member of the department I was interviewing for. The second interview was conducted on the next day; it was a technical interview in which you were asked several questions to test your knowledge on C++. I also had to bring up the various projects I had worked on both for school and during my own time; they were looking for how much you've coded and how enthusiastic you were. After it was done, I received a call the very next day and was given an offer.",Accepted Offer,Positive, , ,What is referencing?,What is a virtual function?, , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW919858.htm,Structured Finance Ratings Intern,New York,New York State,US,4/30/2011,Difficult,1,I had phone interview with the person from the structured finance department. I was well liked enough that I got the offer for a summer internship the next day. Talked about the economy and the future of it. Barely went over resume. He was testing my knowledge on current events.,Accepted Offer,Positive, , ,What do you think about the S&P downgrade,"Go over your resume, what should I know about you", , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW1028926.htm,Quantitative Analytics Intern,New York,New York State,US,7/20/2011,Easy,14,"phone reception not so good. they asked some statistical question, ie. comparison between normal distribution and student t distribution, ANOVA (analysis of variance), linear regression (like what does r square stand for, how it is calculated, what are the components of sum of squares, etc). also they asked what statistical software programs I have used, like Matlab, SAS and describe the command I used to manipulate data",Accepted Offer,Positive, , ,Give the command you will put to do simple linear regression in SAS., , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW1347738.htm,Structured Credit Entry Level,New York,New York State,US,2/19/2012,Average,1,"Interview at 55 Water Street with five people. Three of the people that interviewed me were managing directors. They asked about Excel skills, programming, a few questions about structured products, asked to go over resume. Gave me the opportunity to ask a few questions.",No Offer,Negative, , ,Who is the president of S&P?,what is a synthetic cdo?, , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW5876592.htm,Credit Ratings Analyst, , , ,2/8/2015,Difficult, ,Off campus interview first then they bring you up to the NYC office. There is a case interview (Know the general process how S&P rates a bond) first. Then they have you interview with a few individuals. I went through and interviewed with a few people while the rest of my group interviewed with another panel (this isn't best practice). One of the people is either doing a stress interview or doesn't mind interrupting you every two seconds. Had I gotten the offer I would have had to consider this.,No Offer,Negative, , ,What are the parts of the financial statements?,Give me the name of a company and tell me how a ratings analyst would look at this,How do you re-engage uninterested team members?, , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW5600760.htm,Financial Institutions, , , ,12/29/2014,Average,21,"First Interview with the team of analysts (Banking sector): I was asked about my education, interests, motivation and expectations. Few technical questions about Bank's Balance Sheet and items to focus on when assessing soundness and Financial risk. Second interview with Head of team, just behavioral questions (team working ability, precision and other soft skills).",Declined Offer, , , ,Items in Balance Sheet that are linked to Credit risk., , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW9171467.htm,Associate Director Ratings Analytical,New York,New York State,US,1/12/2016,Average,60,"Both product and personality questions. You need to be a good match for the culture and not only know the market. I had many rounds, both phone and in person, one on one and with two people hanging up on me :)",Accepted Offer,Positive, , ,What affects housing market, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW8323182.htm,Operations and Strategy,New York,New York State,US,10/16/2015,Average, ,The interviewers were very friendly. I knew some of them through on campus recruiting so this made it a lot easier. I had a good mix of male and femal interviewers. The questions were more behavior and they were focused on fit.,Accepted Offer,Positive, , ,Why do you want to work for S&P?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW17777757.htm,Summer Credit Analyst,Cincinnati,Ohio,US,11/7/2017,Average,30,"I networked beforehand, and had a current employee refer me to the program. The interview process itself consisted of two 30 min interviews with Director level employees. After this I received an offer without attending the super day.",Accepted Offer,Positive, , ,What do Credit Rating agencies do?,What is a Credit Ratings?,Favorite Excel commands?, , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW13695138.htm,Senior Data Associate,Centennial,Colorado,US,2/8/2017,Easy,1,Initial phone screening. Salary range too low for candidate with experience matching job requirement. Recruiter agreed they need to up the salary offer or hire fresh grad with no experience.,Declined Offer,Neutral, , ,"Experience with data management.
Do you manage others?", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW5241382.htm,Credit Ratings Excellence Development Program, , , ,10/24/2014,Average, ,"I got a on-campus interview, No behavioral questions. Went through the resume, discussed a little bit about the leadership experiences but not that much. And than a question about how you rate the companies.",No Offer,Neutral, , ,"The question about how you rate the companies is not a trivial one, you really need to think hard and give the details.", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW9155521.htm,CREDit Analyst Program, , , ,1/11/2016,Difficult, ,"This is for the CREDit Analyst Program. Here's the numbers - 500 candidate resumes received, 100 phone interviews conducted, 28 candidates invited to super day, 10 spots for each year's analyst class. 1) The phone interviews will ask technicals there's already interview reviews on glassdoor so check them out 2) The day before Super Day is pretty chill. They will set you up a hotel and airline as long as you're not local (aka NYU or Baruch). They had a dinner event for when you arrive while you 'network' with Directors from all major departments. After the dinner they'll have like a small corny teamwork building exercise. 3) The Super Day itself can be pretty intense. You'll be a part of the morning or afternoon interview time. The whole interview REALLY relies on who you'll have. If you have a super chill director from a non-intense team (small local US government - public finance) , then it's easy cruising. If you have a former banker veteran from a bulge bracket bank (JP Morgan, Goldman, etc) that's currently managing multiple teams (corporate) then expect to get hammered on technical questions. To be safe, I'd review all the general accounting questions and review some legit literature from the S&P website that's available publicly. You'll have two or three interviewers and expect it to be 30 minutes each.",No Offer,Neutral, , ,What is capital expenditure?,What are some business risks you would look for downside risk?,Why do you want to be a part of this program?, , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW5435801.htm,CREDit Analyst Program, , , ,11/24/2014,Average,30,"Applied through campus recruiting and was able to land the first interview, which was 30 mins via phone. Nothing really technical, mostly behavioral questions. I heard back around 3 weeks later that I had been selected for the second and final round of interviews, which was at company hq. That consisted of 3 back to back 30 min interviews with 3 separate employees. Those were a bit more technical but mostly really focused on leadership potential. Overall, pretty good experience.",Accepted Offer,Positive, ,Didn't negotiate as the offer was really sweet.,"No specific question, just the fact that all three interviewers asked the same questions but used different wording.", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW6128781.htm,CREDit Summer Analyst Program,Berkeley,California,US,3/16/2015,Very Easy,10,"1st round on campus. Basic behavioral questions, nothing out of the norm. One bad guy, one good guy type interview. Got a call 10 days later with an offer which was surprising.",Accepted Offer,Positive, ,No negotiation. $25 an hour salary in NYC was decent enough.,Describe a time where you had to lead a group? Why S&P and ratings? Tell me about your favorite analytical tool?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW17423190.htm,Credit Rating,New York,New York State,US,10/18/2017,Average,1,"Asked a bunch of behavioral questions in the 1-hour interview. The interview is not showing interest at all at your past experience. Basically, they looks very tired and do not like to interact with you. The overall process made me feel stressful and boring.",Declined Offer,Negative, , ,"What  do you know about this program, they asked twice by the same guy. ", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW11175788.htm,Ratings Support Specialist,Denver,Colorado,US,7/8/2016,Difficult,10,"I originally applied for an internship when I was unsure of my graduation date, but turned down an interview when I found out I'd be graduating earlier. They said they'd keep my resume on file and reach out to me if anything came up. Standard HR jargon. But about a month later, a recruiter reached out to me with an actual opening they wanted to interview. This spoke volumes to me about their follow-through and operational proficiency. Throughout the process, the recruiters were very responsive and friendly. Started with a brief phone interview with my manager's manager, then about a 4-hour in-person interview with a peer, my direct manager, and her peer; separately, about an hour each. The phone interview was more of a get-to-know-you thing. With the in-person interview, they seemed to adhere to a pretty standard front-and-back sided 8.5x11"" questionnaire with questions about how you handle conflict, your learning style, etc. If you've been through a behavioral-based interview before, you know the type. They wanted examples and experience in relation to my ability to multi-task, handle tough situations, etc.. Additionally, the interview touched on my technical skills as they would relate to the position. Got an offer 2-3 days later. Very smooth process.",Accepted Offer,Positive, , ,Name a type you faced adversity within a group setting and how you overcame it, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW13180046.htm,Ratings Support Specialist,Denver,Colorado,US,1/3/2017,Easy,21,"Three weeks after applying online, I received an email from a recruiter asking for my salary requirements and willingness to relocate. As others have experienced, 5 minutes before my scheduled phone interview, I received an email asking if I can push it back an hour due to someone else double-booking the manager's calendar. The manager on the phone was very friendly, but thought I had already spoken to HR about the role. She spoke about the role and emphasized they are looking for someone who is a good communicator, a good team fit, and someone willing to learn, rather than necessarily someone with a finance degree or Excel experience. I was offered an in-person interview the next day. The manager was running 30 minutes late (seems to be a theme here), so I met with the other 2 team members first (separately). The first question I was asked was ""Where are you from?"" which is not actually legal, so I would suggest the managers prepare inexperienced team members on how to conduct an interview. The other team member said he had 5 other interviews that day and was too tired to ask me questions so I could ask questions & said that most of the people are in their 20's&30's and they are looking to hire more young workers. Again, I would suggest training your staff on proper interviewing. The manager didn't ask me too many questions, as it appeared they had already made up their minds on hiring. The manager referred to the team as “the boys."" It was very casual, if not too casual for the size of the company, and not very organized. There seemed to be a disconnect between the phone and in-person interview about what they were looking for in a candidate. I never received a courtesy rejection notification.",No Offer,Negative, , ,"Phone Interview (30 mins): Tell me about yourself. What other positions have you applied to? What is your experience with Excel? Do you prefer working in large or small companies? 

Interview (1 hr): Tell me about yourself. Why S&P? Why the financial industry? How do you feel about data entry? Do you have experience with VLOOKUP, pivot tables, MicroStrategy, SQL?", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW13276716.htm,S&P Global Ratings CREDit Programmer,New York,New York State,US,1/11/2017,Average, ,"The process lasted about two months and there were three parts in total. The first part is a simple online interview where you will be asked questions on Standard & Poor's: -Why S&P Credit Rating? Your motivation for applying to this programme -What do you know about S&P? -Which languages do you speak? Really simple but work well on your answers and know well what S&P does (not only on Credit Rating but also the other divisions). The second round of interviews are two phone calls that you will receive which are more technical than the video interview: -Walking them through your CV and motivation for applying to this role. -Questions on the Balance Sheet, how all the three financial statements are connected. -The most recent financial crisis: what happened -The Euro zone crisis: reasons behind -Current financial news: what is happening in Europe? with the ECB/ Federal Reserve? -Differences on the economic systems of North Korea and the United States. The third round is the more difficult and interesting one. This round is in London and you will be gathered among other candidates for the EMEA Credit Programme at S&P. You will have breakfast or lunch (depending on whether your interview is in the morning or afternoon) and you can get to know the candidates and analysts working there better. After breakfast/lunch you will be taken to different rooms where the interviewers will be seated. Questions are again around your motivation for S&P and situation questions (be ready to give PRECISE examples). Some examples are: -A situation where you had to work on a team -Situation where you showed leadership -Have you worked with programmes to handle data? Which ones? When? There are also technical question so know your Accounting well. I was also asked again for the reasons behind the Eurozone crisis/ why was Capital Expenditure important to analyse/ what things would I consider for analysing a country's Sovereign Debt. Get to know the information provided on S&P Credit Rating's webpage on ratings well, it can always be useful in case you are asked this type of questions. Another important TIP is to ask questions yourself. Really take the chance lo learn more about the analysts that are interviewing you, all of them have incredible insight on the day to day of a Credit Analyst. Enjoy yourself. Really if you have made it that far for being selected to the third-round I recommend to enjoy the Recruiting Day in London and be yourself.",No Offer,Positive, , ,"-Walking them through your CV and motivation for applying to this role.
-Questions on the Balance Sheet, how all the three financial statements are connected.
-The most recent financial crisis: what happened 
-The Euro zone crisis: reasons behind
", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW23068119.htm,Research Assistant - CMBS,Denver,Colorado,US,10/22/2018,Average,21,Quick turnaround and great people to interview with. The interviews were very formal and asked very detailed questions. It is all about the desire to learn and overall analytics experience.,Accepted Offer,Positive, , ,How do you foresee the stock market moving in the coming year?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW25855016.htm,Data Analyst, , , ,4/25/2019,Average,20,"Interview was basic it start for tell me about yourself to past history education, few question from CV basic question from market and financial perspective,than about future goals to stability questions .Than end up with technical round a small exam is conducted.",Accepted Offer,Positive, , ,Tell me about yourself?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW24228267.htm,Research Assistant, , , ,1/15/2019,Average,28,Started out with a phone screening. First real interview was with a manager. Second round was with a research assistant and an analyst. Final round was with three higher ups. I forget their exact positions. All three interviews past the screening were done by a skype like application.,No Offer,Neutral, , ,Hows your experience with excel?, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW24026976.htm,Md,New York,New York State,US,1/2/2019,Easy,120,Way too many interviews. took several months to get the offer and there were long periods of radio silence. But I initially got the job. All the people i met during the interviews convinced me that I'd like the job. that's what sold me.,Accepted Offer,Positive, , ,what do i like to do outside of work, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW24970578.htm,Data Scientist,Charlottesville,Virginia,US,3/3/2019,Very Easy,2,"It was a video interview. There were two interviewers. One of them is the direct supervisor of the internship project, not sure about the role of the other person. The direct supervisor was fine and nice. He gave a detailed explanation of the intern's responsibilities and the example works they have done. The other person was responsible for asking me questions,, in the way that I feel that he didn't care about the answers I gave at all. He didn't make any eye contacts and I am very sure that he was looking at other things while giving me the interview.",No Offer,Negative, , ,Tell me a time when you took the leadership role. , , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW25934230.htm,"Associate, Structured Finance-ABS",New York,New York State,US,5/1/2019,Easy,60,"Round 1 with recruiter; Basic screening Round 2 with two senior managers (age around 50-60) Round 3 with three analysts (age around late 30s and two in their mid 40s) The worst thing about this was the two senior managers had really liked me. The other three analysts had no idea about what they were looking for exactly. So it was a bit confusing and hard to understand their expectations/requirements. And therefore, the questions were all one dimensional -so I basically had to repeat myself to every person.",Declined Offer,Negative, , ,"Round 3 woman asked me ""What happens if prepayments are high?"" for someone who has worked in the credit industry for two years and has built cash flow models and investor waterfalls. She even demeaned me by saying ""oh so you just make assumptions based on nothing and then you wing it!!!"" I could not believe a place like S&P Global with that level of senior analysts berating an interviewee like that. If anything, have the decency to hear me out on my processes for modeling and then ask. Instead, this poor woman who had been there since Bear Sterns and Lehman times-must have been frustrated to no extent as an analyst since the 90s to ask me ""what happens if prepays are high"". Gah! Very disappointed. ", , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW2095344.htm,Associate,London,England,UK,10/30/2012,Average,10,1) Head-hunted 2) Interview with Director + Associate Director that will report to and work with (face to face) 3) Interview with MD of group I will work in (face to face) 4) Interview with lead of group section VP (video conference),Accepted Offer,Neutral, , ,I was well prepared and there didn't appear to be any questions that threw me, , , , , 
Standard & Poor's Financial Services LLC,http://www.glassdoor.co.in/Interview/S-and-P-Global-Ratings-Interview-RVW3876215.htm,Associate, , , ,3/15/2014,Average,120,"Start with HR phone interview, follow by interviews with directors, then follow by interview with senior director, then follow by a case interview and then lastly a panel interview. Overall 5 rounds! Since this is an entry level ratings job, the questions focus on general business analysis and thought process. There is no right or wrong answers, one just need to be able to explain the decision process and justify the results.",Accepted Offer,Positive, , ,Why do you want to join ratings, , , , , 
