,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
113,"Generally friendly people Intelligent managers. Senior management is smart Good work life balance As an intern, opportunities to take on challenging and important projects if you're lucky",4,"Generally friendly people Intelligent managers. Senior management is smart Good work life balance As an intern, opportunities to take on challenging and important projects if you're lucky",generally friendly people intelligent managers senior management is smart good work life balance as an intern opportunities to take on challenging and important projects if you re lucky,"balance, friendly, people, smart, management, work"
114,Nice people for the most part; great hours for the most part; rarely had to work too late; good work-life balance,1,Nice people for the most part; great hours for the most part; rarely had to work too late; good work-life balance,nice people for the most part great hours for the most part rarely had to work too late good work life balance,"balance, people, work, hours, great"
115,"Depending on how you like to work, Moody's has a culture where almost everyone at the mid-level and up gets an office. In general people leave the office between 5 and 6. Pay can be good for the level of effort required. Travel is very minimal.",1,"Depending on how you like to work, Moody's has a culture where almost everyone at the mid-level and up gets an office. In general people leave the office between and . Pay can be good for the level of effort required. Travel is very minimal.",depending on how you like to work moody s has a culture where almost everyone at the mid level and up gets an office in general people leave the office between and pay can be good for the level of effort required travel is very minimal ,"culture, people"
116,"Good environment, great learning experience",2,"Good environment, great learning experience",good environment great learning experience,great
117,"Good people, like the work",4,"Good people, like the work",good people like the work,work
118,"Flexible hours, some semblance of work-life balance",3,"Flexible hours, some semblance of work-life balance",flexible hours some semblance of work life balance,balance
119,Very good initial learning. Gets monotonous with time...learning ceases Diversity of work,4,Very good initial learning. Gets monotonous with time...learning ceases Diversity of work,very good initial learning gets monotonous with time learning ceases diversity of work,work
120,- Good exposure with senior management - Plenty of work to do,3,- Good exposure with senior management - Plenty of work to do, good exposure with senior management plenty of work to do,"senior, work, management"
121,"Job Security, decent benefits, work life is good",3,"Job Security, decent benefits, work life is good",job security decent benefits work life is good,work
122,Six monthly appraisals are the only reason people join Copal,3,Six monthly appraisals are the only reason people join Copal,six monthly appraisals are the only reason people join copal,people
123,"none, none, none, none, none",4,"none, none, none, none, none",none none none none none,
124,work-life balance reasonably priced cafeteria food big name in the street,1,work-life balance reasonably priced cafeteria food big name in the street,work life balance reasonably priced cafeteria food big name in the street,"balance, food"
125,Upper management is very engaged with the line of business. Employee development is strongly possible for hard workers. Hard work is valued.,1,Upper management is very engaged with the line of business. Employee development is strongly possible for hard workers. Hard work is valued.,upper management is very engaged with the line of business employee development is strongly possible for hard workers hard work is valued ,"work, management"
126,"Collegial work environment, friendly and knowledgable colleagues, pretty good work-life balance given pay",2,"Collegial work environment, friendly and knowledgable colleagues, pretty good work-life balance given pay",collegial work environment friendly and knowledgable colleagues pretty good work life balance given pay,"balance, work, friendly, pay"
127,Work life balance; fascinating issues at crux of financial system; culture is relatively collegial.,4,Work life balance; fascinating issues at crux of financial system; culture is relatively collegial.,work life balance fascinating issues at crux of financial system culture is relatively collegial ,culture
128,"Great on-site training, good to have on your resume",3,"Great on-site training, good to have on your resume",great on site training good to have on your resume,
129,"Great stable, profitable company (rare today). good place for someone right out of school. Opportunity to learn about deals/transactions at a less than banking hours, but you get less than banking pay (in exchange for stability).",4,"Great stable, profitable company (rare today). good place for someone right out of school. Opportunity to learn about deals/transactions at a less than banking hours, but you get less than banking pay (in exchange for stability).",great stable profitable company rare today good place for someone right out of school opportunity to learn about deals transactions at a less than banking hours but you get less than banking pay in exchange for stability ,"pay, place, company"
130,Atmosphere is collegal and enjoyable,3,Atmosphere is collegal and enjoyable,atmosphere is collegal and enjoyable,
131,Good work/life balance. Good mentoring.,3,Good work/life balance. Good mentoring.,good work life balance good mentoring ,
132,"No pressure, a lot to learn, mau trainign offered to employees, good salary packages compared to the workload, a lot of internal burocracy / compliance",3,"No pressure, a lot to learn, mau trainign offered to employees, good salary packages compared to the workload, a lot of internal burocracy / compliance",no pressure a lot to learn mau trainign offered to employees good salary packages compared to the workload a lot of internal burocracy compliance,salary
133,Very diversed work force and very intellegent discussion on credit & its implication,4,Very diversed work force and very intellegent discussion on credit & its implication,very diversed work force and very intellegent discussion on credit its implication,work
134,it offers rotation to other fields.,1,it offers rotation to other fields.,it offers rotation to other fields ,
135,- A Stable company - Only one major competitor (S&P) - Ratings are needed and will not likely go away anytime soon - As an analyst you will participate and vote on many different and interesting ratings - Good entry level job - A laid back atmos,1,- A Stable company - Only one major competitor (S&P) - Ratings are needed and will not likely go away anytime soon - As an analyst you will participate and vote on many different and interesting ratings - Good entry level job - A laid back atmos, a stable company only one major competitor s p ratings are needed and will not likely go away anytime soon as an analyst you will participate and vote on many different and interesting ratings good entry level job a laid back atmos,company
136,Hours usually not too bad. Most people are pretty cool.,2,Hours usually not too bad. Most people are pretty cool.,hours usually not too bad most people are pretty cool ,people
137,Good salary and learning experience,4,Good salary and learning experience,good salary and learning experience,salary
138,Only good thing is salary - two appraisals in a year,3,Only good thing is salary - two appraisals in a year,only good thing is salary two appraisals in a year,salary
139,semi annual hike. Good exposure to investment banking,4,semi annual hike. Good exposure to investment banking,semi annual hike good exposure to investment banking,
140,It is a good place to start for graduates and people with low skill,3,It is a good place to start for graduates and people with low skill,it is a good place to start for graduates and people with low skill,"place, people"
141,Compensate well & working here will help you to learn time management,3,Compensate well & working here will help you to learn time management,compensate well working here will help you to learn time management,"management, working"
142,"I think your experience at Moody's depends on who you work for and what you do. As a member of the IT department, I am very satisfied with my salary and bonus this past year. I also have a very good manager that recognizes my contributions and challenges and promotes me to upper management. I feel very comfortable speaking my mind to all levels of management which fosters a feeling that I am really contributing.... Also, with all the personal days and floating holidays, we get basically 4 weeks vacation, our 401k and retirement package is great. Health benefits are very good. Promotions are based on merit and not time served which is nice. Alot of flexibility in working from home. Very socially progressive company",3,"I think your experience at Moody's depends on who you work for and what you do. As a member of the IT department, I am very satisfied with my salary and bonus this past year. I also have a very good manager that recognizes my contributions and challenges and promotes me to upper management. I feel very comfortable speaking my mind to all levels of management which fosters a feeling that I am really contributing.... Also, with all the personal days and floating holidays, we get basically weeks vacation, our k and retirement package is great. Health benefits are very good. Promotions are based on merit and not time served which is nice. Alot of flexibility in working from home. Very socially progressive company",i think your experience at moody s depends on who you work for and what you do as a member of the it department i am very satisfied with my salary and bonus this past year i also have a very good manager that recognizes my contributions and challenges and promotes me to upper management i feel very comfortable speaking my mind to all levels of management which fosters a feeling that i am really contributing also with all the personal days and floating holidays we get basically weeks vacation our k and retirement package is great health benefits are very good promotions are based on merit and not time served which is nice alot of flexibility in working from home very socially progressive company,"company, salary, management, work, benefits, working"
143,"Reasons to work at Copal Partners are very few. It's a decent place to do your first job, because it prepares you for almost anything you will face in subsequent jobs. Having said that, a number of people here are really nice; if you manage to make some friends, you can have a good time.",4,"Reasons to work at Copal Partners are very few. It's a decent place to do your first job, because it prepares you for almost anything you will face in subsequent jobs. Having said that, a number of people here are really nice; if you manage to make some friends, you can have a good time.",reasons to work at copal partners are very few it s a decent place to do your first job because it prepares you for almost anything you will face in subsequent jobs having said that a number of people here are really nice if you manage to make some friends you can have a good time ,"work, place, people"
144,"- always up to date information from different industries and companies, which is good. - good place to start financial career - you will learn to work in team (in other words, there are so many people and some are really tough to manage)",1,"- always up to date information from different industries and companies, which is good. - good place to start financial career - you will learn to work in team (in other words, there are so many people and some are really tough to manage)", always up to date information from different industries and companies which is good good place to start financial career you will learn to work in team in other words there are so many people and some are really tough to manage ,"work, place, people"
145,good semi annual appraisal so go for it,1,good semi annual appraisal so go for it,good semi annual appraisal so go for it,
146,The do a good job of having corporate activities in order to keep everyone involved and upbeat.,2,The do a good job of having corporate activities in order to keep everyone involved and upbeat.,the do a good job of having corporate activities in order to keep everyone involved and upbeat ,
147,growth and lots of good projects to work on,4,growth and lots of good projects to work on,growth and lots of good projects to work on,work
148,High stability and effort to keep employees developing within the company,3,High stability and effort to keep employees developing within the company,high stability and effort to keep employees developing within the company,company
149,"Copal Partners is a meritocracy, with a lot of smart people around you. The work is fast paced and good but highly variable based on the team. Flexibility to take on new new projects is encouraged and rewarded.",4,"Copal Partners is a meritocracy, with a lot of smart people around you. The work is fast paced and good but highly variable based on the team. Flexibility to take on new new projects is encouraged and rewarded.",copal partners is a meritocracy with a lot of smart people around you the work is fast paced and good but highly variable based on the team flexibility to take on new new projects is encouraged and rewarded ,"people, fast, smart, paced, work"
150,Good work-life balance. Team-oriented culture. Managers are usually responsive and accommodating to concerns or goals of analysts. Good career development opportunities for those that take initiative. Managers are respectful of your life outside of work.,3,Good work-life balance. Team-oriented culture. Managers are usually responsive and accommodating to concerns or goals of analysts. Good career development opportunities for those that take initiative. Managers are respectful of your life outside of work.,good work life balance team oriented culture managers are usually responsive and accommodating to concerns or goals of analysts good career development opportunities for those that take initiative managers are respectful of your life outside of work ,
151,Looking to improve the efficiency of the business,3,Looking to improve the efficiency of the business,looking to improve the efficiency of the business,
152,work life balance is good,3,work life balance is good,work life balance is good,"work, balance"
153,"Good professional environment, experienced people, listening to everyone's views, good learning opportunity as decisions on ratings are indeed based on professional aspect rather than politics as elsewhere",4,"Good professional environment, experienced people, listening to everyone's views, good learning opportunity as decisions on ratings are indeed based on professional aspect rather than politics as elsewhere",good professional environment experienced people listening to everyone s views good learning opportunity as decisions on ratings are indeed based on professional aspect rather than politics as elsewhere,
154,Good Opportunity for Beginners and learners,1,Good Opportunity for Beginners and learners,good opportunity for beginners and learners,
155,"I'm an associate analyst at moodys and its a pretty cool place to work. you get exposure to a lot of company execs, bankers, and you can really develop a good network. they have good capital markets training. I know people complain about the comp, but i actually think its pretty good if you come in from the outside. there are several AA's in the 110-125k all-in comp range",1,"I'm an associate analyst at moodys and its a pretty cool place to work. you get exposure to a lot of company execs, bankers, and you can really develop a good network. they have good capital markets training. I know people complain about the comp, but i actually think its pretty good if you come in from the outside. there are several AA's in the -k all-in comp range",i m an associate analyst at moodys and its a pretty cool place to work you get exposure to a lot of company execs bankers and you can really develop a good network they have good capital markets training i know people complain about the comp but i actually think its pretty good if you come in from the outside there are several aa s in the k all in comp range,"company, place, people"
156,"work/life balance is the best you will get in finance while working on deals people are friendly and approachable can learn a lot if you take responsibility for your own development access to executive teams/bankers, although you can't ""network"" with them if you want to learn a lot you can, if you want to just coast you can",2,"work/life balance is the best you will get in finance while working on deals people are friendly and approachable can learn a lot if you take responsibility for your own development access to executive teams/bankers, although you can't ""network"" with them if you want to learn a lot you can, if you want to just coast you can",work life balance is the best you will get in finance while working on deals people are friendly and approachable can learn a lot if you take responsibility for your own development access to executive teams bankers although you can t network with them if you want to learn a lot you can if you want to just coast you can,"friendly, balance, people, working"
157,My team are all extremely knowledgable in their subject areas. There is a good sense of team work and my opinions are sought after and listened to. It is a very multicultural organisation and I am able to use my language skills both internally and externally.,4,My team are all extremely knowledgable in their subject areas. There is a good sense of team work and my opinions are sought after and listened to. It is a very multicultural organisation and I am able to use my language skills both internally and externally.,my team are all extremely knowledgable in their subject areas there is a good sense of team work and my opinions are sought after and listened to it is a very multicultural organisation and i am able to use my language skills both internally and externally ,work
158,Access to senior management of firms,3,Access to senior management of firms,access to senior management of firms,"senior, management"
159,"Very much depends on the team you work in as literally every team is different (in terms of hours, work approach, mentality, etc) so make an assessment at the interview stage, BUT generally there is a sense of teamwork, you get exposed to individuals with 20 years of experience, work daily with those who have 10 years. The environment is very diverse with employees from all over the world. Work life balance is... still there (apart from couple employees who like long hours) and the additional benefit of business travel is immeasurable as you really get exposed to top management at a very early stage of your career and build your knowledge and confidence quickly. After 1.5 years I was receiving about 5 calls a week from headhunters so the Associate Analysts from Moody's are sought after, and those who were the best quickly left - so the name Moody's very much matters which is another plus.",4,"Very much depends on the team you work in as literally every team is different (in terms of hours, work approach, mentality, etc) so make an assessment at the interview stage, BUT generally there is a sense of teamwork, you get exposed to individuals with years of experience, work daily with those who have years. The environment is very diverse with employees from all over the world. Work life balance is... still there (apart from couple employees who like long hours) and the additional benefit of business travel is immeasurable as you really get exposed to top management at a very early stage of your career and build your knowledge and confidence quickly. After . years I was receiving about calls a week from headhunters so the Associate Analysts from Moody's are sought after, and those who were the best quickly left - so the name Moody's very much matters which is another plus.",very much depends on the team you work in as literally every team is different in terms of hours work approach mentality etc so make an assessment at the interview stage but generally there is a sense of teamwork you get exposed to individuals with years of experience work daily with those who have years the environment is very diverse with employees from all over the world work life balance is still there apart from couple employees who like long hours and the additional benefit of business travel is immeasurable as you really get exposed to top management at a very early stage of your career and build your knowledge and confidence quickly after years i was receiving about calls a week from headhunters so the associate analysts from moody s are sought after and those who were the best quickly left so the name moody s very much matters which is another plus ,"balance, work, management, environment"
160,Great entry level job for finance grads coming out of a non core school Not much redundant work. Analysts want you to be heavily involved in the credit rating process,3,Great entry level job for finance grads coming out of a non core school Not much redundant work. Analysts want you to be heavily involved in the credit rating process,great entry level job for finance grads coming out of a non core school not much redundant work analysts want you to be heavily involved in the credit rating process,
161,Good Work Life Balalnce. Work is not very hectic.,3,Good Work Life Balalnce. Work is not very hectic.,good work life balalnce work is not very hectic ,
162,"pays well, good work life balance, senior management is committed to the company and improving our market presence,",3,"pays well, good work life balance, senior management is committed to the company and improving our market presence,",pays well good work life balance senior management is committed to the company and improving our market presence ,"senior, work, management, company"
163,The company is global and offers areas for expansion. Mostly in the financial industry.,4,The company is global and offers areas for expansion. Mostly in the financial industry.,the company is global and offers areas for expansion mostly in the financial industry ,company
164,"Meeting with high level company officials Just above average salary Access to great industry and company analysis through presentations of companies and their consultants (although it us of no use in day-to-day work, as only superficial analysis is performed) International team",1,"Meeting with high level company officials Just above average salary Access to great industry and company analysis through presentations of companies and their consultants (although it us of no use in day-to-day work, as only superficial analysis is performed) International team",meeting with high level company officials just above average salary access to great industry and company analysis through presentations of companies and their consultants although it us of no use in day to day work as only superficial analysis is performed international team,"great, salary, company"
165,"good exposure to analysis, lots of responsibility",1,"good exposure to analysis, lots of responsibility",good exposure to analysis lots of responsibility,
166,There was significant interaction with colleagues across the globe and the privileged position Moody's enjoys enables you to develop a great understanding of the markets you cover.,2,There was significant interaction with colleagues across the globe and the privileged position Moody's enjoys enables you to develop a great understanding of the markets you cover.,there was significant interaction with colleagues across the globe and the privileged position moody s enjoys enables you to develop a great understanding of the markets you cover ,great
167,Work-life balance is good at the company,4,Work-life balance is good at the company,work life balance is good at the company,"balance, company"
168,Good Culture helpful colleagues understanding seniors,3,Good Culture helpful colleagues understanding seniors,good culture helpful colleagues understanding seniors,
169,Moody's is a very nurturing environment. The ratings agency treats its interns well and heavily encourages them to network and learn about the other sides of the firm.,4,Moody's is a very nurturing environment. The ratings agency treats its interns well and heavily encourages them to network and learn about the other sides of the firm.,moody s is a very nurturing environment the ratings agency treats its interns well and heavily encourages them to network and learn about the other sides of the firm ,
170,There is a great work/life balance,3,There is a great work/life balance,there is a great work life balance,"balance, great"
171,Good exposure from across sectors,3,Good exposure from across sectors,good exposure from across sectors,
172,"-good internal technical training to ratings and capital markets -personal development of multiple skills (legal, analytically, reporting, collections, accounting) as account managers have to deal with each area at some point -access to senior manager",3,"-good internal technical training to ratings and capital markets -personal development of multiple skills (legal, analytically, reporting, collections, accounting) as account managers have to deal with each area at some point -access to senior manager", good internal technical training to ratings and capital markets personal development of multiple skills legal analytically reporting collections accounting as account managers have to deal with each area at some point access to senior manager,senior
173,Bi-annual appraisals and yearly bonus,4,Bi-annual appraisals and yearly bonus,bi annual appraisals and yearly bonus,
174,"its big reputation makes it looks good on your resume. Promotion is all about projects. Career path is not as clear in here. However, it depends on your position.",1,"its big reputation makes it looks good on your resume. Promotion is all about projects. Career path is not as clear in here. However, it depends on your position.",its big reputation makes it looks good on your resume promotion is all about projects career path is not as clear in here however it depends on your position ,
175,Flexible work hours. Office culture.,1,Flexible work hours. Office culture.,flexible work hours office culture ,work
176,Great work enivorments Got a chance to learn,2,Great work enivorments Got a chance to learn,great work enivorments got a chance to learn,work
177,Good work/life balance Good place to learn fundamentals of credit analysis & an industry/sector Great coworkers Fun work environment,4,Good work/life balance Good place to learn fundamentals of credit analysis & an industry/sector Great coworkers Fun work environment,good work life balance good place to learn fundamentals of credit analysis an industry sector great coworkers fun work environment,"environment, work, balance, place"
178,Loads of learning. Even after my first two years with the company I am still learning something new every day. Give you a full flavor of almost all the financial products.,3,Loads of learning. Even after my first two years with the company I am still learning something new every day. Give you a full flavor of almost all the financial products.,loads of learning even after my first two years with the company i am still learning something new every day give you a full flavor of almost all the financial products ,company
179,Sehr interessante Arbeit auf höchstem Niveau mit klugen Leuten. Man lernt jeden Tag nützliche Dinge!,4,Sehr interessante Arbeit auf höchstem Niveau mit klugen Leuten. Man lernt jeden Tag nützliche Dinge!,sehr interessante arbeit auf höchstem niveau mit klugen leuten man lernt jeden tag nützliche dinge ,
180,Some team and some managers,3,Some team and some managers,some team and some managers,
181,Generally a positive working environment,3,Generally a positive working environment,generally a positive working environment,"environment, working"
182,Very friendly environment. All colleagues very willing to help. Great work and life balance.,3,Very friendly environment. All colleagues very willing to help. Great work and life balance.,very friendly environment all colleagues very willing to help great work and life balance ,"work, friendly"
183,Bi annual appraisal is the only motivating factor through which Organization is able to draw candidates' attention.,4,Bi annual appraisal is the only motivating factor through which Organization is able to draw candidates' attention.,bi annual appraisal is the only motivating factor through which organization is able to draw candidates attention ,
184,"Collegial environment with very manageable work-life balance, smart dedicated colleagues, quiet atmosphere masks the large amount of work being done, highly diverse workforce. If you are interested in credit - and you should be",1,"Collegial environment with very manageable work-life balance, smart dedicated colleagues, quiet atmosphere masks the large amount of work being done, highly diverse workforce. If you are interested in credit - and you should be",collegial environment with very manageable work life balance smart dedicated colleagues quiet atmosphere masks the large amount of work being done highly diverse workforce if you are interested in credit and you should be,"smart, work, environment"
185,"Relatively good work/life balance, not a highly pressurized environment = somewhat thoughtful colleagues, good office space at a central location",1,"Relatively good work/life balance, not a highly pressurized environment = somewhat thoughtful colleagues, good office space at a central location",relatively good work life balance not a highly pressurized environment somewhat thoughtful colleagues good office space at a central location,environment
186,"salary hikes are semmi annually , so thats somehow encouraging",2,"salary hikes are semmi annually , so thats somehow encouraging",salary hikes are semmi annually so thats somehow encouraging,salary
187,Great People to work. People who joined with good title and pay would like company more.,4,Great People to work. People who joined with good title and pay would like company more.,great people to work people who joined with good title and pay would like company more ,"pay, company"
188,The benefits are pretty good. Work-Life balance is a positive. Employees sneak out early on Thursdays and Fridays to take long weekends.,3,The benefits are pretty good. Work-Life balance is a positive. Employees sneak out early on Thursdays and Fridays to take long weekends.,the benefits are pretty good work life balance is a positive employees sneak out early on thursdays and fridays to take long weekends ,"balance, benefits"
189,"Laid-back atmosphere, lots of diversity",4,"Laid-back atmosphere, lots of diversity",laid back atmosphere lots of diversity,
190,Great place to learn credit analysis at a depth few will every experience in their career.,3,Great place to learn credit analysis at a depth few will every experience in their career.,great place to learn credit analysis at a depth few will every experience in their career ,place
191,good pay with great hike and benefits.,3,good pay with great hike and benefits.,good pay with great hike and benefits ,"pay, great"
192,projects are interesting and familiar,3,projects are interesting and familiar,projects are interesting and familiar,
193,Good work life balance and great hours,4,Good work life balance and great hours,good work life balance and great hours,"great, work, balance, hours"
194,"Diverse learning, good bi annual appraisal policy, good if one is willing to sacrifice social life or family life..suitable if you like copy and paste work",1,"Diverse learning, good bi annual appraisal policy, good if one is willing to sacrifice social life or family life..suitable if you like copy and paste work",diverse learning good bi annual appraisal policy good if one is willing to sacrifice social life or family life suitable if you like copy and paste work,work
195,Great team of individuals. Individuals are willing to help you,1,Great team of individuals. Individuals are willing to help you,great team of individuals individuals are willing to help you,
196,the only good reason is that you can be a part of one of the big three credit rating companies.,2,the only good reason is that you can be a part of one of the big three credit rating companies.,the only good reason is that you can be a part of one of the big three credit rating companies ,
197,Gain valuable experience CFA sponsor Broaden your Knowledge,4,Gain valuable experience CFA sponsor Broaden your Knowledge,gain valuable experience cfa sponsor broaden your knowledge,
198,Good benefits once you become eligible.,3,Good benefits once you become eligible.,good benefits once you become eligible ,benefits
199,"Strong presence in the market, benefits are decent, easy hours (9-5), good to have on resume.",4,"Strong presence in the market, benefits are decent, easy hours (-), good to have on resume.",strong presence in the market benefits are decent easy hours good to have on resume ,"hours, benefits"
200,"good work-life balance, intelligent people",3,"good work-life balance, intelligent people",good work life balance intelligent people,people
201,"Benefits, great poeple, great location, no micromanagement.",3,"Benefits, great poeple, great location, no micromanagement.",benefits great poeple great location no micromanagement ,great
202,"Good salary, opportunity to learn",3,"Good salary, opportunity to learn",good salary opportunity to learn,
203,"Fancy title makes you feel good about yourself at the beginning, Flexible Timings and a few friendly people, Work Environment and culture makes it a good place to work.But when you are not satisfied with work then the environment doesn't matter",4,"Fancy title makes you feel good about yourself at the beginning, Flexible Timings and a few friendly people, Work Environment and culture makes it a good place to work.But when you are not satisfied with work then the environment doesn't matter",fancy title makes you feel good about yourself at the beginning flexible timings and a few friendly people work environment and culture makes it a good place to work but when you are not satisfied with work then the environment doesn t matter,"friendly, place, culture, work, environment"
204,"This is a company that cares about it's employees, you will never see anybody yelling at anybody, everybody is very friendly regardless of rank. Considering the material you work with you learn a lot, and since it is always current it is very interesting.",1,"This is a company that cares about it's employees, you will never see anybody yelling at anybody, everybody is very friendly regardless of rank. Considering the material you work with you learn a lot, and since it is always current it is very interesting.",this is a company that cares about it s employees you will never see anybody yelling at anybody everybody is very friendly regardless of rank considering the material you work with you learn a lot and since it is always current it is very interesting ,"work, friendly, company"
205,probably the best work-life balance in financial industry,1,probably the best work-life balance in financial industry,probably the best work life balance in financial industry,balance
206,Great company would definitely work there again.,2,Great company would definitely work there again.,great company would definitely work there again ,"work, company"
207,Managers are generally respectful of work-life balance; co-workers are amazing - friendly and intelligent; Community Service is encouraged,4,Managers are generally respectful of work-life balance; co-workers are amazing - friendly and intelligent; Community Service is encouraged,managers are generally respectful of work life balance co workers are amazing friendly and intelligent community service is encouraged,friendly
208,"Smart people, good conversation, alot of support",3,"Smart people, good conversation, alot of support",smart people good conversation alot of support,
209,"Good work/life balance, Nurturing environment, Few good mentors",4,"Good work/life balance, Nurturing environment, Few good mentors",good work life balance nurturing environment few good mentors,
210,Relevant experience in the field,3,Relevant experience in the field,relevant experience in the field,
211,Smart people Good managers Relatively flat organizational structure,3,Smart people Good managers Relatively flat organizational structure,smart people good managers relatively flat organizational structure,people
212,get to work on good number of clients. The culture was ok before Copal partners destroyed it. Penny pinching on trivial issues. Penny wise Pound Super foolish.,3,get to work on good number of clients. The culture was ok before Copal partners destroyed it. Penny pinching on trivial issues. Penny wise Pound Super foolish.,get to work on good number of clients the culture was ok before copal partners destroyed it penny pinching on trivial issues penny wise pound super foolish ,"culture, work"
213,"Eager to be at industry standards (salaries, technology, financial writing, benefits, etc.)",4,"Eager to be at industry standards (salaries, technology, financial writing, benefits, etc.)",eager to be at industry standards salaries technology financial writing benefits etc ,
214,"Good work life balance, great colleagues and interesting work. Unparalleled access to markets and leadership.",1,"Good work life balance, great colleagues and interesting work. Unparalleled access to markets and leadership.",good work life balance great colleagues and interesting work unparalleled access to markets and leadership ,"work, great"
215,Could not find any.,1,Could not find any.,could not find any ,
216,"Great Learning environment, Great People to learn from",2,"Great Learning environment, Great People to learn from",great learning environment great people to learn from,
217,"People are actually really nice, compared to other financial sector companies. Work/life balance is very good.",4,"People are actually really nice, compared to other financial sector companies. Work/life balance is very good.",people are actually really nice compared to other financial sector companies work life balance is very good ,balance
218,"Clear corporate mission. Outstanding access to ""C"" suite management. Investor relevance and impact.",3,"Clear corporate mission. Outstanding access to ""C"" suite management. Investor relevance and impact.",clear corporate mission outstanding access to c suite management investor relevance and impact ,
219,Good work balance / good smart people,4,Good work balance / good smart people,good work balance good smart people,"smart, work, balance, people"
220,Very good company. Good work-life balance and benefits and other perks. The company has been doing great financially for years.,3,Very good company. Good work-life balance and benefits and other perks. The company has been doing great financially for years.,very good company good work life balance and benefits and other perks the company has been doing great financially for years ,"great, company, balance, benefits"
221,"Molto professionale, diversità dei colleghi, buona cultura del lavoro, buon equilibrio vita-lavoro, ambiente internazionale",3,"Molto professionale, diversità dei colleghi, buona cultura del lavoro, buon equilibrio vita-lavoro, ambiente internazionale",molto professionale diversità dei colleghi buona cultura del lavoro buon equilibrio vita lavoro ambiente internazionale,
222,"There are many companies that try to sell their great values etc. Moody's actually is a nice workplace with nice people, culture and great atmospere and relatively good work and life balance",3,"There are many companies that try to sell their great values etc. Moody's actually is a nice workplace with nice people, culture and great atmospere and relatively good work and life balance",there are many companies that try to sell their great values etc moody s actually is a nice workplace with nice people culture and great atmospere and relatively good work and life balance,"culture, work, balance, great"
223,Well established Corporate structure and clean environment.,4,Well established Corporate structure and clean environment.,well established corporate structure and clean environment ,
224,Great work to life balance,1,Great work to life balance,great work to life balance,"work, balance"
225,Best place to work with.,1,Best place to work with.,best place to work with ,"work, place"
226,Very multicultural firm Flexible working hours and possibility to work from home from time to time or from different offices if you´re travelling More relaxed environment than in banks (colleagues are nice and not very competitive as in other sectors),2,Very multicultural firm Flexible working hours and possibility to work from home from time to time or from different offices if you´re travelling More relaxed environment than in banks (colleagues are nice and not very competitive as in other sectors),very multicultural firm flexible working hours and possibility to work from home from time to time or from different offices if you re travelling more relaxed environment than in banks colleagues are nice and not very competitive as in other sectors ,"home, work, hours, environment, working"
227,"OT eligible, nice workers, changing environment",4,"OT eligible, nice workers, changing environment",ot eligible nice workers changing environment,environment
228,-ability to interact and learn with senior level analysts -internal mobility makes it easy to explore opportunities -work hours -modern and inviting working place,3,-ability to interact and learn with senior level analysts -internal mobility makes it easy to explore opportunities -work hours -modern and inviting working place, ability to interact and learn with senior level analysts internal mobility makes it easy to explore opportunities work hours modern and inviting working place,"senior, hours, place, working"
229,"Highly intelligent colleagues. Teamwork is emphasized throughout all departments, encourage continuing education. Comfortable work environment.",4,"Highly intelligent colleagues. Teamwork is emphasized throughout all departments, encourage continuing education. Comfortable work environment.",highly intelligent colleagues teamwork is emphasized throughout all departments encourage continuing education comfortable work environment ,work
230,"The work culture was very relaxed, people were very willing to help and was a good learning experience.",3,"The work culture was very relaxed, people were very willing to help and was a good learning experience.",the work culture was very relaxed people were very willing to help and was a good learning experience ,"culture, work, people"
231,"Challenging environment where the level of responsibility you are given is dependent on the work you do. Same goes with promotions. Very fair system. Work is interesting. Vital to credit markets and highly esteemed. The reason for this is that you are working with intelligent, capable people. There are ivy leaguers and all management has a graduate degree. it is nice to work alongside smart people. Excellent... work life balance for Wall Street. Attractive compensation given that one could get work done between 9 and 5. Attentive management that listens to its employees and acts on issues. Management activel encourages mobility both across sectors and geographies. They are very pro-maternity and have several groups that deal with other groups issues such as glbtqa and veterans. Management tries to make your life easier. Holiday bashes and limos home after 8 and a great cafeteria. They just want you to do a good job and your frontline management is willing to invest in you.",3,"Challenging environment where the level of responsibility you are given is dependent on the work you do. Same goes with promotions. Very fair system. Work is interesting. Vital to credit markets and highly esteemed. The reason for this is that you are working with intelligent, capable people. There are ivy leaguers and all management has a graduate degree. it is nice to work alongside smart people. Excellent... work life balance for Wall Street. Attractive compensation given that one could get work done between and . Attentive management that listens to its employees and acts on issues. Management activel encourages mobility both across sectors and geographies. They are very pro-maternity and have several groups that deal with other groups issues such as glbtqa and veterans. Management tries to make your life easier. Holiday bashes and limos home after and a great cafeteria. They just want you to do a good job and your frontline management is willing to invest in you.",challenging environment where the level of responsibility you are given is dependent on the work you do same goes with promotions very fair system work is interesting vital to credit markets and highly esteemed the reason for this is that you are working with intelligent capable people there are ivy leaguers and all management has a graduate degree it is nice to work alongside smart people excellent work life balance for wall street attractive compensation given that one could get work done between and attentive management that listens to its employees and acts on issues management activel encourages mobility both across sectors and geographies they are very pro maternity and have several groups that deal with other groups issues such as glbtqa and veterans management tries to make your life easier holiday bashes and limos home after and a great cafeteria they just want you to do a good job and your frontline management is willing to invest in you ,"balance, smart, management, home, work, compensation, environment, great, working"
